Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Омская																																																																																						
																																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																						
																																																																																						
		Сумма	УИК  1420	УИК  1421	УИК  1422	УИК  1423	УИК  1424	УИК  1425	УИК  1426	УИК  1427	УИК  1428	УИК  1429	УИК  1430	УИК  1431	УИК  1432	УИК  1433	УИК  1434	УИК  1435	УИК  1436	УИК  1437	УИК  1438	УИК  1439	УИК  1440	УИК  1441	УИК  1442	УИК  1443	УИК  1444	УИК  1445	УИК  1446	УИК  1447	УИК  1448	УИК  1449	УИК  1450	УИК  1451	УИК  1452	УИК  1453	УИК  1454	УИК  1455	УИК  1456	УИК  1457	УИК  1458	УИК  1459	УИК  1460	УИК  1461	УИК  1462	УИК  1463	УИК  1464	УИК  1465	УИК  1466	УИК  1467	УИК  1468	УИК  1469	УИК  1470	УИК  1471	УИК  1472	УИК  1473	УИК  1474	УИК  1475	УИК  1476	УИК  1477	УИК  1478	УИК  1479	УИК  1480	УИК  1481	УИК  1482	УИК  1483	УИК  1484	УИК  1485	УИК  1486	УИК  1487	УИК  1488	УИК  1489	УИК  1490	УИК  1491	УИК  1492	УИК  1493	УИК  1494	УИК  1495	УИК  1496	УИК  1497	УИК  1498					
		5.42%	2.69%	2.36%	3.67%	1.08%	4.71%	3.80%	6.82%	0.0%	5.74%	8.11%	9.94%	3.14%	6.15%	6.14%	8.24%	3.45%	0.57%	3.68%	7.39%	1.61%	4.21%	2.23%	1.97%	3.35%	2.07%	4.75%	0.79%	1.68%	2.12%	3.60%	4.73%	10.43%	6.23%	7.27%	1.04%	3.77%	0.0%	10.77%	7.73%	7.44%	7.16%	3.62%	5.46%	7.87%	6.60%	6.63%	6.52%	7.12%	3.52%	3.00%	3.62%	1.59%	2.74%	6.30%	7.48%	4.33%	4.41%	0.0%	6.37%	6.49%	5.26%	5.62%	0.0%	3.63%	6.49%	4.25%	4.83%	3.74%	3.60%	1.36%	4.04%	4.88%	6.32%	0.0%	4.71%	2.39%	7.93%	13.24%	6.77%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	135	0	0	1	0	2	2	1	2	2	3	1	4	0	1	0	6	0	5	3	1	2	1	5	0	0	2	2	3	0	6	3	0	8	1	0	0	0	2	2	2	1	1	3	0	0	1	4	6	0	0	2	3	0	3	2	3	3	0	3	2	1	4	2	1	3	0	2	2	0	1	0	4	1	0	3	1	0	0	0					
		0.33%	0.0%	0.0%	0.73%	0.0%	0.27%	0.58%	0.16%	1.47%	0.26%	0.39%	0.13%	0.34%	0.0%	0.55%	0.0%	0.90%	0.0%	0.26%	0.29%	0.80%	0.27%	0.74%	0.54%	0.0%	0.0%	0.22%	1.58%	1.26%	0.0%	0.55%	0.74%	0.0%	0.65%	0.20%	0.0%	0.0%	0.0%	0.16%	0.20%	0.16%	0.10%	0.19%	0.78%	0.0%	0.0%	0.51%	0.37%	0.58%	0.0%	0.0%	0.27%	1.19%	0.0%	0.34%	0.23%	0.56%	0.40%	0.0%	0.41%	0.19%	0.52%	0.57%	1.12%	0.60%	0.36%	0.0%	1.61%	1.06%	0.0%	0.68%	0.0%	0.46%	0.39%	0.0%	0.38%	0.39%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	6585	61	10	9	15	124	89	130	27	120	132	125	253	66	61	65	73	36	292	180	11	117	18	140	84	40	222	34	26	16	180	56	34	153	55	30	31	18	173	194	257	173	111	81	54	77	31	137	180	98	39	115	8	23	194	124	84	131	22	98	138	29	74	7	11	128	4	22	27	24	10	28	121	38	13	137	26	86	39	86					
		16.18%	9.66%	7.87%	6.61%	8.15%	17.19%	26.02%	21.13%	19.85%	16.02%	17.27%	17.02%	21.51%	19.35%	34.07%	17.85%	10.97%	20.68%	15.57%	17.50%	8.87%	15.89%	13.43%	15.38%	15.67%	16.59%	24.53%	26.98%	10.92%	11.34%	16.63%	13.96%	18.68%	12.56%	11.11%	15.62%	29.24%	8.57%	14.33%	19.75%	20.79%	18.50%	21.18%	21.09%	16.36%	11.82%	15.81%	12.96%	17.57%	21.58%	9.00%	16.03%	3.18%	12.63%	22.24%	14.72%	15.81%	17.53%	16.92%	13.57%	13.78%	15.26%	10.67%	3.93%	6.66%	15.38%	4.25%	17.74%	14.43%	21.62%	6.80%	28.28%	14.08%	15.01%	16.04%	17.45%	10.35%	16.25%	17.80%	15.32%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	614	4	1	5	8	9	5	12	1	8	14	17	10	4	3	7	1	0	21	15	0	5	3	8	11	2	10	2	4	2	16	9	5	15	6	9	0	15	19	9	18	10	16	4	7	4	0	19	15	9	6	15	3	4	8	12	13	13	6	9	18	5	10	3	0	18	3	3	4	2	2	3	17	4	1	8	2	8	2	15					
		1.50%	0.63%	0.78%	3.67%	4.34%	1.24%	1.46%	1.95%	0.73%	1.06%	1.83%	2.31%	0.85%	1.17%	1.67%	1.92%	0.15%	0.0%	1.12%	1.45%	0.0%	0.67%	2.23%	0.87%	2.05%	0.82%	1.10%	1.58%	1.68%	1.41%	1.47%	2.24%	2.74%	1.23%	1.21%	4.68%	0.0%	7.14%	1.57%	0.91%	1.45%	1.06%	3.05%	1.04%	2.12%	0.61%	0.0%	1.79%	1.46%	1.98%	1.38%	2.09%	1.19%	2.19%	0.91%	1.42%	2.44%	1.74%	4.61%	1.24%	1.79%	2.63%	1.44%	1.68%	0.0%	2.16%	3.19%	2.41%	2.13%	1.80%	1.36%	3.03%	1.97%	1.58%	1.23%	1.01%	0.79%	1.51%	0.91%	2.67%					
37	"20. ""Политическая партия ""Единая Россия"""	14367	362	76	72	118	224	93	219	79	249	220	193	381	86	43	99	228	68	814	428	73	343	51	381	238	118	361	46	86	72	360	136	55	440	165	109	30	146	357	255	371	253	168	97	78	214	74	386	315	175	224	210	151	62	225	232	205	275	37	226	327	53	186	122	69	261	32	40	50	31	68	28	344	90	41	239	80	216	61	177					
		35.31%	57.36%	59.84%	52.94%	64.13%	31.06%	27.19%	35.60%	58.08%	33.24%	28.79%	26.29%	32.39%	25.21%	24.02%	27.19%	34.28%	39.08%	43.41%	41.63%	58.87%	46.60%	38.05%	41.86%	44.40%	48.96%	39.88%	36.50%	36.13%	51.06%	33.27%	33.91%	30.21%	36.12%	33.33%	56.77%	28.30%	69.52%	29.57%	25.96%	30.01%	27.05%	32.06%	25.26%	23.63%	32.87%	37.75%	36.51%	30.76%	38.54%	51.73%	29.28%	60.15%	34.06%	25.80%	27.55%	38.60%	36.81%	28.46%	31.30%	32.66%	27.89%	26.83%	68.53%	41.81%	31.37%	34.04%	32.25%	26.73%	27.92%	46.25%	28.28%	40.04%	35.57%	50.61%	30.44%	31.87%	40.83%	27.85%	31.55%					
38	"21. ""Российская Конституционно-демократическая партия"""	104	6	0	0	4	1	1	0	0	2	2	0	4	1	0	1	0	1	6	4	2	2	2	2	0	0	0	0	0	1	1	0	1	24	0	1	0	3	4	0	1	2	0	1	0	1	0	3	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	1	3	0	1	0	0	1	2	1	0	1	0	1	2	0	0					
		0.25%	0.95%	0.0%	0.0%	2.17%	0.13%	0.29%	0.0%	0.0%	0.26%	0.26%	0.0%	0.34%	0.29%	0.0%	0.27%	0.0%	0.57%	0.32%	0.38%	1.61%	0.27%	1.49%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.09%	0.0%	0.54%	1.97%	0.0%	0.52%	0.0%	1.42%	0.33%	0.0%	0.08%	0.21%	0.0%	0.26%	0.0%	0.15%	0.0%	0.28%	0.19%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	1.12%	0.60%	0.36%	0.0%	0.80%	0.0%	0.0%	0.68%	2.02%	0.11%	0.0%	1.23%	0.0%	0.39%	0.37%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	92	0	0	0	0	1	1	3	0	0	4	2	2	0	0	0	1	1	4	2	1	0	0	0	2	0	3	0	0	0	3	1	2	2	4	0	0	0	3	2	2	1	1	0	1	1	1	0	3	2	1	6	0	0	0	0	1	7	1	3	6	0	1	0	0	0	0	0	2	0	0	0	3	0	0	1	0	4	0	0					
		0.22%	0.0%	0.0%	0.0%	0.0%	0.13%	0.29%	0.48%	0.0%	0.0%	0.52%	0.27%	0.17%	0.0%	0.0%	0.0%	0.15%	0.57%	0.21%	0.19%	0.80%	0.0%	0.0%	0.0%	0.37%	0.0%	0.33%	0.0%	0.0%	0.0%	0.27%	0.24%	1.09%	0.16%	0.80%	0.0%	0.0%	0.0%	0.24%	0.20%	0.16%	0.10%	0.19%	0.0%	0.30%	0.15%	0.51%	0.0%	0.29%	0.44%	0.23%	0.83%	0.0%	0.0%	0.0%	0.0%	0.18%	0.93%	0.76%	0.41%	0.59%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	1.06%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.12%	0.0%	0.75%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	6253	81	11	20	11	104	50	53	3	112	146	117	200	68	9	70	146	20	284	109	7	99	13	104	90	15	90	2	58	15	217	77	28	214	108	12	13	9	185	161	150	157	54	71	50	107	20	185	165	57	52	134	23	32	137	109	65	98	32	166	226	45	162	9	30	146	25	26	42	21	20	8	97	45	6	140	30	63	35	82					
		15.36%	12.83%	8.66%	14.70%	5.97%	14.42%	14.61%	8.61%	2.20%	14.95%	19.10%	15.94%	17.00%	19.94%	5.02%	19.23%	21.95%	11.49%	15.14%	10.60%	5.64%	13.45%	9.70%	11.42%	16.79%	6.22%	9.94%	1.58%	24.36%	10.63%	20.05%	19.20%	15.38%	17.56%	21.81%	6.25%	12.26%	4.28%	15.32%	16.39%	12.13%	16.79%	10.30%	18.48%	15.15%	16.43%	10.20%	17.50%	16.11%	12.55%	12.00%	18.68%	9.16%	17.58%	15.71%	12.94%	12.24%	13.11%	24.61%	22.99%	22.57%	23.68%	23.37%	5.05%	18.18%	17.54%	26.59%	20.96%	22.45%	18.91%	13.60%	8.08%	11.29%	17.78%	7.40%	17.83%	11.95%	11.90%	15.98%	14.61%					
																																																																																						
41	Против всех	1880	20	1	6	5	32	17	25	3	40	34	56	50	19	12	20	33	9	101	34	7	23	9	40	20	5	21	5	4	7	53	18	5	58	15	8	7	5	74	62	76	44	42	26	22	29	9	46	46	21	14	42	3	12	58	63	33	27	2	17	27	7	19	10	3	23	3	5	9	7	13	3	51	10	3	24	15	17	5	31					
		4.62%	3.16%	0.78%	4.41%	2.71%	4.43%	4.97%	4.06%	2.20%	5.34%	4.45%	7.62%	4.25%	5.57%	6.70%	5.49%	4.96%	5.17%	5.38%	3.30%	5.64%	3.12%	6.71%	4.39%	3.73%	2.07%	2.32%	3.96%	1.68%	4.96%	4.89%	4.48%	2.74%	4.76%	3.03%	4.16%	6.60%	2.38%	6.13%	6.31%	6.14%	4.70%	8.01%	6.77%	6.66%	4.45%	4.59%	4.35%	4.49%	4.62%	3.23%	5.85%	1.19%	6.59%	6.65%	7.48%	6.21%	3.61%	1.53%	2.35%	2.69%	3.68%	2.74%	5.61%	1.81%	2.76%	3.19%	4.03%	4.81%	6.30%	8.84%	3.03%	5.93%	3.95%	3.70%	3.05%	5.97%	3.21%	2.28%	5.52%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
