Выборы Президента Российской Федерации																																																																																																																																																																	
																																																																																																																																																																	
Наименование Избирательной комиссии:    Набережно-Челнинская городская																																																																																																																																																																	
																																																																																																																																																																	
Итоги голосования 																																																																																																																																																																	
																																																																																																																																																																	
		Сумма	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224					
		4.65%	1.70%	3.58%	2.42%	3.60%	2.29%	4.46%	3.56%	4.04%	2.90%	3.08%	4.41%	4.44%	4.20%	4.53%	5.28%	4.58%	3.98%	5.15%	5.41%	5.12%	5.24%	4.94%	3.06%	3.98%	3.01%	4.24%	4.51%	4.61%	1.08%	0.87%	4.56%	4.01%	4.79%	4.29%	5.37%	5.48%	3.76%	2.27%	4.45%	4.89%	4.12%	5.30%	5.80%	5.55%	5.20%	5.31%	4.30%	4.11%	4.98%	5.26%	4.24%	5.15%	4.36%	4.94%	5.13%	4.84%	5.52%	5.29%	4.53%	3.99%	3.98%	6.58%	4.59%	4.53%	3.30%	4.33%	5.83%	6.53%	5.10%	4.75%	5.45%	5.01%	4.51%	4.57%	4.86%	5.59%	4.89%	5.66%	5.37%	4.51%	4.42%	5.96%	4.36%	4.04%	3.59%	4.14%	4.56%	6.03%	6.55%	4.59%	4.80%	4.46%	4.83%	3.59%	5.89%	5.12%	5.85%	5.37%	5.26%	5.29%	4.62%	4.85%	5.43%	5.00%	4.73%	4.60%	5.27%	4.40%	4.91%	5.06%	4.30%	3.99%	4.47%	6.24%	6.24%	4.27%	5.90%	3.82%	5.80%	8.01%	4.15%	5.98%	5.17%	5.37%	4.33%	4.03%	4.81%	5.62%	3.67%	4.35%	3.65%	4.12%	5.61%	6.25%	3.74%	4.49%	5.28%	3.73%	4.19%	3.82%	3.82%	2.92%	4.74%	2.81%	3.80%	4.25%	3.21%	3.64%	4.46%	3.85%	4.12%	5.08%	5.58%	5.35%					
23	. Харитонов Николай Михайлович	30490	63	175	30	170	306	31	163	174	259	278	272	154	170	310	242	269	241	320	263	262	224	304	233	257	231	276	295	240	84	51	182	274	93	238	152	172	164	61	337	249	242	210	183	212	210	251	258	229	225	214	180	236	100	215	230	161	193	238	192	155	218	132	189	159	239	303	181	181	251	171	122	249	256	223	183	194	237	220	227	194	190	233	179	124	183	224	235	157	165	129	121	122	230	136	175	99	116	150	190	192	223	257	226	216	211	185	234	255	220	258	186	190	214	239	264	220	167	218	259	179	162	144	188	182	225	268	196	194	273	213	117	170	189	62	191	240	216	138	193	167	110	134	213	102	116	168	181	244	172	204	170	177	200	268					
		12.30%	11.91%	13.62%	10.38%	13.04%	17.54%	9.23%	16.12%	13.78%	13.41%	13.83%	14.64%	10.37%	10.83%	15.61%	13.45%	15.02%	14.10%	16.49%	14.97%	13.54%	14.15%	16.32%	16.99%	16.75%	17.82%	17.47%	16.04%	14.95%	6.03%	3.69%	12.78%	15.27%	8.57%	16.20%	22.65%	9.42%	7.90%	9.24%	19.74%	13.37%	13.84%	13.08%	11.18%	12.14%	11.49%	13.20%	13.22%	12.23%	12.19%	11.60%	9.79%	12.92%	8.54%	12.22%	11.13%	12.58%	13.50%	12.60%	11.46%	8.25%	11.42%	8.60%	12.39%	10.76%	13.38%	13.94%	11.46%	10.37%	13.06%	13.09%	9.37%	14.16%	13.60%	13.40%	13.48%	11.06%	11.95%	11.64%	12.18%	11.37%	11.06%	11.48%	10.54%	6.67%	10.42%	11.45%	11.90%	10.06%	10.40%	8.97%	12.09%	10.27%	12.20%	9.22%	11.45%	7.91%	8.07%	12.03%	12.35%	11.17%	12.58%	14.66%	13.05%	11.48%	11.48%	10.39%	12.59%	13.84%	11.49%	13.90%	11.77%	12.65%	12.93%	13.94%	14.59%	12.21%	8.72%	11.09%	12.72%	9.31%	10.84%	10.50%	10.34%	10.18%	11.89%	13.84%	11.35%	13.13%	15.17%	10.90%	15.23%	11.30%	11.78%	9.23%	11.16%	12.82%	13.11%	10.52%	13.03%	9.68%	11.35%	11.87%	11.23%	11.46%	12.24%	12.11%	13.19%	13.45%	10.97%	13.10%	11.68%	12.32%	11.50%	14.94%					
																																																																																																																																																																	
24	Против всех	9576	4	55	12	7	58	12	41	30	9	67	47	73	99	57	18	13	59	55	1	57	41	15	43	54	36	71	67	3	18	30	54	65	42	45	15	73	82	18	50	72	89	78	86	48	70	85	69	91	97	80	110	67	85	73	98	58	49	84	86	85	73	71	52	34	99	120	89	72	89	59	65	63	96	78	66	65	82	91	72	71	70	85	84	88	71	42	80	59	66	51	34	54	88	75	71	27	55	58	61	65	74	70	84	105	68	132	62	52	108	60	77	69	66	50	66	69	31	86	10	63	76	63	74	80	94	99	69	57	63	30	55	69	61	23	68	77	66	55	64	12	31	58	57	50	54	69	48	73	72	68	78	64	86	64					
		3.86%	0.76%	4.28%	4.15%	0.54%	3.32%	3.57%	4.06%	2.38%	0.47%	3.33%	2.53%	4.92%	6.31%	2.87%	1.00%	0.73%	3.45%	2.83%	0.06%	2.95%	2.59%	0.81%	3.14%	3.52%	2.78%	4.49%	3.64%	0.19%	1.29%	2.17%	3.79%	3.62%	3.87%	3.06%	2.24%	4.00%	3.95%	2.73%	2.93%	3.87%	5.09%	4.86%	5.25%	2.75%	3.83%	4.47%	3.53%	4.86%	5.25%	4.34%	5.98%	3.67%	7.26%	4.15%	4.74%	4.53%	3.43%	4.45%	5.13%	4.52%	3.82%	4.63%	3.41%	2.30%	5.54%	5.52%	5.64%	4.13%	4.63%	4.52%	4.99%	3.58%	5.10%	4.69%	4.86%	3.71%	4.13%	4.81%	3.86%	4.16%	4.07%	4.19%	4.95%	4.74%	4.04%	2.15%	4.05%	3.78%	4.16%	3.55%	3.40%	4.55%	4.67%	5.08%	4.64%	2.16%	3.83%	4.65%	3.96%	3.78%	4.17%	3.99%	4.85%	5.58%	3.70%	7.41%	3.34%	2.82%	5.64%	3.23%	4.87%	4.59%	3.99%	2.92%	3.65%	3.83%	1.62%	4.38%	0.49%	3.28%	5.08%	4.60%	4.07%	4.48%	4.97%	5.11%	4.00%	3.86%	3.50%	1.53%	7.16%	4.58%	3.80%	3.42%	3.97%	4.11%	4.01%	4.19%	4.32%	0.70%	3.20%	5.14%	3.00%	5.62%	5.70%	4.97%	3.50%	4.02%	4.59%	4.37%	5.36%	4.45%	4.95%	3.57%					
																																																																																																																																																																	
																																																																																																																																																																	
																																																																																																																																																																	
																																																																																																																																																																	
																																																																																																																																																																	
																																																																																																																																																																	
																																																																																																																																																																	
																																																																																																																																																																	
																																																																																																																																																																	
																																																																																																																																																																	
																																																																																																																																																																	
																																																																																																																																																																	
																																																																																																																																																																	
																																																																																																																																																																	
																																																																																																																																																																	
