Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																																															
																																																																																															
"Наименование Избирательной комиссии:    Тюмень, Ленинская"																																																																																															
																																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																															
																																																																																															
		Сумма	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902					
		0.25%	0.40%	1.13%	0.0%	0.07%	0.0%	0.33%	0.29%	0.29%	0.33%	0.0%	0.26%	0.15%	0.17%	0.56%	0.12%	0.30%	0.10%	0.14%	0.51%	0.63%	0.11%	0.29%	0.0%	0.15%	0.17%	0.07%	0.07%	0.22%	0.36%	0.28%	0.15%	0.08%	0.30%	0.0%	0.45%	0.18%	0.09%	0.25%	0.24%	0.20%	0.30%	0.18%	0.43%	0.0%	0.0%	0.30%	0.23%	2.22%	0.18%	0.61%	0.44%	0.09%	0.09%	0.0%	0.0%	0.96%	0.66%	0.30%	0.98%	0.28%	0.0%	0.08%	0.49%	0.07%	0.0%	0.40%	0.0%	0.20%	0.10%	0.23%	0.0%	0.0%	0.0%	0.42%	0.27%	0.52%	1.37%	0.0%	2.29%	0.10%	0.11%	0.15%	0.32%	0.37%	0.0%	0.17%	0.13%	1.01%					
32	"15. ""Партия СЛОН"""	120	2	3	1	2	1	1	3	3	0	3	1	3	0	3	0	0	2	0	0	1	0	3	0	3	2	3	0	4	3	2	3	0	0	2	1	1	0	3	1	0	0	0	1	3	1	0	0	0	1	0	2	4	1	4	1	0	1	3	0	2	5	0	0	2	5	0	1	0	4	2	0	1	2	1	0	1	2	0	0	1	5	1	0	1	0	2	0	0					
		0.14%	0.16%	0.24%	0.11%	0.14%	0.14%	0.08%	0.22%	0.29%	0.0%	0.21%	0.08%	0.22%	0.0%	0.28%	0.0%	0.0%	0.20%	0.0%	0.0%	0.09%	0.0%	0.29%	0.0%	0.22%	0.17%	0.22%	0.0%	0.29%	0.22%	0.14%	0.23%	0.0%	0.0%	0.28%	0.07%	0.09%	0.0%	0.25%	0.08%	0.0%	0.0%	0.0%	0.08%	0.30%	0.08%	0.0%	0.0%	0.0%	0.09%	0.0%	0.14%	0.37%	0.09%	0.40%	0.36%	0.0%	0.16%	0.30%	0.0%	0.19%	0.56%	0.0%	0.0%	0.15%	0.42%	0.0%	0.16%	0.0%	0.41%	0.23%	0.0%	0.12%	0.21%	0.14%	0.0%	0.10%	0.21%	0.0%	0.0%	0.10%	0.58%	0.15%	0.0%	0.18%	0.0%	0.17%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5464	44	64	38	86	27	79	62	55	61	112	89	107	28	53	43	102	33	77	39	83	59	73	33	96	49	81	92	112	87	97	106	64	86	62	107	94	87	111	86	92	119	73	99	97	108	125	53	5	67	92	158	105	80	49	17	6	19	68	69	72	67	75	23	54	55	44	18	37	63	46	3	25	43	35	68	59	34	5	1	55	56	26	28	24	8	38	28	9					
		6.52%	3.58%	5.20%	4.38%	6.35%	3.93%	6.53%	4.61%	5.48%	5.04%	7.99%	7.77%	8.09%	4.93%	5.00%	5.48%	7.87%	3.38%	5.65%	5.06%	7.54%	6.90%	7.27%	6.61%	7.32%	4.34%	6.20%	6.72%	8.34%	6.39%	6.85%	8.16%	5.34%	8.76%	8.73%	8.04%	8.56%	7.98%	9.37%	7.14%	9.34%	9.11%	6.74%	8.57%	9.73%	9.41%	9.42%	6.35%	11.11%	6.10%	8.10%	11.62%	9.89%	7.43%	4.95%	6.22%	5.76%	3.16%	6.95%	8.46%	6.88%	7.54%	6.70%	5.66%	4.29%	4.66%	5.88%	2.96%	3.78%	6.54%	5.39%	4.05%	3.22%	4.55%	4.91%	6.23%	6.21%	3.58%	3.33%	1.14%	5.95%	6.54%	3.98%	4.60%	4.49%	3.94%	3.40%	3.68%	2.27%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	121	2	1	3	0	0	5	1	0	3	5	1	1	0	1	1	2	1	4	2	1	2	5	1	0	1	2	2	0	2	0	2	0	1	2	1	1	3	0	0	2	1	2	1	2	1	0	1	0	1	2	2	0	1	4	0	0	1	2	1	0	0	0	2	0	1	1	1	3	0	2	0	1	2	3	1	1	4	0	1	4	1	0	0	3	0	2	2	3					
		0.14%	0.16%	0.08%	0.34%	0.0%	0.0%	0.41%	0.07%	0.0%	0.24%	0.35%	0.08%	0.07%	0.0%	0.09%	0.12%	0.15%	0.10%	0.29%	0.25%	0.09%	0.23%	0.49%	0.20%	0.0%	0.08%	0.15%	0.14%	0.0%	0.14%	0.0%	0.15%	0.0%	0.10%	0.28%	0.07%	0.09%	0.27%	0.0%	0.0%	0.20%	0.07%	0.18%	0.08%	0.20%	0.08%	0.0%	0.11%	0.0%	0.09%	0.17%	0.14%	0.0%	0.09%	0.40%	0.0%	0.0%	0.16%	0.20%	0.12%	0.0%	0.0%	0.0%	0.49%	0.0%	0.08%	0.13%	0.16%	0.30%	0.0%	0.23%	0.0%	0.12%	0.21%	0.42%	0.09%	0.10%	0.42%	0.0%	1.14%	0.43%	0.11%	0.0%	0.0%	0.56%	0.0%	0.17%	0.26%	0.75%					
35	"18. ""ЛДПР"""	9562	191	169	105	172	70	122	139	95	121	177	135	138	89	83	87	152	148	137	89	133	86	136	46	170	157	134	172	166	124	163	158	142	89	95	136	111	103	114	110	96	156	110	99	106	94	120	90	1	123	105	105	120	105	113	23	7	61	92	62	94	93	118	60	177	168	124	83	114	130	101	8	113	115	91	135	120	100	19	15	100	78	94	97	73	31	156	115	88					
		11.41%	15.56%	13.73%	12.12%	12.70%	10.18%	10.09%	10.34%	9.47%	10.00%	12.63%	11.79%	10.44%	15.69%	7.84%	11.09%	11.73%	15.16%	10.06%	11.55%	12.09%	10.05%	13.55%	9.21%	12.97%	13.93%	10.26%	12.57%	12.36%	9.11%	11.52%	12.16%	11.85%	9.07%	13.38%	10.22%	10.11%	9.44%	9.62%	9.13%	9.75%	11.95%	10.16%	8.57%	10.64%	8.19%	9.04%	10.79%	2.22%	11.20%	9.25%	7.72%	11.31%	9.75%	11.42%	8.42%	6.73%	10.14%	9.40%	7.60%	8.99%	10.47%	10.54%	14.77%	14.08%	14.23%	16.57%	13.65%	11.65%	13.51%	11.84%	10.81%	14.59%	12.16%	12.78%	12.37%	12.63%	10.54%	12.66%	17.24%	10.83%	9.11%	14.41%	15.95%	13.67%	15.27%	13.97%	15.13%	22.27%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	996	16	8	10	22	9	20	13	14	12	11	7	9	11	14	8	18	15	18	8	16	5	17	8	20	14	13	16	19	14	10	13	12	7	8	20	15	12	16	9	10	15	13	16	7	12	15	9	1	21	13	17	17	15	5	4	1	10	11	15	13	10	13	5	17	8	8	8	12	11	16	1	9	12	9	18	12	17	1	5	6	5	4	6	10	2	11	9	4					
		1.18%	1.30%	0.65%	1.15%	1.62%	1.31%	1.65%	0.96%	1.39%	0.99%	0.78%	0.61%	0.68%	1.94%	1.32%	1.02%	1.38%	1.53%	1.32%	1.03%	1.45%	0.58%	1.69%	1.60%	1.52%	1.24%	0.99%	1.16%	1.41%	1.02%	0.70%	1.00%	1.00%	0.71%	1.12%	1.50%	1.36%	1.10%	1.35%	0.74%	1.01%	1.14%	1.20%	1.38%	0.70%	1.04%	1.13%	1.07%	2.22%	1.91%	1.14%	1.25%	1.60%	1.39%	0.50%	1.46%	0.96%	1.66%	1.12%	1.84%	1.24%	1.12%	1.16%	1.23%	1.35%	0.67%	1.06%	1.31%	1.22%	1.14%	1.87%	1.35%	1.16%	1.26%	1.26%	1.64%	1.26%	1.79%	0.66%	5.74%	0.65%	0.58%	0.61%	0.98%	1.87%	0.98%	0.98%	1.18%	1.01%					
37	"20. ""Политическая партия ""Единая Россия"""	38456	618	644	441	640	352	597	665	465	608	672	525	590	268	509	385	573	517	601	405	470	409	399	238	556	481	628	608	597	619	648	609	559	437	285	569	453	496	523	531	437	581	471	490	403	483	535	383	13	480	474	568	437	459	533	129	42	345	413	321	491	446	518	175	633	610	330	279	476	428	403	37	344	454	333	472	436	434	71	37	463	386	360	280	226	83	553	359	152					
		45.90%	50.36%	52.35%	50.92%	47.26%	51.23%	49.37%	49.51%	46.36%	50.28%	47.96%	45.85%	44.66%	47.26%	48.10%	49.10%	44.24%	52.97%	44.15%	52.59%	42.72%	47.83%	39.78%	47.69%	42.44%	42.67%	48.08%	44.44%	44.48%	45.48%	45.82%	46.88%	46.66%	44.54%	40.14%	42.78%	41.29%	45.50%	44.17%	44.10%	44.41%	44.52%	43.53%	42.46%	40.46%	42.10%	40.34%	45.92%	28.88%	43.71%	41.76%	41.79%	41.18%	42.65%	53.89%	47.25%	40.38%	57.40%	42.22%	39.38%	46.98%	50.22%	46.29%	43.10%	50.35%	51.69%	44.11%	45.88%	48.67%	44.49%	47.24%	50.0%	44.44%	48.04%	46.76%	43.26%	45.89%	45.78%	47.33%	42.52%	50.16%	45.09%	55.21%	46.05%	42.32%	40.88%	49.55%	47.23%	38.48%					
38	"21. ""Российская Конституционно-демократическая партия"""	146	1	2	2	1	2	5	3	2	3	3	2	2	1	0	2	1	2	2	1	3	1	1	1	1	2	4	4	2	4	1	2	1	2	0	1	2	2	0	3	1	3	2	0	1	1	2	1	0	2	0	1	3	1	1	2	0	2	3	22	0	0	0	0	1	1	0	2	4	1	1	0	1	0	3	1	2	1	2	0	0	0	1	0	0	0	1	1	1					
		0.17%	0.08%	0.16%	0.23%	0.07%	0.29%	0.41%	0.22%	0.19%	0.24%	0.21%	0.17%	0.15%	0.17%	0.0%	0.25%	0.07%	0.20%	0.14%	0.12%	0.27%	0.11%	0.09%	0.20%	0.07%	0.17%	0.30%	0.29%	0.14%	0.29%	0.07%	0.15%	0.08%	0.20%	0.0%	0.07%	0.18%	0.18%	0.0%	0.24%	0.10%	0.22%	0.18%	0.0%	0.10%	0.08%	0.15%	0.11%	0.0%	0.18%	0.0%	0.07%	0.28%	0.09%	0.10%	0.73%	0.0%	0.33%	0.30%	2.69%	0.0%	0.0%	0.0%	0.0%	0.07%	0.08%	0.0%	0.32%	0.40%	0.10%	0.11%	0.0%	0.12%	0.0%	0.42%	0.09%	0.21%	0.10%	1.33%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.08%	0.13%	0.25%					
39	"22. ""Развитие предпринимательства"""	224	0	4	2	4	0	4	2	3	6	5	2	3	4	4	0	3	3	5	1	2	4	2	0	3	2	6	6	2	10	4	2	2	2	2	2	6	1	3	9	1	2	2	5	3	3	2	4	0	5	6	8	4	3	2	0	0	3	2	2	2	0	4	1	2	1	1	2	2	0	3	0	2	0	3	2	0	2	0	0	4	0	3	0	1	3	3	1	0					
		0.26%	0.0%	0.32%	0.23%	0.29%	0.0%	0.33%	0.14%	0.29%	0.49%	0.35%	0.17%	0.22%	0.70%	0.37%	0.0%	0.23%	0.30%	0.36%	0.12%	0.18%	0.46%	0.19%	0.0%	0.22%	0.17%	0.45%	0.43%	0.14%	0.73%	0.28%	0.15%	0.16%	0.20%	0.28%	0.15%	0.54%	0.09%	0.25%	0.74%	0.10%	0.15%	0.18%	0.43%	0.30%	0.26%	0.15%	0.47%	0.0%	0.45%	0.52%	0.58%	0.37%	0.27%	0.20%	0.0%	0.0%	0.49%	0.20%	0.24%	0.19%	0.0%	0.35%	0.24%	0.15%	0.08%	0.13%	0.32%	0.20%	0.0%	0.35%	0.0%	0.25%	0.0%	0.42%	0.18%	0.0%	0.21%	0.0%	0.0%	0.43%	0.0%	0.46%	0.0%	0.18%	1.47%	0.26%	0.13%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	7316	88	90	52	83	41	100	105	80	85	98	98	112	28	49	44	137	64	143	49	123	65	111	32	107	105	110	111	115	119	139	104	107	88	64	132	117	99	119	108	80	89	99	116	112	147	117	65	4	91	131	144	78	126	45	35	22	34	101	81	76	72	93	55	106	76	59	41	108	124	91	4	91	88	75	124	92	113	14	5	91	93	36	39	41	18	72	68	13					
		8.73%	7.17%	7.31%	6.00%	6.12%	5.96%	8.27%	7.81%	7.97%	7.03%	6.99%	8.55%	8.47%	4.93%	4.63%	5.61%	10.57%	6.55%	10.50%	6.36%	11.18%	7.60%	11.06%	6.41%	8.16%	9.31%	8.42%	8.11%	8.56%	8.74%	9.83%	8.00%	8.93%	8.97%	9.01%	9.92%	10.66%	9.08%	10.05%	8.97%	8.13%	6.81%	9.14%	10.05%	11.24%	12.81%	8.82%	7.79%	8.88%	8.28%	11.54%	10.59%	7.35%	11.71%	4.55%	12.82%	21.15%	5.65%	10.32%	9.93%	7.27%	8.10%	8.31%	13.54%	8.43%	6.44%	7.88%	6.74%	11.04%	12.88%	10.66%	5.40%	11.75%	9.31%	10.53%	11.36%	9.68%	11.91%	9.33%	5.74%	9.85%	10.86%	5.52%	6.41%	7.67%	8.86%	6.45%	8.94%	3.29%					
																																																																																															
41	Против всех	3098	27	33	28	71	26	42	63	37	51	52	40	51	20	72	32	46	42	55	26	33	26	38	17	76	61	47	42	44	61	58	41	48	27	26	48	35	32	32	45	40	52	31	42	39	47	35	38	3	43	28	44	38	30	48	6	3	20	32	20	38	22	47	13	44	35	30	35	46	18	27	2	34	30	23	45	37	37	3	3	27	32	21	33	35	9	33	24	25					
		3.69%	2.20%	2.68%	3.23%	5.24%	3.78%	3.47%	4.69%	3.68%	4.21%	3.71%	3.49%	3.86%	3.52%	6.80%	4.08%	3.55%	4.30%	4.04%	3.37%	3.0%	3.04%	3.78%	3.40%	5.80%	5.41%	3.59%	3.07%	3.27%	4.48%	4.10%	3.15%	4.00%	2.75%	3.66%	3.60%	3.19%	2.93%	2.70%	3.73%	4.06%	3.98%	2.86%	3.63%	3.91%	4.09%	2.63%	4.55%	6.66%	3.91%	2.46%	3.23%	3.58%	2.78%	4.85%	2.19%	2.88%	3.32%	3.27%	2.45%	3.63%	2.47%	4.20%	3.20%	3.50%	2.96%	4.01%	5.75%	4.70%	1.87%	3.16%	2.70%	4.39%	3.17%	3.23%	4.12%	3.89%	3.90%	2.0%	3.44%	2.92%	3.73%	3.22%	5.42%	6.55%	4.43%	2.95%	3.15%	6.32%					
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
