Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																	
Дата голосования: 18.09.2016																																																																																																																																	
																																																																																																																																	
Наименование Избирательной комиссии:    Якутская городская																																																																																																																																	
																																																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																	
																																																																																																																																	
		Сумма	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	881	4	9	8	0	10	6	8	9	5	10	8	3	13	11	6	9	21	10	12	18	27	16	4	16	7	21	14	8	19	4	3	6	20	5	12	18	11	3	5	6	8	5	14	3	2	4	16	3	4	6	13	10	10	8	11	21	12	20	4	8	0	4	5	0	5	2	9	5	7	2	1	5	6	1	3	4	5	3	10	1	5	8	3	1	2	0	2	13	8	8	16	12	11	2	3	4	5	3	4	3	15	9	9	9	1	4	5	3	4	5	2	12	0	4	5	3	8	5									
		1.21%	0.57%	1.66%	0.91%	0.00%	2.24%	0.82%	1.02%	1.34%	0.74%	1.49%	1.27%	0.54%	1.80%	2.22%	0.80%	1.21%	2.32%	1.05%	1.73%	1.93%	2.45%	1.35%	1.47%	1.66%	0.95%	2.32%	1.93%	2.13%	1.81%	0.48%	0.57%	1.01%	2.07%	0.53%	1.45%	2.54%	1.65%	0.54%	0.84%	0.57%	1.78%	1.09%	1.54%	1.38%	0.41%	0.86%	1.67%	0.79%	0.40%	1.23%	1.83%	1.96%	1.10%	1.06%	1.40%	2.29%	1.19%	3.15%	0.84%	0.91%	0.00%	1.11%	0.83%	0.00%	1.14%	0.50%	1.09%	0.88%	1.34%	1.38%	0.67%	0.96%	0.64%	0.17%	0.69%	0.87%	0.75%	0.64%	1.90%	0.18%	1.07%	1.19%	0.44%	0.12%	0.69%	0.00%	0.51%	1.60%	1.58%	1.23%	1.53%	1.75%	1.32%	0.48%	0.57%	0.36%	1.11%	0.55%	0.64%	1.14%	1.31%	1.60%	1.32%	1.59%	1.23%	1.51%	1.62%	0.87%	1.21%	0.86%	0.75%	1.73%	0.00%	1.49%	0.93%	1.07%	1.53%	1.34%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	122	2	0	4	1	0	1	2	2	0	1	1	3	1	1	0	3	2	1	1	1	1	1	1	3	0	3	0	0	1	2	0	0	3	3	0	2	1	1	1	1	1	0	0	0	1	1	0	1	0	1	0	2	2	1	2	0	1	2	2	2	0	0	0	1	0	2	0	5	0	1	0	2	1	0	0	1	0	1	1	2	0	3	1	2	3	0	1	0	1	1	1	1	0	0	3	2	1	3	0	0	1	1	1	0	0	0	0	0	0	0	2	2	0	0	0	1	0	4									
		0.17%	0.28%	0.00%	0.45%	0.27%	0.00%	0.14%	0.26%	0.30%	0.00%	0.15%	0.16%	0.54%	0.14%	0.20%	0.00%	0.40%	0.22%	0.10%	0.14%	0.11%	0.09%	0.08%	0.37%	0.31%	0.00%	0.33%	0.00%	0.00%	0.10%	0.24%	0.00%	0.00%	0.31%	0.32%	0.00%	0.28%	0.15%	0.18%	0.17%	0.10%	0.22%	0.00%	0.00%	0.00%	0.21%	0.22%	0.00%	0.26%	0.00%	0.21%	0.00%	0.39%	0.22%	0.13%	0.26%	0.00%	0.10%	0.31%	0.42%	0.23%	0.00%	0.00%	0.00%	0.41%	0.00%	0.50%	0.00%	0.88%	0.00%	0.69%	0.00%	0.38%	0.11%	0.00%	0.00%	0.22%	0.00%	0.21%	0.19%	0.36%	0.00%	0.45%	0.15%	0.23%	1.03%	0.00%	0.25%	0.00%	0.20%	0.15%	0.10%	0.15%	0.00%	0.00%	0.57%	0.18%	0.22%	0.55%	0.00%	0.00%	0.09%	0.18%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.29%	0.00%	0.00%	0.00%	0.36%	0.00%	1.07%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2058	24	12	17	12	10	24	29	20	23	14	10	7	19	13	27	29	46	23	37	62	42	48	13	30	35	65	29	8	32	26	9	13	42	33	28	31	15	29	13	23	13	8	23	6	6	12	21	6	14	15	25	17	24	26	18	19	34	14	13	20	15	10	7	5	12	5	17	19	14	3	3	2	19	10	6	8	7	9	15	15	5	9	3	5	2	0	1	22	19	16	53	29	30	7	7	31	13	14	15	2	57	10	7	9	0	5	12	11	10	21	3	23	3	3	12	13	15	4									
		2.83%	3.40%	2.21%	1.93%	3.22%	2.24%	3.27%	3.71%	2.98%	3.39%	2.09%	1.59%	1.26%	2.63%	2.63%	3.60%	3.91%	5.08%	2.41%	5.33%	6.65%	3.81%	4.04%	4.76%	3.12%	4.76%	7.17%	3.99%	2.13%	3.05%	3.10%	1.72%	2.19%	4.34%	3.48%	3.37%	4.38%	2.25%	5.21%	2.17%	2.19%	2.90%	1.75%	2.53%	2.75%	1.24%	2.58%	2.20%	1.57%	1.40%	3.08%	3.52%	3.34%	2.64%	3.46%	2.30%	2.07%	3.38%	2.20%	2.73%	2.27%	4.84%	2.78%	1.16%	2.04%	2.73%	1.25%	2.07%	3.33%	2.68%	2.07%	2.01%	0.38%	2.02%	1.69%	1.38%	1.73%	1.05%	1.91%	2.86%	2.70%	1.07%	1.34%	0.44%	0.58%	0.69%	0.00%	0.25%	2.71%	3.75%	2.46%	5.07%	4.23%	3.59%	1.67%	1.32%	2.82%	2.90%	2.57%	2.40%	0.76%	4.98%	1.77%	1.03%	1.59%	0.00%	1.89%	3.90%	3.18%	3.02%	3.61%	1.13%	3.32%	1.08%	1.12%	2.23%	4.64%	2.86%	1.07%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	10653	92	109	67	56	45	101	122	91	97	117	102	87	106	76	85	122	133	69	104	162	201	186	31	147	120	151	106	60	153	106	75	74	163	151	129	91	119	105	95	109	73	71	108	26	72	58	138	57	117	82	110	68	155	132	97	124	161	89	77	119	31	43	84	32	81	69	99	76	80	23	21	53	177	74	88	76	80	71	95	73	60	91	90	128	36	15	77	123	79	92	167	123	140	58	35	81	64	64	109	39	151	91	130	79	13	38	54	58	41	96	41	125	75	46	88	37	84	60									
		14.67%	13.03%	20.11%	7.60%	15.01%	10.07%	13.74%	15.62%	13.56%	14.29%	17.44%	16.24%	15.65%	14.68%	15.35%	11.33%	16.46%	14.68%	7.22%	14.99%	17.38%	18.26%	15.67%	11.36%	15.26%	16.33%	16.67%	14.58%	15.96%	14.60%	12.65%	14.31%	12.46%	16.86%	15.91%	15.54%	12.85%	17.87%	18.85%	15.89%	10.39%	16.26%	15.54%	11.87%	11.93%	14.91%	12.47%	14.44%	14.92%	11.68%	16.84%	15.47%	13.36%	17.03%	17.55%	12.39%	13.54%	16.00%	14.02%	16.18%	13.51%	10.00%	11.94%	13.93%	13.06%	18.45%	17.25%	12.04%	13.33%	15.30%	15.86%	14.09%	10.19%	18.83%	12.48%	20.23%	16.45%	11.96%	15.11%	18.10%	13.13%	12.82%	13.54%	13.20%	14.78%	12.41%	15.63%	19.59%	15.17%	15.61%	14.15%	15.97%	17.96%	16.75%	13.88%	6.60%	7.36%	14.25%	11.76%	17.44%	14.83%	13.20%	16.13%	19.09%	13.96%	16.05%	14.34%	17.53%	16.76%	12.39%	16.49%	15.41%	18.04%	26.98%	17.10%	16.33%	13.21%	16.03%	16.09%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	216	3	0	3	3	2	3	2	4	4	0	1	3	0	1	5	1	2	3	0	1	4	3	1	3	4	1	2	1	1	4	1	2	2	2	0	2	1	2	1	2	2	0	2	0	1	3	4	1	3	1	2	1	5	2	5	2	2	2	0	5	1	3	0	1	1	0	0	3	0	0	0	0	3	1	1	1	4	1	5	2	2	0	3	2	0	0	0	3	3	1	1	1	1	2	2	2	2	4	2	0	6	1	5	2	1	1	0	1	1	4	1	2	0	1	4	1	3	1									
		0.30%	0.42%	0.00%	0.34%	0.80%	0.45%	0.41%	0.26%	0.60%	0.59%	0.00%	0.16%	0.54%	0.00%	0.20%	0.67%	0.13%	0.22%	0.31%	0.00%	0.11%	0.36%	0.25%	0.37%	0.31%	0.54%	0.11%	0.28%	0.27%	0.10%	0.48%	0.19%	0.34%	0.21%	0.21%	0.00%	0.28%	0.15%	0.36%	0.17%	0.19%	0.45%	0.00%	0.22%	0.00%	0.21%	0.65%	0.42%	0.26%	0.30%	0.21%	0.28%	0.20%	0.55%	0.27%	0.64%	0.22%	0.20%	0.31%	0.00%	0.57%	0.32%	0.83%	0.00%	0.41%	0.23%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.32%	0.17%	0.23%	0.22%	0.60%	0.21%	0.95%	0.36%	0.43%	0.00%	0.44%	0.23%	0.00%	0.00%	0.00%	0.37%	0.59%	0.15%	0.10%	0.15%	0.12%	0.48%	0.38%	0.18%	0.45%	0.74%	0.32%	0.00%	0.52%	0.18%	0.73%	0.35%	1.23%	0.38%	0.00%	0.29%	0.30%	0.69%	0.38%	0.29%	0.00%	0.37%	0.74%	0.36%	0.57%	0.27%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	13688	109	112	166	66	92	161	172	123	158	132	155	116	157	109	163	151	227	211	170	148	206	266	68	212	148	163	142	79	236	171	92	120	166	189	190	147	122	123	114	206	69	84	216	34	102	95	196	62	218	83	109	89	209	136	133	152	146	86	83	150	46	52	72	33	63	41	141	71	92	16	8	19	220	111	66	54	135	62	105	68	41	49	47	133	22	7	46	144	88	133	195	160	160	79	115	220	99	136	125	59	233	94	182	102	17	33	36	69	72	130	53	183	38	40	99	55	133	76									
		18.85%	15.44%	20.66%	18.84%	17.69%	20.58%	21.90%	22.02%	18.33%	23.27%	19.67%	24.68%	20.86%	21.75%	22.02%	21.73%	20.38%	25.06%	22.07%	24.50%	15.88%	18.71%	22.41%	24.91%	22.01%	20.14%	17.99%	19.53%	21.01%	22.52%	20.41%	17.56%	20.20%	17.17%	19.92%	22.89%	20.76%	18.32%	22.08%	19.06%	19.64%	15.37%	18.38%	23.74%	15.60%	21.12%	20.43%	20.50%	16.23%	21.76%	17.04%	15.33%	17.49%	22.97%	18.09%	16.99%	16.59%	14.51%	13.54%	17.44%	17.03%	14.84%	14.44%	11.94%	13.47%	14.35%	10.25%	17.15%	12.46%	17.59%	11.03%	5.37%	3.65%	23.40%	18.72%	15.17%	11.69%	20.18%	13.19%	20.00%	12.23%	8.76%	7.29%	6.89%	15.36%	7.59%	7.29%	11.70%	17.76%	17.39%	20.46%	18.64%	23.36%	19.14%	18.90%	21.70%	20.00%	22.05%	25.00%	20.00%	22.43%	20.37%	16.67%	26.73%	18.02%	20.99%	12.45%	11.69%	19.94%	21.75%	22.34%	19.92%	26.41%	13.67%	14.87%	18.37%	19.64%	25.38%	20.38%									
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
																																																																																																																																	
