Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Нальчикская городская																																																																																																													
																																																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																													
																																																																																																													
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187					
		0.72%	1.73%	0.74%	0.78%	3.09%	0.80%	1.29%	1.05%	0.16%	0.75%	1.47%	0.0%	0.53%	1.70%	0.89%	0.0%	0.64%	0.47%	0.36%	0.68%	0.0%	0.27%	0.0%	1.59%	0.47%	0.96%	0.66%	0.32%	0.16%	0.37%	0.6%	1.98%	1.19%	0.31%	1.21%	0.68%	0.22%	0.20%	0.10%	0.0%	0.88%	0.62%	1.28%	1.89%	0.0%	1.39%	1.11%	0.0%	1.55%	0.79%	0.52%	0.71%	1.52%	0.65%	0.0%	0.72%	1.24%	0.55%	1.96%	2.74%	0.59%	0.94%	0.67%	0.0%	0.95%	1.02%	1.00%	0.49%	0.12%	0.19%	0.25%	0.41%	1.05%	0.83%	0.35%	0.89%	0.49%	0.46%	0.41%	0.0%	0.76%	0.31%	0.46%	0.66%	0.0%	0.22%	1.16%	0.0%	0.12%	0.34%	0.72%	0.50%	0.95%	1.07%	1.08%	1.12%	1.42%	0.53%	1.57%	0.0%	1.70%	0.59%	1.40%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	765	5	2	2	2	0	5	6	15	4	8	0	3	2	11	5	3	13	2	12	3	2	10	4	17	9	5	2	6	7	4	0	6	11	9	2	10	3	9	1	15	3	10	57	16	2	2	0	6	47	12	35	4	2	0	6	4	10	22	2	8	3	11	0	7	7	3	1	9	10	10	6	14	1	9	6	2	3	8	5	5	6	6	13	0	7	8	3	12	3	9	11	22	7	9	23	13	3	0	0	3	0	4					
		0.96%	0.48%	0.24%	0.31%	0.29%	0.0%	1.29%	0.79%	1.25%	0.50%	1.69%	0.0%	0.40%	0.31%	1.09%	0.57%	0.27%	2.04%	0.36%	1.65%	0.32%	0.27%	0.89%	0.53%	2.02%	1.74%	0.66%	0.32%	0.48%	0.87%	0.8%	0.0%	0.79%	1.16%	1.81%	0.34%	1.14%	0.62%	0.94%	0.22%	1.10%	0.26%	1.16%	6.36%	2.03%	0.25%	0.20%	0.0%	0.77%	4.14%	0.89%	5.03%	1.22%	0.32%	0.0%	0.72%	0.82%	1.38%	2.40%	0.39%	0.95%	0.70%	1.23%	0.0%	0.83%	1.02%	0.37%	0.09%	1.08%	0.97%	1.28%	0.82%	1.13%	0.11%	1.57%	0.89%	0.32%	0.70%	1.66%	1.05%	0.63%	0.94%	0.93%	0.96%	0.0%	0.79%	0.85%	0.30%	1.51%	0.34%	1.31%	1.83%	2.32%	1.25%	0.88%	3.24%	2.65%	0.53%	0.0%	0.0%	0.46%	0.0%	0.93%					
30	"13. ""Демократическая партия России"""	138	6	2	3	4	0	0	2	0	3	0	1	2	1	1	0	1	3	0	0	0	0	0	2	0	1	1	0	1	1	3	0	2	0	0	0	2	1	0	0	1	11	12	3	0	0	6	0	2	0	2	1	1	0	0	1	1	4	3	0	1	1	1	0	0	1	1	1	2	2	1	0	1	0	1	0	0	0	1	0	0	0	3	3	0	3	1	0	0	4	5	3	0	0	1	3	2	0	0	0	2	1	2					
		0.17%	0.57%	0.24%	0.47%	0.58%	0.0%	0.0%	0.26%	0.0%	0.37%	0.0%	0.08%	0.26%	0.15%	0.09%	0.0%	0.09%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.19%	0.13%	0.0%	0.08%	0.12%	0.6%	0.0%	0.26%	0.0%	0.0%	0.0%	0.22%	0.20%	0.0%	0.0%	0.07%	0.98%	1.39%	0.33%	0.0%	0.0%	0.60%	0.0%	0.25%	0.0%	0.14%	0.14%	0.30%	0.0%	0.0%	0.12%	0.20%	0.55%	0.32%	0.0%	0.11%	0.23%	0.11%	0.0%	0.0%	0.14%	0.12%	0.09%	0.24%	0.19%	0.12%	0.0%	0.08%	0.0%	0.17%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.46%	0.22%	0.0%	0.34%	0.10%	0.0%	0.0%	0.45%	0.72%	0.50%	0.0%	0.0%	0.09%	0.42%	0.40%	0.0%	0.0%	0.0%	0.30%	0.11%	0.46%					
31	"14. ""Великая Россия - Евразийский Союз"""	285	8	2	4	3	0	1	1	2	3	3	1	0	1	5	7	2	3	0	3	1	1	3	2	2	6	3	2	3	8	1	0	3	4	3	3	4	3	3	3	7	4	12	3	0	2	4	0	2	5	1	2	7	0	0	2	0	1	0	1	1	2	4	0	1	11	3	2	6	5	0	4	1	2	2	0	2	2	2	0	1	6	6	3	10	6	5	1	5	1	3	5	4	4	2	3	5	0	0	0	2	3	0					
		0.35%	0.77%	0.24%	0.62%	0.44%	0.0%	0.25%	0.13%	0.16%	0.37%	0.63%	0.08%	0.0%	0.15%	0.49%	0.80%	0.18%	0.47%	0.0%	0.41%	0.10%	0.13%	0.26%	0.26%	0.23%	1.16%	0.40%	0.32%	0.24%	1.0%	0.2%	0.0%	0.39%	0.42%	0.60%	0.51%	0.45%	0.62%	0.31%	0.67%	0.51%	0.35%	1.39%	0.33%	0.0%	0.25%	0.40%	0.0%	0.25%	0.44%	0.07%	0.28%	2.14%	0.0%	0.0%	0.24%	0.0%	0.13%	0.0%	0.19%	0.11%	0.47%	0.44%	0.0%	0.11%	1.61%	0.37%	0.19%	0.72%	0.48%	0.0%	0.54%	0.08%	0.23%	0.35%	0.0%	0.32%	0.46%	0.41%	0.0%	0.12%	0.94%	0.93%	0.22%	1.45%	0.68%	0.53%	0.10%	0.63%	0.11%	0.43%	0.83%	0.42%	0.71%	0.19%	0.42%	1.02%	0.0%	0.0%	0.0%	0.30%	0.35%	0.0%					
32	"15. ""Партия СЛОН"""	92	0	0	0	2	0	1	0	0	1	1	2	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	7	1	0	0	2	0	1	3	0	0	2	1	1	7	0	0	3	0	0	0	3	3	3	0	0	0	3	1	0	0	0	0	0	1	0	2	1	1	0	1	3	0	0	0	1	2	0	0	1	0	0	0	2	0	1	0	12	0	0	0	0	0	0	1	0	1	1	2	2	0	0	2	0	1					
		0.11%	0.0%	0.0%	0.0%	0.29%	0.0%	0.25%	0.0%	0.0%	0.12%	0.21%	0.17%	0.0%	0.0%	0.19%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.87%	0.2%	0.0%	0.0%	0.21%	0.0%	0.17%	0.34%	0.0%	0.0%	0.45%	0.07%	0.08%	0.81%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.26%	0.22%	0.43%	0.0%	0.0%	0.0%	0.36%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.23%	0.14%	0.12%	0.0%	0.12%	0.29%	0.0%	0.0%	0.0%	0.11%	0.35%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.31%	0.0%	0.07%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.09%	0.14%	0.40%	0.35%	0.0%	0.0%	0.30%	0.0%	0.23%					
33	"16. ""Родина"" (народно-патриотический союз)"""	6316	15	28	12	30	0	7	0	111	107	40	26	0	25	101	140	113	91	49	92	15	117	15	111	105	58	92	35	31	86	0	139	81	120	57	13	80	32	100	22	198	89	90	45	32	73	51	0	2	84	67	42	26	20	1	102	17	48	75	36	100	51	110	5	79	134	101	118	80	76	42	55	89	86	39	37	56	46	48	42	73	54	58	115	64	86	80	80	82	64	58	42	91	56	116	62	32	42	82	30	72	72	17					
		7.95%	1.44%	3.49%	1.88%	4.42%	0.0%	1.80%	0.0%	9.25%	13.39%	8.45%	2.25%	0.0%	3.87%	10.00%	16.07%	10.35%	14.33%	8.86%	12.65%	1.61%	16.02%	1.34%	14.72%	12.5%	11.21%	12.29%	5.71%	2.51%	10.75%	0.0%	15.30%	10.75%	12.72%	11.51%	2.22%	9.13%	6.69%	10.54%	4.96%	14.58%	7.99%	10.48%	5.02%	4.06%	9.28%	5.15%	0.0%	0.25%	7.41%	5.00%	6.04%	7.95%	3.28%	0.11%	12.36%	3.51%	6.62%	8.19%	7.05%	11.96%	12.05%	12.33%	0.69%	9.47%	19.70%	12.70%	11.69%	9.68%	7.38%	5.37%	7.54%	7.21%	10.22%	6.84%	5.52%	9.16%	10.79%	10.0%	8.87%	9.33%	8.47%	9.07%	8.54%	9.32%	9.79%	8.50%	8.06%	10.34%	7.34%	8.45%	7.02%	9.61%	10.01%	11.46%	8.74%	6.53%	7.43%	8.63%	5.69%	11.14%	8.59%	3.99%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	164	1	2	4	1	0	1	0	0	1	0	0	0	3	2	0	2	1	1	1	3	1	0	1	0	0	0	0	1	0	3	0	3	5	1	1	3	2	1	2	4	1	1	0	2	2	3	0	4	7	2	2	1	12	0	1	0	2	1	4	0	1	3	0	1	2	0	2	3	3	0	0	4	2	5	0	3	4	1	0	2	3	1	1	0	1	1	0	2	0	1	2	3	2	4	1	3	2	0	1	1	0	3					
		0.20%	0.09%	0.24%	0.62%	0.14%	0.0%	0.25%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.46%	0.19%	0.0%	0.18%	0.15%	0.18%	0.13%	0.32%	0.13%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.6%	0.0%	0.39%	0.53%	0.20%	0.17%	0.34%	0.41%	0.10%	0.45%	0.29%	0.08%	0.11%	0.0%	0.25%	0.25%	0.30%	0.0%	0.51%	0.61%	0.14%	0.28%	0.30%	1.97%	0.0%	0.12%	0.0%	0.27%	0.10%	0.78%	0.0%	0.23%	0.33%	0.0%	0.11%	0.29%	0.0%	0.19%	0.36%	0.29%	0.0%	0.0%	0.32%	0.23%	0.87%	0.0%	0.49%	0.93%	0.20%	0.0%	0.25%	0.47%	0.15%	0.07%	0.0%	0.11%	0.10%	0.0%	0.25%	0.0%	0.14%	0.33%	0.31%	0.35%	0.39%	0.14%	0.61%	0.35%	0.0%	0.18%	0.15%	0.0%	0.70%					
35	"18. ""ЛДПР"""	4620	46	22	17	21	2	22	41	21	38	28	0	2	26	60	40	82	36	55	33	5	50	73	37	51	27	58	38	15	37	16	70	65	79	43	10	68	34	43	26	97	77	62	40	16	18	34	0	61	69	37	36	17	17	3	70	38	57	63	35	42	13	49	2	70	47	50	73	57	59	70	49	87	45	35	50	68	40	46	47	78	55	59	151	38	91	39	59	54	52	52	68	68	41	67	68	40	38	48	46	60	55	10					
		5.82%	4.43%	2.74%	2.67%	3.09%	0.32%	5.68%	5.42%	1.75%	4.75%	5.91%	0.0%	0.26%	4.03%	5.94%	4.59%	7.51%	5.66%	9.94%	4.53%	0.53%	6.84%	6.54%	4.90%	6.07%	5.22%	7.75%	6.20%	1.21%	4.62%	3.2%	7.70%	8.63%	8.37%	8.68%	1.71%	7.76%	7.11%	4.53%	5.86%	7.14%	6.91%	7.22%	4.46%	2.03%	2.29%	3.43%	0.0%	7.88%	6.09%	2.76%	5.17%	5.19%	2.79%	0.34%	8.48%	7.86%	7.87%	6.88%	6.86%	5.02%	3.07%	5.49%	0.27%	8.39%	6.91%	6.28%	7.23%	6.90%	5.73%	8.96%	6.72%	7.05%	5.35%	6.14%	7.46%	11.12%	9.38%	9.58%	9.93%	9.97%	8.63%	9.23%	11.21%	5.53%	10.36%	4.14%	5.94%	6.80%	5.97%	7.58%	11.37%	7.18%	7.33%	6.62%	9.59%	8.16%	6.72%	5.05%	8.72%	9.28%	6.56%	2.34%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	2069	28	102	31	80	6	20	21	46	12	12	47	4	28	32	144	30	8	16	17	3	24	27	21	9	8	17	10	7	31	11	16	13	20	6	8	19	12	13	5	22	27	20	51	11	22	31	23	31	23	22	19	5	41	1	21	15	21	20	18	28	10	20	0	28	17	20	32	34	17	23	17	30	18	6	5	6	10	9	14	19	17	11	26	0	15	20	7	5	19	13	15	32	10	19	7	17	15	23	0	11	15	1					
		2.60%	2.70%	12.73%	4.88%	11.79%	0.96%	5.16%	2.77%	3.83%	1.50%	2.53%	4.07%	0.53%	4.34%	3.17%	16.53%	2.74%	1.25%	2.89%	2.33%	0.32%	3.28%	2.42%	2.78%	1.07%	1.54%	2.27%	1.63%	0.56%	3.87%	2.2%	1.76%	1.72%	2.12%	1.21%	1.37%	2.16%	2.51%	1.37%	1.12%	1.62%	2.42%	2.33%	5.69%	1.39%	2.79%	3.13%	2.34%	4.00%	2.03%	1.64%	2.73%	1.52%	6.73%	0.11%	2.54%	3.10%	2.90%	2.18%	3.52%	3.34%	2.36%	2.24%	0.0%	3.35%	2.5%	2.51%	3.17%	4.11%	1.65%	2.94%	2.33%	2.43%	2.14%	1.05%	0.74%	0.98%	2.34%	1.87%	2.95%	2.42%	2.66%	1.72%	1.93%	0.0%	1.70%	2.12%	0.70%	0.63%	2.18%	1.89%	2.50%	3.38%	1.78%	1.87%	0.98%	3.46%	2.65%	2.42%	0.0%	1.70%	1.78%	0.23%					
37	"20. ""Политическая партия ""Единая Россия"""	41189	428	400	422	260	485	210	529	653	394	224	798	568	332	556	372	526	238	314	246	717	380	857	316	418	267	314	418	961	315	325	327	239	324	199	417	356	213	549	276	585	579	329	450	563	394	647	443	452	495	991	358	133	365	720	310	244	380	484	248	397	162	280	491	419	248	398	524	405	578	431	334	709	493	264	396	259	161	185	157	398	259	278	586	347	356	543	496	396	564	317	210	471	247	528	288	170	267	539	347	308	362	308					
		51.90%	41.27%	49.93%	66.45%	38.34%	78.35%	54.26%	69.97%	54.41%	49.31%	47.35%	69.27%	76.13%	51.47%	55.10%	42.70%	48.21%	37.48%	56.78%	33.83%	77.17%	52.05%	76.86%	41.90%	49.76%	51.64%	41.97%	68.30%	77.87%	39.37%	65.0%	36.01%	31.73%	34.35%	40.20%	71.52%	40.63%	44.56%	57.91%	62.30%	43.07%	52.02%	38.34%	50.27%	71.53%	50.12%	65.41%	45.20%	58.39%	43.68%	74.06%	51.51%	40.67%	59.93%	82.75%	37.57%	50.51%	52.48%	52.89%	48.62%	47.48%	38.29%	31.39%	68.57%	50.23%	36.47%	50.06%	51.93%	49.03%	56.17%	55.18%	45.81%	57.50%	58.62%	46.31%	59.10%	42.38%	37.79%	38.54%	33.19%	50.89%	40.65%	43.50%	43.53%	50.58%	40.54%	57.70%	50.0%	49.93%	64.75%	46.20%	35.11%	49.78%	44.18%	52.17%	40.62%	34.69%	47.25%	56.73%	65.84%	47.67%	43.19%	72.30%					
38	"21. ""Российская Конституционно-демократическая партия"""	142	0	5	1	0	0	0	4	0	2	1	0	0	0	2	2	1	0	1	0	0	0	1	2	0	2	2	0	1	4	2	0	0	0	4	4	1	0	1	0	7	4	4	2	1	0	2	0	3	3	1	4	0	9	0	1	1	2	1	3	1	0	0	0	2	0	2	3	0	5	0	0	2	3	2	0	1	0	0	0	1	2	1	1	0	2	0	3	1	0	1	0	3	3	0	3	6	2	0	0	1	0	0					
		0.17%	0.0%	0.62%	0.15%	0.0%	0.0%	0.0%	0.52%	0.0%	0.25%	0.21%	0.0%	0.0%	0.0%	0.19%	0.22%	0.09%	0.0%	0.18%	0.0%	0.0%	0.0%	0.08%	0.26%	0.0%	0.38%	0.26%	0.0%	0.08%	0.5%	0.4%	0.0%	0.0%	0.0%	0.80%	0.68%	0.11%	0.0%	0.10%	0.0%	0.51%	0.35%	0.46%	0.22%	0.12%	0.0%	0.20%	0.0%	0.38%	0.26%	0.07%	0.57%	0.0%	1.47%	0.0%	0.12%	0.20%	0.27%	0.10%	0.58%	0.11%	0.0%	0.0%	0.0%	0.23%	0.0%	0.25%	0.29%	0.0%	0.48%	0.0%	0.0%	0.16%	0.35%	0.35%	0.0%	0.16%	0.0%	0.0%	0.0%	0.12%	0.31%	0.15%	0.07%	0.0%	0.22%	0.0%	0.30%	0.12%	0.0%	0.14%	0.0%	0.31%	0.53%	0.0%	0.42%	1.22%	0.35%	0.0%	0.0%	0.15%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	171	1	3	1	0	0	0	0	0	2	0	2	4	3	3	3	4	1	0	4	1	1	1	1	0	2	5	3	2	1	1	7	1	2	0	0	4	2	1	1	2	4	3	1	2	2	1	0	5	2	4	5	0	0	0	2	0	1	3	3	3	1	0	0	3	1	2	3	2	1	2	0	0	2	0	1	0	0	1	3	4	5	1	2	0	2	5	0	1	0	2	1	2	1	2	2	6	0	0	0	1	1	1					
		0.21%	0.09%	0.37%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.17%	0.53%	0.46%	0.29%	0.34%	0.36%	0.15%	0.0%	0.55%	0.10%	0.13%	0.08%	0.13%	0.0%	0.38%	0.66%	0.49%	0.16%	0.12%	0.2%	0.77%	0.13%	0.21%	0.0%	0.0%	0.45%	0.41%	0.10%	0.22%	0.14%	0.35%	0.34%	0.11%	0.25%	0.25%	0.10%	0.0%	0.64%	0.17%	0.29%	0.71%	0.0%	0.0%	0.0%	0.24%	0.0%	0.13%	0.32%	0.58%	0.35%	0.23%	0.0%	0.0%	0.35%	0.14%	0.25%	0.29%	0.24%	0.09%	0.25%	0.0%	0.0%	0.23%	0.0%	0.14%	0.0%	0.0%	0.20%	0.63%	0.51%	0.78%	0.15%	0.14%	0.0%	0.22%	0.53%	0.0%	0.12%	0.0%	0.29%	0.16%	0.21%	0.17%	0.19%	0.28%	1.22%	0.0%	0.0%	0.0%	0.15%	0.11%	0.23%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	9391	167	118	62	116	46	59	101	184	95	55	27	114	100	108	70	141	76	48	106	119	73	88	103	158	46	65	44	40	95	52	109	120	122	50	24	123	47	102	35	164	83	110	100	90	108	100	109	88	117	93	63	39	35	130	94	58	87	132	71	50	71	150	182	110	83	107	126	84	110	96	145	159	90	65	84	76	61	62	79	110	62	65	141	78	103	135	130	97	84	67	104	128	82	130	74	55	127	92	47	74	93	44					
		11.83%	16.10%	14.73%	9.76%	17.10%	7.43%	15.24%	13.35%	15.33%	11.88%	11.62%	2.34%	15.28%	15.50%	10.70%	8.03%	12.92%	11.96%	8.67%	14.58%	12.80%	10.0%	7.89%	13.66%	18.80%	8.89%	8.68%	7.18%	3.24%	11.87%	10.4%	12.00%	15.93%	12.93%	10.10%	4.11%	14.04%	9.83%	10.75%	7.90%	12.07%	7.45%	12.82%	11.17%	11.43%	13.74%	10.11%	11.12%	11.36%	10.32%	6.95%	9.06%	11.92%	5.74%	14.94%	11.39%	12.00%	12.01%	14.42%	13.92%	5.98%	16.78%	16.81%	25.41%	13.18%	12.20%	13.45%	12.48%	10.16%	10.68%	12.29%	19.89%	12.89%	10.70%	11.40%	12.53%	12.43%	14.31%	12.91%	16.70%	14.06%	9.73%	10.17%	10.47%	11.37%	11.73%	14.34%	13.10%	12.23%	9.64%	9.76%	17.39%	13.53%	14.66%	12.84%	10.43%	11.22%	22.47%	9.68%	8.91%	11.45%	11.09%	10.32%					
																																																																																																													
41	Против всех	2138	3	3	3	3	1	3	3	8	4	15	0	2	0	11	5	4	33	2	45	6	3	8	20	3	1	24	2	3	16	10	69	39	46	20	23	38	19	35	2	66	106	31	4	2	2	2	168	2	108	3	11	25	22	2	47	2	3	2	2	69	25	46	29	3	2	3	4	7	4	2	10	2	1	58	23	20	11	21	52	6	29	36	134	15	56	4	63	16	3	23	29	4	18	4	30	26	2	47	0	1	53	2					
		2.69%	0.28%	0.37%	0.47%	0.44%	0.16%	0.77%	0.39%	0.66%	0.50%	3.17%	0.0%	0.26%	0.0%	1.09%	0.57%	0.36%	5.19%	0.36%	6.18%	0.64%	0.41%	0.71%	2.65%	0.35%	0.19%	3.20%	0.32%	0.24%	2.0%	2.0%	7.59%	5.17%	4.87%	4.04%	3.94%	4.33%	3.97%	3.69%	0.45%	4.86%	9.52%	3.61%	0.44%	0.25%	0.25%	0.20%	17.14%	0.25%	9.53%	0.22%	1.58%	7.64%	3.61%	0.22%	5.69%	0.41%	0.41%	0.21%	0.39%	8.25%	5.91%	5.15%	4.05%	0.35%	0.29%	0.37%	0.39%	0.84%	0.38%	0.25%	1.37%	0.16%	0.11%	10.17%	3.43%	3.27%	2.58%	4.37%	10.99%	0.76%	4.55%	5.63%	9.95%	2.18%	6.37%	0.42%	6.35%	2.01%	0.34%	3.35%	4.84%	0.42%	3.22%	0.39%	4.23%	5.30%	0.35%	4.94%	0.0%	0.15%	6.32%	0.46%					
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
