Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Невская № 5																																																																																										
																																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																										
																																																																																										
		Сумма	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК  1219					
		0.13%	0.24%	0.0%	0.18%	0.0%	0.19%	0.09%	0.0%	0.23%	0.24%	0.34%	0.11%	0.23%	0.11%	0.20%	0.18%	0.28%	0.0%	0.0%	0.0%	0.28%	0.0%	0.18%	0.10%	0.0%	0.10%	0.10%	0.0%	0.24%	0.0%	0.24%	0.0%	0.21%	0.0%	0.80%	0.0%	0.0%	0.44%	0.0%	0.0%	0.19%	0.07%	0.27%	0.09%	0.09%	0.43%	0.0%	0.11%	0.11%	0.0%	0.0%	0.09%	0.0%	0.0%	0.20%	0.08%	0.41%	0.09%	0.0%	0.21%	0.10%	0.0%	0.0%	0.10%	0.24%	0.08%	0.17%	0.19%	0.26%	0.14%	0.0%	0.0%	0.0%	0.08%	0.23%	0.09%	0.29%	0.0%	0.68%	0.15%	0.13%	0.27%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	11098	100	83	149	166	153	137	176	131	128	79	115	106	110	128	167	163	134	125	94	115	88	124	160	129	124	146	94	142	113	127	106	139	94	87	127	162	145	113	140	152	183	216	164	190	162	91	133	121	124	131	135	152	208	145	158	144	141	159	129	116	136	130	113	89	167	139	128	110	74	198	192	166	163	193	167	187	169	158	246	91	9	0	0					
		13.87%	12.00%	11.00%	13.64%	16.43%	15.08%	12.40%	16.60%	15.12%	15.70%	8.99%	12.74%	12.47%	12.24%	13.04%	15.44%	15.55%	14.83%	14.40%	9.84%	10.86%	9.51%	11.62%	16.34%	12.73%	13.36%	15.49%	12.46%	17.48%	12.49%	15.54%	13.38%	15.27%	10.52%	9.97%	13.70%	14.37%	12.90%	14.24%	14.70%	14.47%	14.01%	19.74%	15.98%	18.09%	13.95%	11.53%	14.84%	14.15%	15.73%	13.25%	13.17%	14.35%	16.82%	15.13%	13.83%	14.84%	13.57%	14.79%	14.02%	12.55%	12.92%	12.74%	12.37%	10.72%	13.66%	12.46%	12.46%	14.51%	10.66%	16.28%	14.94%	14.11%	14.63%	15.06%	15.15%	13.79%	13.10%	15.50%	18.96%	11.86%	2.47%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	81	0	0	1	0	0	0	1	0	3	0	0	2	0	3	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	3	2	0	2	0	1	2	2	1	0	2	0	1	1	0	2	0	0	0	0	1	16	1	0	1	0	0	2	0	3	1	2	0	0	2	1	0	0	0	4	1	1	1	0	1	1	0	1	0	6	0	0					
		0.10%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.09%	0.0%	0.36%	0.0%	0.0%	0.23%	0.0%	0.30%	0.0%	0.19%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.32%	0.22%	0.0%	0.21%	0.0%	0.08%	0.25%	0.21%	0.09%	0.0%	0.18%	0.0%	0.09%	0.08%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.09%	1.29%	0.10%	0.0%	0.10%	0.0%	0.0%	0.21%	0.0%	0.28%	0.09%	0.21%	0.0%	0.0%	0.17%	0.09%	0.0%	0.0%	0.0%	0.31%	0.08%	0.08%	0.07%	0.0%	0.07%	0.07%	0.0%	0.07%	0.0%	1.65%	0.0%	0.0%					
35	"18. ""ЛДПР"""	6613	76	74	94	73	94	96	96	54	75	89	83	76	109	72	88	80	57	59	78	99	69	101	65	86	67	67	62	63	84	70	82	88	83	104	72	85	98	70	80	69	113	71	71	57	77	78	71	85	58	80	90	74	75	107	82	72	76	84	92	75	88	94	78	95	103	93	87	78	45	86	93	92	104	111	79	124	116	74	121	58	14	4	1					
		8.27%	9.12%	9.81%	8.60%	7.22%	9.27%	8.69%	9.05%	6.23%	9.20%	10.13%	9.20%	8.94%	12.13%	7.33%	8.14%	7.63%	6.31%	6.79%	8.16%	9.35%	7.45%	9.46%	6.63%	8.48%	7.21%	7.11%	8.22%	7.75%	9.29%	8.56%	10.35%	9.67%	9.29%	11.92%	7.76%	7.54%	8.71%	8.82%	8.40%	6.57%	8.65%	6.48%	6.92%	5.42%	6.63%	9.88%	7.92%	9.94%	7.36%	8.09%	8.78%	6.98%	6.06%	11.16%	7.18%	7.42%	7.31%	7.81%	9.99%	8.11%	8.36%	9.21%	8.54%	11.44%	8.42%	8.34%	8.47%	10.29%	6.48%	7.07%	7.23%	7.82%	9.33%	8.66%	7.16%	9.14%	8.99%	7.26%	9.32%	7.56%	3.85%	20.0%	0.52%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	3588	26	37	57	38	48	26	44	49	34	61	28	38	30	48	57	62	40	49	47	46	46	56	56	42	55	46	35	37	38	51	38	47	48	53	38	42	63	27	27	27	45	50	48	55	55	37	50	39	31	42	52	39	46	45	63	60	55	51	38	39	46	58	49	22	50	45	37	27	31	36	57	40	62	46	52	50	51	46	44	40	21	1	0					
		4.48%	3.12%	4.90%	5.21%	3.76%	4.73%	2.35%	4.15%	5.65%	4.17%	6.94%	3.10%	4.47%	3.34%	4.89%	5.27%	5.91%	4.42%	5.64%	4.92%	4.34%	4.97%	5.24%	5.72%	4.14%	5.92%	4.88%	4.64%	4.55%	4.20%	6.24%	4.79%	5.16%	5.37%	6.07%	4.09%	3.72%	5.60%	3.40%	2.83%	2.57%	3.44%	4.57%	4.67%	5.23%	4.73%	4.68%	5.58%	4.56%	3.93%	4.25%	5.07%	3.68%	3.72%	4.69%	5.51%	6.18%	5.29%	4.74%	4.13%	4.22%	4.37%	5.68%	5.36%	2.65%	4.09%	4.03%	3.60%	3.56%	4.46%	2.96%	4.43%	3.40%	5.56%	3.59%	4.71%	3.68%	3.95%	4.51%	3.39%	5.21%	5.78%	5.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	24853	279	235	376	300	323	348	322	258	252	280	293	264	268	304	327	331	285	268	327	323	317	331	282	300	297	275	256	220	272	237	247	283	304	265	305	331	350	235	309	324	418	284	297	313	380	256	280	263	233	345	317	338	363	303	340	275	330	324	294	312	362	315	305	253	409	407	318	241	185	372	410	346	324	402	352	368	391	289	383	212	51	6	184					
		31.08%	33.49%	31.16%	34.43%	29.70%	31.85%	31.52%	30.37%	29.79%	30.92%	31.89%	32.48%	31.05%	29.84%	30.98%	30.24%	31.58%	31.56%	30.87%	34.24%	30.52%	34.27%	31.02%	28.80%	29.61%	32.00%	29.19%	33.95%	27.09%	30.08%	29.00%	31.18%	31.09%	34.04%	30.38%	32.90%	29.37%	31.13%	29.63%	32.45%	30.85%	32.00%	25.95%	28.94%	29.80%	32.73%	32.44%	31.24%	30.76%	29.56%	34.91%	30.92%	31.91%	29.36%	31.62%	29.77%	28.35%	31.76%	30.13%	31.95%	33.76%	34.41%	30.88%	33.40%	30.48%	33.46%	36.50%	30.96%	31.79%	26.65%	30.59%	31.90%	29.42%	29.08%	31.38%	31.94%	27.13%	30.31%	28.36%	29.52%	27.64%	14.04%	30.0%	95.83%					
38	"21. ""Российская Конституционно-демократическая партия"""	81	1	1	2	0	2	2	0	0	2	0	1	0	2	0	1	0	3	2	0	3	1	2	0	1	0	0	0	0	1	3	1	1	1	2	0	0	2	3	1	0	2	2	1	0	1	2	1	3	0	0	0	1	1	0	1	1	0	1	2	0	2	0	1	0	1	0	0	1	0	0	1	2	2	1	1	0	2	1	1	0	5	0	0					
		0.10%	0.12%	0.13%	0.18%	0.0%	0.19%	0.18%	0.0%	0.0%	0.24%	0.0%	0.11%	0.0%	0.22%	0.0%	0.09%	0.0%	0.33%	0.23%	0.0%	0.28%	0.10%	0.18%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.11%	0.36%	0.12%	0.10%	0.11%	0.22%	0.0%	0.0%	0.17%	0.37%	0.10%	0.0%	0.15%	0.18%	0.09%	0.0%	0.08%	0.25%	0.11%	0.35%	0.0%	0.0%	0.0%	0.09%	0.08%	0.0%	0.08%	0.10%	0.0%	0.09%	0.21%	0.0%	0.19%	0.0%	0.10%	0.0%	0.08%	0.0%	0.0%	0.13%	0.0%	0.0%	0.07%	0.17%	0.17%	0.07%	0.09%	0.0%	0.15%	0.09%	0.07%	0.0%	1.37%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	1507	12	13	24	15	28	33	17	11	10	19	18	12	12	20	22	22	25	19	24	23	18	15	16	19	24	12	16	10	18	19	20	14	9	16	13	28	27	14	16	24	32	20	29	20	25	13	12	13	14	11	21	19	22	27	19	28	28	14	14	13	15	20	15	18	21	15	25	18	10	18	23	20	20	17	11	36	20	24	17	18	4	1	0					
		1.88%	1.44%	1.72%	2.19%	1.48%	2.76%	2.98%	1.60%	1.27%	1.22%	2.16%	1.99%	1.41%	1.33%	2.03%	2.03%	2.09%	2.76%	2.18%	2.51%	2.17%	1.94%	1.40%	1.63%	1.87%	2.58%	1.27%	2.12%	1.23%	1.99%	2.32%	2.52%	1.53%	1.00%	1.83%	1.40%	2.48%	2.40%	1.76%	1.68%	2.28%	2.45%	1.82%	2.82%	1.90%	2.15%	1.64%	1.33%	1.52%	1.77%	1.11%	2.04%	1.79%	1.77%	2.81%	1.66%	2.88%	2.69%	1.30%	1.52%	1.40%	1.42%	1.96%	1.64%	2.16%	1.71%	1.34%	2.43%	2.37%	1.44%	1.48%	1.78%	1.70%	1.79%	1.32%	0.99%	2.65%	1.55%	2.35%	1.31%	2.34%	1.10%	5.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	6913	67	70	86	105	62	126	89	96	75	76	98	83	79	96	104	62	73	64	94	94	94	81	85	80	74	72	51	87	91	73	69	64	74	65	81	119	87	73	103	119	109	106	96	82	87	64	99	62	85	91	95	100	96	78	96	87	86	113	65	100	84	84	81	67	89	99	93	71	58	88	113	96	68	114	55	128	109	65	130	68	10	5	0					
		8.64%	8.04%	9.28%	7.87%	10.39%	6.11%	11.41%	8.39%	11.08%	9.20%	8.65%	10.86%	9.76%	8.79%	9.78%	9.62%	5.91%	8.08%	7.37%	9.84%	8.88%	10.16%	7.59%	8.68%	7.89%	7.97%	7.64%	6.76%	10.71%	10.06%	8.93%	8.71%	7.03%	8.28%	7.45%	8.73%	10.55%	7.74%	9.20%	10.81%	11.33%	8.34%	9.68%	9.35%	7.80%	7.49%	8.11%	11.04%	7.25%	10.78%	9.21%	9.26%	9.44%	7.76%	8.14%	8.40%	8.96%	8.27%	10.51%	7.06%	10.82%	7.98%	8.23%	8.87%	8.07%	7.28%	8.87%	9.05%	9.36%	8.35%	7.23%	8.79%	8.16%	6.10%	8.89%	4.99%	9.43%	8.44%	6.37%	10.02%	8.86%	2.75%	25.0%	0.0%					
																																																																																										
41	Против всех	3644	36	55	52	47	38	38	53	52	22	42	57	35	64	50	47	30	21	38	37	50	39	50	42	57	44	39	45	31	45	47	43	49	42	62	47	28	63	20	25	40	39	25	50	44	50	43	38	49	43	27	41	35	53	23	48	42	35	55	48	41	67	59	38	50	57	45	48	35	37	45	47	53	74	40	47	53	47	54	61	32	103	0	1					
		4.55%	4.32%	7.29%	4.76%	4.65%	3.74%	3.44%	5.0%	6.00%	2.69%	4.78%	6.31%	4.11%	7.12%	5.09%	4.34%	2.86%	2.32%	4.37%	3.87%	4.72%	4.21%	4.68%	4.29%	5.62%	4.74%	4.14%	5.96%	3.81%	4.97%	5.75%	5.42%	5.38%	4.70%	7.11%	5.07%	2.48%	5.60%	2.52%	2.62%	3.80%	2.98%	2.28%	4.87%	4.19%	4.30%	5.44%	4.24%	5.73%	5.45%	2.73%	4.0%	3.30%	4.28%	2.40%	4.20%	4.32%	3.36%	5.11%	5.21%	4.43%	6.36%	5.78%	4.16%	6.02%	4.66%	4.03%	4.67%	4.61%	5.33%	3.70%	3.65%	4.50%	6.64%	3.12%	4.26%	3.90%	3.64%	5.29%	4.70%	4.17%	28.37%	0.0%	0.52%					
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
