Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Уфа, Советская"																																																																																				
																																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																				
																																																																																				
		Сумма	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	225	3	3	4	3	0	2	4	4	5	2	5	6	6	9	0	0	1	1	1	3	3	5	3	6	3	1	6	5	1	3	1	1	5	1	1	1	10	6	2	2	9	1	1	2	0	3	2	4	5	4	1	5	6	1	0	2	2	1	1	2	0	2	7	1	5	1	3	4	11	3	2	2	1	0	0	0	3					
		0.24%	0.42%	0.33%	0.31%	0.41%	0.0%	0.10%	0.25%	0.51%	0.29%	0.26%	0.31%	0.39%	0.33%	0.42%	0.0%	0.0%	0.07%	0.10%	0.07%	0.23%	0.15%	0.42%	0.15%	0.28%	0.23%	0.12%	0.28%	0.25%	0.11%	0.16%	0.21%	0.08%	0.33%	0.17%	0.14%	0.14%	0.66%	0.41%	0.16%	0.10%	0.57%	0.09%	0.06%	0.14%	0.0%	0.19%	0.19%	0.43%	0.30%	0.29%	0.21%	0.71%	0.42%	0.15%	0.0%	0.18%	0.10%	0.17%	0.10%	0.25%	0.0%	0.10%	0.41%	0.07%	0.34%	0.06%	0.24%	0.35%	0.58%	0.22%	0.12%	0.08%	1.58%	0.0%	0.0%	0.0%	0.41%					
35	"18. ""ЛДПР"""	10441	120	92	107	101	73	224	214	79	201	80	169	161	213	254	91	107	146	111	188	136	242	143	227	267	127	76	301	253	103	169	46	120	141	52	77	59	172	104	124	183	112	85	220	180	28	182	105	90	185	182	66	72	198	71	22	114	203	67	103	93	229	224	210	145	164	186	154	105	235	135	157	214	2	4	10	20	16					
		11.23%	17.16%	10.38%	8.54%	13.87%	14.31%	11.63%	13.77%	10.20%	11.89%	10.76%	10.58%	10.60%	11.97%	11.90%	11.34%	13.54%	10.75%	12.02%	13.45%	10.81%	12.15%	12.19%	11.73%	12.80%	9.99%	9.53%	14.22%	13.12%	11.41%	9.46%	10.10%	10.55%	9.54%	8.90%	11.20%	8.36%	11.39%	7.25%	10.29%	10.04%	7.11%	8.47%	13.56%	12.80%	8.09%	11.80%	10.34%	9.69%	11.10%	13.25%	14.25%	10.32%	13.93%	11.23%	6.74%	10.75%	10.18%	11.47%	10.38%	11.87%	12.12%	11.56%	12.43%	11.55%	11.33%	12.01%	12.43%	9.43%	12.46%	10.19%	10.16%	9.52%	3.17%	3.47%	10.75%	15.87%	2.23%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1950	14	26	19	19	10	31	43	29	41	10	49	27	28	21	15	26	40	23	27	23	46	40	47	39	23	23	57	44	15	44	9	24	37	10	9	15	28	34	14	39	34	14	36	29	5	42	16	19	38	26	5	14	20	32	9	15	29	6	14	11	39	43	32	29	35	38	29	20	44	20	30	39	3	4	3	6	4					
		2.09%	2.00%	2.93%	1.51%	2.60%	1.96%	1.60%	2.76%	3.74%	2.42%	1.34%	3.06%	1.77%	1.57%	0.98%	1.87%	3.29%	2.94%	2.49%	1.93%	1.82%	2.31%	3.41%	2.42%	1.87%	1.80%	2.88%	2.69%	2.28%	1.66%	2.46%	1.97%	2.11%	2.50%	1.71%	1.31%	2.12%	1.85%	2.37%	1.16%	2.14%	2.16%	1.39%	2.21%	2.06%	1.44%	2.72%	1.57%	2.04%	2.28%	1.89%	1.07%	2.00%	1.40%	5.06%	2.76%	1.41%	1.45%	1.02%	1.41%	1.40%	2.06%	2.21%	1.89%	2.31%	2.41%	2.45%	2.34%	1.79%	2.33%	1.51%	1.94%	1.73%	4.76%	3.47%	3.22%	4.76%	0.55%					
37	"20. ""Политическая партия ""Единая Россия"""	26162	203	252	296	205	169	493	441	196	460	211	437	403	428	619	264	208	357	263	381	292	484	355	641	620	391	258	210	506	297	402	114	339	439	141	181	185	480	641	368	512	607	270	448	335	134	431	408	291	486	328	121	179	349	173	77	310	574	162	250	182	474	548	417	356	402	406	374	331	393	408	386	749	25	22	32	45	537					
		28.14%	29.04%	28.44%	23.64%	28.15%	33.13%	25.59%	28.39%	25.32%	27.21%	28.39%	27.36%	26.54%	24.07%	29.00%	32.91%	26.32%	26.30%	28.49%	27.27%	23.22%	24.30%	30.26%	33.12%	29.73%	30.76%	32.37%	9.92%	26.24%	32.92%	22.50%	25.05%	29.81%	29.72%	24.14%	26.34%	26.24%	31.80%	44.70%	30.53%	28.10%	38.56%	26.91%	27.62%	23.82%	38.72%	27.95%	40.19%	31.35%	29.17%	23.88%	26.13%	25.68%	24.56%	27.37%	23.61%	29.24%	28.78%	27.73%	25.20%	23.24%	25.09%	28.29%	24.68%	28.36%	27.78%	26.22%	30.21%	29.73%	20.84%	30.81%	24.98%	33.34%	39.68%	19.13%	34.40%	35.71%	74.89%					
38	"21. ""Российская Конституционно-демократическая партия"""	182	4	0	1	1	0	3	2	0	2	2	3	2	0	5	2	1	2	1	3	0	1	3	1	17	3	1	1	3	1	1	0	8	2	2	1	2	8	4	2	2	1	1	2	3	0	1	3	1	2	0	1	2	2	1	1	1	4	3	3	1	5	2	2	6	6	4	4	0	10	1	1	6	0	0	0	0	5					
		0.19%	0.57%	0.0%	0.07%	0.13%	0.0%	0.15%	0.12%	0.0%	0.11%	0.26%	0.18%	0.13%	0.0%	0.23%	0.24%	0.12%	0.14%	0.10%	0.21%	0.0%	0.05%	0.25%	0.05%	0.81%	0.23%	0.12%	0.04%	0.15%	0.11%	0.05%	0.0%	0.70%	0.13%	0.34%	0.14%	0.28%	0.53%	0.27%	0.16%	0.10%	0.06%	0.09%	0.12%	0.21%	0.0%	0.06%	0.29%	0.10%	0.12%	0.0%	0.21%	0.28%	0.14%	0.15%	0.30%	0.09%	0.20%	0.51%	0.30%	0.12%	0.26%	0.10%	0.11%	0.47%	0.41%	0.25%	0.32%	0.0%	0.53%	0.07%	0.06%	0.26%	0.0%	0.0%	0.0%	0.0%	0.69%					
39	"22. ""Развитие предпринимательства"""	487	1	3	6	1	3	11	8	4	6	4	13	4	8	14	5	4	9	8	5	4	10	6	16	20	2	3	4	21	4	8	1	7	9	3	5	5	16	10	2	9	25	5	2	6	0	7	3	8	11	4	4	2	4	6	5	2	8	3	3	6	7	5	11	7	6	7	6	1	16	9	10	6	0	0	0	0	0					
		0.52%	0.14%	0.33%	0.47%	0.13%	0.58%	0.57%	0.51%	0.51%	0.35%	0.53%	0.81%	0.26%	0.44%	0.65%	0.62%	0.50%	0.66%	0.86%	0.35%	0.31%	0.50%	0.51%	0.82%	0.95%	0.15%	0.37%	0.18%	1.08%	0.44%	0.44%	0.21%	0.61%	0.60%	0.51%	0.72%	0.70%	1.06%	0.69%	0.16%	0.49%	1.58%	0.49%	0.12%	0.42%	0.0%	0.45%	0.29%	0.86%	0.66%	0.29%	0.86%	0.28%	0.28%	0.94%	1.53%	0.18%	0.40%	0.51%	0.30%	0.76%	0.37%	0.25%	0.65%	0.55%	0.41%	0.45%	0.48%	0.08%	0.84%	0.67%	0.64%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	10146	83	101	152	87	57	220	152	98	161	73	165	179	207	233	77	77	171	112	163	174	212	109	240	229	165	71	634	201	87	206	44	116	128	56	65	72	141	85	121	198	90	94	197	123	29	134	99	83	198	160	39	83	165	79	22	109	240	69	106	104	208	198	174	98	124	165	118	115	215	134	161	203	4	45	15	10	14					
		10.91%	11.87%	11.39%	12.14%	11.95%	11.17%	11.42%	9.78%	12.66%	9.52%	9.82%	10.33%	11.79%	11.64%	10.91%	9.60%	9.74%	12.60%	12.13%	11.66%	13.84%	10.64%	9.29%	12.40%	10.98%	12.98%	8.90%	29.96%	10.42%	9.64%	11.53%	9.67%	10.20%	8.66%	9.58%	9.46%	10.21%	9.34%	5.92%	10.04%	10.86%	5.71%	9.37%	12.14%	8.74%	8.38%	8.69%	9.75%	8.94%	11.88%	11.65%	8.42%	11.90%	11.61%	12.5%	6.74%	10.28%	12.03%	11.81%	10.68%	13.28%	11.01%	10.22%	10.30%	7.80%	8.56%	10.65%	9.53%	10.33%	11.40%	10.12%	10.42%	9.03%	6.34%	39.13%	16.12%	7.93%	1.95%					
																																																																																				
41	Против всех	3157	29	26	38	19	11	76	63	40	48	31	61	44	6	53	27	9	35	26	48	34	75	52	80	56	48	31	83	84	29	49	15	31	51	20	13	24	53	62	28	66	77	31	77	54	15	58	28	71	35	52	14	24	48	14	7	25	68	13	37	37	66	78	70	49	64	46	32	33	62	37	50	88	3	4	2	6	8					
		3.39%	4.14%	2.93%	3.03%	2.60%	2.15%	3.94%	4.05%	5.16%	2.84%	4.17%	3.81%	2.89%	0.33%	2.48%	3.36%	1.13%	2.57%	2.81%	3.43%	2.70%	3.76%	4.43%	4.13%	2.68%	3.77%	3.88%	3.92%	4.35%	3.21%	2.74%	3.29%	2.72%	3.45%	3.42%	1.89%	3.40%	3.51%	4.32%	2.32%	3.62%	4.89%	3.09%	4.74%	3.84%	4.33%	3.76%	2.75%	7.65%	2.10%	3.78%	3.02%	3.44%	3.37%	2.21%	2.14%	2.35%	3.41%	2.22%	3.72%	4.72%	3.49%	4.02%	4.14%	3.90%	4.42%	2.97%	2.58%	2.96%	3.28%	2.79%	3.23%	3.91%	4.76%	3.47%	2.15%	4.76%	1.11%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
