Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																								
Дата голосования: 18.09.2016																																																																																																								
																																																																																																								
Наименование Избирательной комиссии:    Химкинская городская																																																																																																								
																																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																								
																																																																																																								
		Сумма	УИК №1740	УИК №2372	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3172	УИК №3173	УИК №3174	УИК №3175	УИК №3176	УИК №3177	УИК №3178	УИК №3179	УИК №3180	УИК №3181	УИК №3182	УИК №3183	УИК №3184	УИК №3185	УИК №3186	УИК №3187	УИК №3188	УИК №3189	УИК №3190	УИК №3191	УИК №3192	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199	УИК №3200	УИК №3201	УИК №3202	УИК №3203	УИК №3204	УИК №3205	УИК №3206	УИК №3207	УИК №3208	УИК №3209	УИК №3210	УИК №3211	УИК №3212	УИК №3213	УИК №3214	УИК №3215	УИК №3216	УИК №3217	УИК №3218	УИК №3219	УИК №3220	УИК №3221	УИК №3222	УИК №3223	УИК №3224	УИК №3225	УИК №3226	УИК №3563	УИК №3564	УИК №3565	УИК №3566	УИК №3567	УИК №3568	УИК №3569									
		14.39%	11.65%	9.07%	10.33%	15.82%	10.87%	17.45%	16.92%	16.91%	14.79%	31.23%	15.61%	14.92%	14.99%	18.25%	14.67%	17.75%	15.05%	12.09%	13.08%	15.08%	10.65%	13.42%	14.16%	17.19%	13.53%	15.76%	9.32%	10.07%	6.24%	14.47%	15.34%	16.34%	15.85%	18.35%	14.84%	12.52%	17.46%	15.53%	16.64%	18.59%	14.49%	10.78%	19.09%	19.53%	16.73%	14.23%	17.10%	16.29%	16.99%	18.64%	15.48%	15.45%	14.63%	13.62%	9.13%	11.41%	12.88%	15.16%	15.61%	16.07%	17.33%	18.66%	13.72%	9.84%	14.80%	9.17%	15.24%	14.49%	10.26%	16.52%	16.73%	11.54%	15.99%	20.16%	11.86%	10.76%	11.60%	15.83%	5.26%	19.07%	13.22%	14.61%	11.11%	15.40%	12.62%	10.37%	13.48%	13.66%	12.16%	11.58%	16.60%	13.20%	12.52%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	619	0	13	3	9	7	7	5	0	3	3	11	2	1	4	2	1	3	6	4	7	5	7	6	7	9	6	2	6	2	6	5	6	8	7	5	3	8	7	6	3	3	6	9	5	5	5	8	11	4	6	6	4	4	3	4	3	3	37	13	40	37	18	13	11	5	10	8	8	1	3	2	1	4	4	1	2	5	6	4	6	4	5	0	5	2	30	5	5	5	12	4	3	6									
		1.12%	0.00%	2.68%	0.44%	1.27%	1.27%	1.00%	0.76%	0.00%	0.48%	0.38%	1.55%	0.31%	0.13%	1.06%	0.60%	0.22%	0.54%	1.17%	0.62%	1.34%	0.69%	0.86%	0.87%	1.09%	1.32%	0.86%	0.23%	0.45%	0.17%	0.79%	0.72%	0.77%	1.03%	1.41%	0.75%	0.51%	1.32%	1.65%	1.08%	0.54%	0.85%	1.80%	1.41%	0.73%	0.67%	0.68%	0.99%	1.54%	0.64%	1.13%	0.97%	0.71%	0.89%	0.67%	0.91%	0.90%	0.76%	5.24%	2.42%	5.54%	5.43%	2.27%	2.58%	3.61%	1.40%	0.93%	1.40%	1.17%	0.17%	0.85%	0.37%	0.15%	0.71%	1.09%	0.32%	0.63%	1.00%	1.20%	0.42%	1.22%	0.74%	0.66%	0.00%	1.18%	0.93%	3.70%	0.91%	1.05%	1.15%	1.60%	0.79%	0.48%	1.07%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3015	4	18	18	31	37	34	24	14	46	15	60	24	39	21	29	28	34	36	41	23	33	55	48	35	53	41	10	56	101	65	61	50	45	29	42	24	34	35	35	29	13	17	59	53	39	47	75	54	55	20	39	44	38	15	25	22	18	43	32	66	19	56	30	20	16	30	19	35	23	26	25	29	26	19	9	6	13	14	25	39	25	37	6	18	5	30	37	26	20	26	28	35	12									
		5.48%	3.88%	3.71%	2.62%	4.38%	6.70%	4.86%	3.66%	4.01%	7.31%	1.89%	8.44%	3.69%	5.22%	5.56%	8.68%	6.29%	6.09%	7.02%	6.39%	4.39%	4.56%	6.77%	6.94%	5.47%	7.79%	5.87%	1.15%	4.21%	8.76%	8.55%	8.83%	6.44%	5.80%	5.85%	6.30%	4.12%	5.60%	8.24%	6.33%	5.23%	3.69%	5.09%	9.23%	7.73%	5.26%	6.43%	9.36%	7.58%	8.81%	3.77%	6.29%	7.82%	8.43%	3.35%	5.71%	6.61%	4.55%	6.09%	5.95%	9.14%	2.79%	7.06%	5.96%	6.56%	4.47%	2.78%	3.33%	5.12%	3.93%	7.41%	4.60%	4.29%	4.62%	5.18%	2.88%	1.90%	2.60%	2.81%	2.63%	7.91%	4.66%	4.91%	2.47%	4.27%	2.34%	3.70%	6.74%	5.46%	4.59%	3.46%	5.53%	5.64%	2.15%									
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
																																																																																																								
