Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Орехово-Зуевская																																																																																									
																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																									
																																																																																									
		Сумма	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027					
		0.18%	0.0%	0.08%	0.0%	0.15%	0.29%	0.09%	0.50%	0.16%	0.12%	0.0%	0.36%	2.05%	0.35%	0.23%	0.08%	0.13%	0.0%	0.20%	0.0%	0.09%	0.0%	0.11%	0.0%	0.24%	0.20%	0.51%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.82%	0.0%	0.0%	0.0%	0.46%	0.50%	0.0%	0.63%	0.0%	0.11%	0.0%	0.12%	0.0%	0.0%	0.24%	0.06%	0.0%	0.44%	0.07%	0.0%	1.03%	0.48%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	1.43%	0.32%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.20%	0.38%	0.76%	0.0%	0.58%	0.31%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5713	120	131	74	149	108	130	66	141	110	31	58	55	18	95	118	158	167	162	165	128	97	125	148	226	235	83	42	35	23	2	9	43	111	11	9	14	9	17	22	172	46	78	115	111	126	114	119	23	170	175	21	15	172	92	10	13	8	10	13	12	7	18	16	7	70	6	33	10	7	14	148	6	6	53	41	14	32	31	52	37	17	28					
		11.80%	11.15%	11.14%	9.21%	11.62%	10.73%	11.83%	11.03%	11.85%	13.41%	9.28%	10.50%	11.29%	3.15%	11.16%	10.56%	11.03%	12.40%	11.06%	11.62%	11.85%	14.13%	14.31%	12.84%	18.10%	16.04%	10.72%	10.76%	9.06%	9.34%	1.57%	7.96%	12.91%	13.73%	8.52%	7.43%	11.47%	7.31%	9.88%	10.13%	14.34%	18.62%	12.30%	17.13%	12.40%	12.71%	13.78%	14.30%	8.36%	13.63%	12.01%	12.28%	6.72%	12.75%	12.86%	5.15%	6.25%	8.79%	8.40%	8.44%	9.09%	5.93%	9.18%	10.38%	8.33%	9.33%	4.31%	10.85%	11.36%	7.21%	10.52%	13.54%	4.13%	5.60%	11.04%	7.99%	10.68%	11.46%	9.11%	8.26%	12.62%	6.24%	12.38%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	157	3	6	2	6	1	4	4	1	3	1	2	0	6	1	2	2	7	2	3	4	2	2	2	3	9	0	3	1	0	0	0	0	1	0	0	0	0	3	1	4	2	3	5	2	2	3	4	3	2	2	1	0	0	1	1	1	3	0	3	3	1	1	1	1	3	0	2	0	1	0	6	0	0	0	3	0	1	3	2	0	0	0					
		0.32%	0.27%	0.51%	0.24%	0.46%	0.09%	0.36%	0.66%	0.08%	0.36%	0.29%	0.36%	0.0%	1.05%	0.11%	0.17%	0.13%	0.52%	0.13%	0.21%	0.37%	0.29%	0.22%	0.17%	0.24%	0.61%	0.0%	0.76%	0.25%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	1.74%	0.46%	0.33%	0.80%	0.47%	0.74%	0.22%	0.20%	0.36%	0.48%	1.09%	0.16%	0.13%	0.58%	0.0%	0.0%	0.13%	0.51%	0.48%	3.29%	0.0%	1.94%	2.27%	0.84%	0.51%	0.64%	1.19%	0.4%	0.0%	0.65%	0.0%	1.03%	0.0%	0.54%	0.0%	0.0%	0.0%	0.58%	0.0%	0.35%	0.88%	0.31%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	5075	112	121	106	132	111	158	90	108	87	35	67	79	32	93	122	162	115	146	145	132	49	101	107	100	151	83	31	46	35	9	8	29	103	14	16	15	12	13	13	94	21	82	65	106	106	108	100	16	132	194	23	28	119	80	13	18	13	6	16	13	5	10	13	16	64	11	37	4	7	10	140	11	6	30	43	8	38	21	80	30	28	22					
		10.48%	10.40%	10.29%	13.20%	10.29%	11.03%	14.38%	15.05%	9.08%	10.60%	10.47%	12.13%	16.22%	5.60%	10.92%	10.92%	11.31%	8.54%	9.97%	10.21%	12.22%	7.14%	11.56%	9.28%	8.01%	10.30%	10.72%	7.94%	11.91%	14.22%	7.08%	7.07%	8.70%	12.74%	10.85%	13.22%	12.29%	9.75%	7.55%	5.99%	7.83%	8.50%	12.93%	9.68%	11.84%	10.69%	13.05%	12.01%	5.81%	10.58%	13.31%	13.45%	12.55%	8.82%	11.18%	6.70%	8.65%	14.28%	5.04%	10.38%	9.84%	4.23%	5.10%	8.44%	19.04%	8.53%	7.91%	12.17%	4.54%	7.21%	7.51%	12.80%	7.58%	5.60%	6.25%	8.38%	6.10%	13.62%	6.17%	12.71%	10.23%	10.29%	9.73%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1447	30	30	33	25	33	26	8	26	25	5	8	7	12	28	86	94	111	109	54	37	18	16	27	35	28	22	10	6	4	2	9	14	13	1	0	2	7	5	7	32	3	18	17	20	17	14	15	8	16	29	2	4	33	14	13	5	2	4	3	5	4	1	1	5	24	2	12	2	1	3	21	1	2	12	14	5	11	6	15	3	4	11					
		2.99%	2.78%	2.55%	4.10%	1.95%	3.28%	2.36%	1.33%	2.18%	3.04%	1.49%	1.44%	1.43%	2.10%	3.29%	7.69%	6.56%	8.24%	7.44%	3.80%	3.42%	2.62%	1.83%	2.34%	2.80%	1.91%	2.84%	2.56%	1.55%	1.62%	1.57%	7.96%	4.20%	1.60%	0.77%	0.0%	1.63%	5.69%	2.90%	3.22%	2.66%	1.21%	2.83%	2.53%	2.23%	1.71%	1.69%	1.80%	2.90%	1.28%	1.99%	1.16%	1.79%	2.44%	1.95%	6.70%	2.40%	2.19%	3.36%	1.94%	3.78%	3.38%	0.51%	0.64%	5.95%	3.2%	1.43%	3.94%	2.27%	1.03%	2.25%	1.92%	0.68%	1.86%	2.5%	2.72%	3.81%	3.94%	1.76%	2.38%	1.02%	1.47%	4.86%					
37	"20. ""Политическая партия ""Единая Россия"""	16430	387	416	269	433	350	388	205	412	276	102	190	163	280	316	349	474	412	509	465	337	231	300	433	405	476	225	120	147	86	41	42	112	245	34	33	43	36	69	78	344	75	203	203	307	339	302	290	102	406	460	57	87	476	268	57	88	35	35	56	25	34	71	58	20	297	63	91	20	39	64	346	67	59	173	190	40	93	116	199	120	113	53					
		33.95%	35.96%	35.40%	33.49%	33.77%	34.79%	35.33%	34.28%	34.65%	33.65%	30.53%	34.42%	33.47%	49.03%	37.13%	31.24%	33.10%	30.60%	34.76%	32.76%	31.20%	33.67%	34.36%	37.58%	32.45%	32.49%	29.06%	30.76%	38.08%	34.95%	32.28%	37.16%	33.63%	30.32%	26.35%	27.27%	35.24%	29.26%	40.11%	35.94%	28.69%	30.36%	32.01%	30.25%	34.30%	34.20%	36.51%	34.85%	37.09%	32.55%	31.57%	33.33%	39.01%	35.31%	37.48%	29.38%	42.30%	38.46%	29.41%	36.36%	18.93%	28.81%	36.22%	37.66%	23.80%	39.6%	45.32%	29.93%	22.72%	40.20%	48.12%	31.65%	46.20%	55.14%	36.04%	37.03%	30.53%	33.33%	34.11%	31.63%	40.95%	41.54%	23.45%					
38	"21. ""Российская Конституционно-демократическая партия"""	116	3	3	1	2	1	0	0	1	0	1	1	1	4	2	2	3	5	6	3	6	1	1	1	1	1	2	6	0	2	0	0	1	4	1	0	1	0	1	0	2	1	1	0	1	0	1	1	1	1	2	0	0	5	1	0	2	1	0	1	0	1	0	0	0	3	0	2	1	0	0	4	1	0	3	1	1	1	1	1	3	4	0					
		0.23%	0.27%	0.25%	0.12%	0.15%	0.09%	0.0%	0.0%	0.08%	0.0%	0.29%	0.18%	0.20%	0.70%	0.23%	0.17%	0.20%	0.37%	0.40%	0.21%	0.55%	0.14%	0.11%	0.08%	0.08%	0.06%	0.25%	1.53%	0.0%	0.81%	0.0%	0.0%	0.30%	0.49%	0.77%	0.0%	0.81%	0.0%	0.58%	0.0%	0.16%	0.40%	0.15%	0.0%	0.11%	0.0%	0.12%	0.12%	0.36%	0.08%	0.13%	0.0%	0.0%	0.37%	0.13%	0.0%	0.96%	1.09%	0.0%	0.64%	0.0%	0.84%	0.0%	0.0%	0.0%	0.4%	0.0%	0.65%	1.13%	0.0%	0.0%	0.36%	0.68%	0.0%	0.62%	0.19%	0.76%	0.35%	0.29%	0.15%	1.02%	1.47%	0.0%					
39	"22. ""Развитие предпринимательства"""	137	1	4	3	1	3	4	0	8	1	1	2	3	4	7	1	2	1	1	8	1	1	3	1	0	2	2	0	0	0	0	0	0	3	1	2	0	0	0	0	4	1	2	2	1	3	4	3	0	5	11	1	0	7	1	2	0	0	0	0	0	0	2	0	1	3	1	0	0	0	0	0	2	0	3	1	2	0	0	3	1	0	0					
		0.28%	0.09%	0.34%	0.37%	0.07%	0.29%	0.36%	0.0%	0.67%	0.12%	0.29%	0.36%	0.61%	0.70%	0.82%	0.08%	0.13%	0.07%	0.06%	0.56%	0.09%	0.14%	0.34%	0.08%	0.0%	0.13%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.77%	1.65%	0.0%	0.0%	0.0%	0.0%	0.33%	0.40%	0.31%	0.29%	0.11%	0.30%	0.48%	0.36%	0.0%	0.40%	0.75%	0.58%	0.0%	0.51%	0.13%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.02%	0.0%	1.19%	0.4%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	1.37%	0.0%	0.62%	0.19%	1.52%	0.0%	0.0%	0.47%	0.34%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	5410	89	95	74	78	113	110	71	152	85	49	73	77	38	87	107	168	150	180	210	160	100	95	123	149	156	142	52	50	23	13	11	42	90	23	15	12	4	8	21	152	31	80	102	109	110	66	80	35	139	127	8	35	157	59	18	30	4	16	13	22	11	26	18	8	98	13	24	14	8	9	121	11	8	49	52	8	30	56	64	15	45	34					
		11.18%	8.27%	8.08%	9.21%	6.08%	11.23%	10.01%	11.87%	12.78%	10.36%	14.67%	13.22%	15.81%	6.65%	10.22%	9.57%	11.73%	11.14%	12.29%	14.79%	14.81%	14.57%	10.88%	10.67%	11.93%	10.64%	18.34%	13.33%	12.95%	9.34%	10.23%	9.73%	12.61%	11.13%	17.82%	12.39%	9.83%	3.25%	4.65%	9.67%	12.67%	12.55%	12.61%	15.20%	12.17%	11.09%	7.98%	9.61%	12.72%	11.14%	8.71%	4.67%	15.69%	11.64%	8.25%	9.27%	14.42%	4.39%	13.44%	8.44%	16.66%	9.32%	13.26%	11.68%	9.52%	13.06%	9.35%	7.89%	15.90%	8.24%	6.76%	11.07%	7.58%	7.47%	10.20%	10.13%	6.10%	10.75%	16.47%	10.17%	5.11%	16.54%	15.04%					
																																																																																									
41	Против всех	3064	80	94	57	111	58	60	36	63	45	21	23	20	22	41	58	77	71	83	99	69	47	51	92	86	107	42	22	24	6	4	3	8	50	4	8	7	18	11	10	113	16	33	46	50	67	59	70	20	104	123	13	8	67	36	16	10	5	7	6	9	8	10	8	4	41	6	9	3	0	2	90	5	4	40	30	6	16	23	50	9	17	17					
		6.33%	7.43%	8.0%	7.09%	8.65%	5.76%	5.46%	6.02%	5.29%	5.48%	6.28%	4.16%	4.10%	3.85%	4.81%	5.19%	5.37%	5.27%	5.66%	6.97%	6.38%	6.85%	5.84%	7.98%	6.89%	7.30%	5.42%	5.64%	6.21%	2.43%	3.14%	2.65%	2.40%	6.18%	3.10%	6.61%	5.73%	14.63%	6.39%	4.60%	9.42%	6.47%	5.20%	6.85%	5.58%	6.76%	7.13%	8.41%	7.27%	8.34%	8.44%	7.60%	3.58%	4.97%	5.03%	8.24%	4.80%	5.49%	5.88%	3.89%	6.81%	6.77%	5.10%	5.19%	4.76%	5.46%	4.31%	2.96%	3.40%	0.0%	1.50%	8.23%	3.44%	3.73%	8.33%	5.84%	4.58%	5.73%	6.76%	7.94%	3.07%	6.24%	7.52%					
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
