Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Волжская  городская 																																																																																																													
																																																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																													
																																																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102					
		0.04%	0.15%	0.0%	0.0%	0.0%	0.0%	0.22%	0.12%	0.0%	0.0%	0.0%	0.09%	0.22%	0.08%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.11%	0.07%	0.0%	0.0%	0.0%	0.0%	0.09%	0.19%	0.0%	0.07%	0.0%	0.0%	0.0%	0.20%	0.18%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.09%	0.08%	0.0%	0.0%	0.0%	0.0%	0.07%	0.16%	0.07%	0.0%	0.06%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.08%	0.0%	0.07%	0.0%	0.0%	0.12%	0.07%	0.0%	0.0%	0.0%	0.0%	0.33%	0.16%	0.0%	0.08%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1064	4	15	1	12	4	10	5	11	9	0	10	2	13	6	5	18	8	2	7	16	7	6	10	13	12	6	18	7	7	7	15	16	8	16	14	10	13	12	18	7	18	11	7	15	10	5	14	5	17	7	6	6	12	11	12	8	12	30	15	0	9	20	10	3	18	12	10	9	19	9	6	13	18	13	27	18	8	8	8	5	11	14	10	6	8	9	12	11	13	20	5	11	11	11	10	0	9	17	6	10	12	4					
		0.94%	0.60%	1.45%	0.10%	1.21%	0.95%	1.12%	0.62%	1.34%	0.81%	0.0%	0.99%	0.22%	1.09%	0.81%	0.64%	2.02%	0.88%	0.42%	0.63%	1.15%	0.84%	0.55%	0.75%	1.11%	0.74%	0.67%	1.34%	0.85%	0.93%	0.70%	1.20%	1.52%	0.76%	1.27%	1.02%	0.75%	0.83%	0.90%	1.20%	0.66%	1.43%	0.77%	0.59%	1.09%	1.11%	0.55%	1.37%	0.51%	1.7%	0.68%	0.68%	0.67%	1.10%	1.10%	1.11%	0.65%	0.94%	1.98%	1.02%	0.0%	0.65%	1.68%	0.73%	0.21%	1.20%	1.02%	0.89%	0.72%	1.42%	0.76%	0.52%	1.05%	1.42%	0.95%	2.06%	1.41%	0.60%	0.64%	0.60%	0.38%	0.97%	1.05%	1.06%	0.62%	0.63%	0.72%	0.91%	0.87%	1.08%	1.47%	0.62%	0.86%	1.10%	0.87%	0.83%	0.0%	0.60%	1.41%	0.61%	0.82%	1.09%	0.97%					
30	"13. ""Демократическая партия России"""	161	1	3	0	1	1	1	2	2	0	0	0	6	1	3	0	0	0	0	1	2	0	1	0	0	1	0	4	1	1	0	3	0	1	4	0	4	2	2	1	0	4	0	5	1	2	4	1	5	3	0	5	2	1	2	0	6	4	2	2	0	1	3	5	3	2	1	0	0	0	2	0	6	2	0	2	2	1	0	0	1	1	2	1	1	1	0	1	3	1	1	0	10	1	0	0	0	3	2	0	2	0	2					
		0.14%	0.15%	0.29%	0.0%	0.10%	0.23%	0.11%	0.24%	0.24%	0.0%	0.0%	0.0%	0.68%	0.08%	0.40%	0.0%	0.0%	0.0%	0.0%	0.09%	0.14%	0.0%	0.09%	0.0%	0.0%	0.06%	0.0%	0.29%	0.12%	0.13%	0.0%	0.24%	0.0%	0.09%	0.31%	0.0%	0.30%	0.12%	0.15%	0.06%	0.0%	0.31%	0.0%	0.42%	0.07%	0.22%	0.44%	0.09%	0.51%	0.3%	0.0%	0.56%	0.22%	0.09%	0.20%	0.0%	0.49%	0.31%	0.13%	0.13%	0.0%	0.07%	0.25%	0.36%	0.21%	0.13%	0.08%	0.0%	0.0%	0.0%	0.17%	0.0%	0.48%	0.15%	0.0%	0.15%	0.15%	0.07%	0.0%	0.0%	0.07%	0.08%	0.15%	0.10%	0.10%	0.07%	0.0%	0.07%	0.23%	0.08%	0.07%	0.0%	0.78%	0.10%	0.0%	0.0%	0.0%	0.20%	0.16%	0.0%	0.16%	0.0%	0.48%					
31	"14. ""Великая Россия - Евразийский Союз"""	196	2	1	1	6	1	3	0	0	2	2	0	1	0	2	5	3	1	2	2	0	3	2	3	1	3	1	5	0	1	2	50	0	0	3	1	1	0	2	0	0	1	2	2	2	1	1	0	3	2	1	1	1	2	0	1	1	2	1	0	0	1	2	3	3	1	1	2	0	2	0	0	1	0	1	3	1	2	0	0	0	0	2	2	0	2	0	0	0	4	2	2	5	5	2	0	0	6	2	1	0	1	1					
		0.17%	0.30%	0.09%	0.10%	0.60%	0.23%	0.33%	0.0%	0.0%	0.18%	0.28%	0.0%	0.11%	0.0%	0.27%	0.64%	0.33%	0.11%	0.42%	0.18%	0.0%	0.36%	0.18%	0.22%	0.08%	0.18%	0.11%	0.37%	0.0%	0.13%	0.20%	4.00%	0.0%	0.0%	0.23%	0.07%	0.07%	0.0%	0.15%	0.0%	0.0%	0.07%	0.14%	0.16%	0.14%	0.11%	0.11%	0.0%	0.31%	0.2%	0.09%	0.11%	0.11%	0.18%	0.0%	0.09%	0.08%	0.15%	0.06%	0.0%	0.0%	0.07%	0.16%	0.21%	0.21%	0.06%	0.08%	0.17%	0.0%	0.15%	0.0%	0.0%	0.08%	0.0%	0.07%	0.22%	0.07%	0.15%	0.0%	0.0%	0.0%	0.0%	0.15%	0.21%	0.0%	0.15%	0.0%	0.0%	0.0%	0.33%	0.14%	0.24%	0.39%	0.50%	0.15%	0.0%	0.0%	0.40%	0.16%	0.10%	0.0%	0.09%	0.24%					
32	"15. ""Партия СЛОН"""	222	0	0	2	3	0	1	4	0	2	3	2	2	2	2	0	4	1	0	1	2	3	0	5	1	2	3	2	2	0	2	1	2	1	0	4	0	3	0	2	4	3	1	4	3	2	1	0	1	1	0	1	0	0	2	1	0	1	1	1	0	3	2	2	1	2	5	0	2	0	1	4	3	4	6	5	4	3	3	3	4	3	1	4	5	2	2	2	4	4	5	1	3	3	4	3	0	17	3	1	1	5	1					
		0.19%	0.0%	0.0%	0.21%	0.30%	0.0%	0.11%	0.49%	0.0%	0.18%	0.42%	0.19%	0.22%	0.16%	0.27%	0.0%	0.45%	0.11%	0.0%	0.09%	0.14%	0.36%	0.0%	0.37%	0.08%	0.12%	0.33%	0.14%	0.24%	0.0%	0.20%	0.08%	0.19%	0.09%	0.0%	0.29%	0.0%	0.19%	0.0%	0.13%	0.37%	0.23%	0.07%	0.33%	0.21%	0.22%	0.11%	0.0%	0.10%	0.1%	0.0%	0.11%	0.0%	0.0%	0.20%	0.09%	0.0%	0.07%	0.06%	0.06%	0.0%	0.21%	0.16%	0.14%	0.07%	0.13%	0.42%	0.0%	0.16%	0.0%	0.08%	0.35%	0.24%	0.31%	0.44%	0.38%	0.31%	0.22%	0.24%	0.22%	0.31%	0.26%	0.07%	0.42%	0.52%	0.15%	0.16%	0.15%	0.31%	0.33%	0.36%	0.12%	0.23%	0.30%	0.31%	0.25%	0.0%	1.13%	0.24%	0.10%	0.08%	0.45%	0.24%					
33	"16. ""Родина"" (народно-патриотический союз)"""	12849	44	82	57	64	22	98	92	91	128	74	139	82	171	88	114	96	80	36	131	192	94	118	180	164	183	94	169	128	54	122	66	152	117	189	197	202	208	200	177	82	139	171	174	175	94	120	122	139	123	87	100	114	158	148	133	146	140	178	176	5	167	127	159	186	162	175	138	162	164	154	103	128	126	140	138	130	137	128	145	134	110	136	93	110	144	140	132	141	124	142	93	94	107	199	131	4	50	155	118	119	119	66					
		11.45%	6.64%	7.93%	5.98%	6.45%	5.26%	11.03%	11.42%	11.12%	11.57%	10.40%	13.84%	9.35%	14.41%	11.92%	14.65%	10.82%	8.82%	7.61%	11.89%	13.82%	11.29%	11.00%	13.66%	14.01%	11.43%	10.63%	12.59%	15.70%	7.18%	12.23%	5.28%	14.44%	11.26%	15.03%	14.35%	15.19%	13.30%	15.08%	11.82%	7.75%	11.04%	12.10%	14.67%	12.81%	10.45%	13.30%	11.99%	14.41%	12.3%	8.46%	11.37%	12.89%	14.53%	14.84%	12.36%	11.99%	10.97%	11.78%	12.05%	62.5%	12.13%	10.67%	11.61%	13.24%	10.80%	14.93%	12.41%	13.12%	12.34%	13.11%	9.05%	10.33%	9.96%	10.33%	10.56%	10.22%	10.41%	10.37%	11.05%	10.42%	9.77%	10.21%	9.90%	11.47%	11.39%	11.22%	10.02%	11.18%	10.34%	10.48%	11.53%	7.42%	10.73%	15.78%	10.92%	19.04%	3.34%	12.87%	12.09%	9.76%	10.88%	16.05%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	212	9	2	4	1	0	0	0	0	7	0	2	1	5	3	4	0	0	1	1	2	0	1	4	1	2	2	3	2	0	0	5	2	3	1	0	0	1	1	1	2	0	2	4	3	3	1	3	2	1	0	3	2	4	4	2	1	1	0	1	0	2	2	4	1	1	1	1	4	0	2	3	0	2	0	2	1	2	1	2	1	2	2	0	0	2	1	5	2	1	3	0	2	2	26	1	0	11	4	0	3	3	0					
		0.18%	1.35%	0.19%	0.42%	0.10%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.19%	0.11%	0.42%	0.40%	0.51%	0.0%	0.0%	0.21%	0.09%	0.14%	0.0%	0.09%	0.30%	0.08%	0.12%	0.22%	0.22%	0.24%	0.0%	0.0%	0.40%	0.19%	0.28%	0.07%	0.0%	0.0%	0.06%	0.07%	0.06%	0.18%	0.0%	0.14%	0.33%	0.21%	0.33%	0.11%	0.29%	0.20%	0.1%	0.0%	0.34%	0.22%	0.36%	0.40%	0.18%	0.08%	0.07%	0.0%	0.06%	0.0%	0.14%	0.16%	0.29%	0.07%	0.06%	0.08%	0.08%	0.32%	0.0%	0.17%	0.26%	0.0%	0.15%	0.0%	0.15%	0.07%	0.15%	0.08%	0.15%	0.07%	0.17%	0.15%	0.0%	0.0%	0.15%	0.08%	0.37%	0.15%	0.08%	0.22%	0.0%	0.15%	0.20%	2.06%	0.08%	0.0%	0.73%	0.33%	0.0%	0.24%	0.27%	0.0%					
35	"18. ""ЛДПР"""	15140	127	124	140	105	55	137	104	96	118	85	111	110	104	54	72	89	164	74	101	164	81	132	160	102	148	62	166	97	113	97	243	137	126	131	134	141	180	168	195	145	168	161	128	165	165	113	112	121	120	185	116	125	137	132	138	180	171	168	193	0	208	158	183	184	209	170	149	196	208	172	155	168	173	219	220	201	205	164	206	227	194	190	148	146	190	205	233	204	163	191	104	184	149	153	159	2	369	170	148	169	156	48					
		13.49%	19.18%	11.99%	14.70%	10.59%	13.15%	15.42%	12.91%	11.73%	10.66%	11.95%	11.05%	12.54%	8.76%	7.31%	9.25%	10.03%	18.08%	15.64%	9.17%	11.80%	9.73%	12.31%	12.14%	8.71%	9.24%	7.01%	12.36%	11.90%	15.02%	9.72%	19.47%	13.02%	12.12%	10.42%	9.76%	10.60%	11.51%	12.66%	13.02%	13.71%	13.35%	11.39%	10.79%	12.07%	18.35%	12.52%	11.01%	12.55%	12.0%	17.99%	13.19%	14.14%	12.60%	13.23%	12.82%	14.79%	13.40%	11.11%	13.21%	0.0%	15.11%	13.27%	13.36%	13.10%	13.94%	14.50%	13.39%	15.88%	15.65%	14.65%	13.63%	13.57%	13.67%	16.16%	16.84%	15.81%	15.58%	13.29%	15.70%	17.66%	17.24%	14.27%	15.76%	15.22%	15.03%	16.43%	17.69%	16.17%	13.59%	14.10%	12.90%	14.53%	14.94%	12.13%	13.26%	9.52%	24.69%	14.11%	15.16%	13.86%	14.27%	11.67%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1752	13	20	17	17	1	19	19	8	19	12	6	14	29	8	8	13	13	10	19	15	13	8	19	12	21	17	20	12	11	23	13	13	15	20	13	22	28	30	27	24	21	20	17	21	16	24	15	20	15	16	11	16	14	15	15	16	32	20	26	0	26	16	22	21	22	24	15	13	18	17	14	22	15	23	13	18	24	24	27	17	18	19	14	17	24	26	19	14	16	15	13	15	21	20	23	0	14	19	19	15	22	7					
		1.56%	1.96%	1.93%	1.78%	1.71%	0.23%	2.13%	2.36%	0.97%	1.71%	1.68%	0.59%	1.59%	2.44%	1.08%	1.02%	1.46%	1.43%	2.11%	1.72%	1.07%	1.56%	0.74%	1.44%	1.02%	1.31%	1.92%	1.49%	1.47%	1.46%	2.30%	1.04%	1.23%	1.44%	1.59%	0.94%	1.65%	1.79%	2.26%	1.80%	2.27%	1.66%	1.41%	1.43%	1.53%	1.77%	2.66%	1.47%	2.07%	1.5%	1.55%	1.25%	1.80%	1.28%	1.50%	1.39%	1.31%	2.50%	1.32%	1.78%	0.0%	1.88%	1.34%	1.60%	1.49%	1.46%	2.04%	1.34%	1.05%	1.35%	1.44%	1.23%	1.77%	1.18%	1.69%	0.99%	1.41%	1.82%	1.94%	2.05%	1.32%	1.6%	1.42%	1.49%	1.77%	1.89%	2.08%	1.44%	1.11%	1.33%	1.10%	1.61%	1.18%	2.10%	1.58%	1.91%	0.0%	0.93%	1.57%	1.94%	1.23%	2.01%	1.70%					
37	"20. ""Политическая партия ""Единая Россия"""	26474	151	221	212	245	125	231	209	200	304	169	225	207	259	166	166	248	234	91	262	286	182	266	277	247	356	205	331	201	218	262	277	234	229	251	308	316	370	271	307	289	294	329	259	327	238	173	217	225	232	250	211	220	253	149	231	304	286	335	347	2	349	284	327	313	374	267	249	263	312	313	276	296	299	297	280	311	361	319	299	314	246	331	208	202	330	281	301	322	325	361	212	292	261	326	267	2	399	296	247	301	280	91					
		23.59%	22.80%	21.37%	22.26%	24.72%	29.90%	26.01%	25.96%	24.44%	27.48%	23.76%	22.41%	23.60%	21.83%	22.49%	21.33%	27.95%	25.79%	19.23%	23.79%	20.59%	21.87%	24.81%	21.03%	21.11%	22.23%	23.19%	24.66%	24.66%	28.98%	26.27%	22.19%	22.24%	22.04%	19.96%	22.44%	23.77%	23.67%	20.43%	20.50%	27.34%	23.37%	23.28%	21.83%	23.93%	26.47%	19.17%	21.33%	23.34%	23.2%	24.31%	24.00%	24.88%	23.27%	14.94%	21.46%	24.97%	22.41%	22.17%	23.76%	25.0%	25.36%	23.86%	23.88%	22.29%	24.94%	22.78%	22.39%	21.31%	23.47%	26.66%	24.27%	23.90%	23.63%	21.91%	21.43%	24.46%	27.45%	25.85%	22.78%	24.43%	21.86%	24.86%	22.15%	21.06%	26.10%	22.53%	22.85%	25.53%	27.10%	26.66%	26.30%	23.06%	26.17%	25.85%	22.26%	9.52%	26.70%	24.58%	25.30%	24.69%	25.61%	22.14%					
38	"21. ""Российская Конституционно-демократическая партия"""	112	1	4	5	2	0	1	0	0	0	1	1	1	2	0	1	3	0	0	2	0	1	2	1	0	3	2	0	1	1	0	0	0	0	0	0	2	2	4	0	2	1	4	0	1	0	2	1	0	1	1	1	0	1	0	1	1	0	1	0	0	2	0	1	1	1	0	1	0	0	1	0	1	2	3	1	1	0	4	1	2	1	0	1	1	5	2	2	1	0	1	0	2	0	2	0	0	1	2	0	4	2	2					
		0.09%	0.15%	0.38%	0.52%	0.20%	0.0%	0.11%	0.0%	0.0%	0.0%	0.14%	0.09%	0.11%	0.16%	0.0%	0.12%	0.33%	0.0%	0.0%	0.18%	0.0%	0.12%	0.18%	0.07%	0.0%	0.18%	0.22%	0.0%	0.12%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.12%	0.30%	0.0%	0.18%	0.07%	0.28%	0.0%	0.07%	0.0%	0.22%	0.09%	0.0%	0.1%	0.09%	0.11%	0.0%	0.09%	0.0%	0.09%	0.08%	0.0%	0.06%	0.0%	0.0%	0.14%	0.0%	0.07%	0.07%	0.06%	0.0%	0.08%	0.0%	0.0%	0.08%	0.0%	0.08%	0.15%	0.22%	0.07%	0.07%	0.0%	0.32%	0.07%	0.15%	0.08%	0.0%	0.10%	0.10%	0.39%	0.16%	0.15%	0.07%	0.0%	0.07%	0.0%	0.15%	0.0%	0.15%	0.0%	0.0%	0.06%	0.16%	0.0%	0.32%	0.18%	0.48%					
39	"22. ""Развитие предпринимательства"""	272	2	1	0	3	0	3	3	0	1	1	1	2	1	2	0	2	3	0	4	0	3	1	3	6	5	1	4	0	1	1	0	2	1	2	0	2	3	2	3	4	4	2	6	4	2	4	2	3	5	1	0	1	1	1	0	1	10	5	1	0	2	4	5	7	2	1	2	2	1	0	6	5	4	5	2	5	1	2	4	9	4	6	3	0	5	6	4	1	8	3	3	5	4	2	2	0	4	2	4	4	5	2					
		0.24%	0.30%	0.09%	0.0%	0.30%	0.0%	0.33%	0.37%	0.0%	0.09%	0.14%	0.09%	0.22%	0.08%	0.27%	0.0%	0.22%	0.33%	0.0%	0.36%	0.0%	0.36%	0.09%	0.22%	0.51%	0.31%	0.11%	0.29%	0.0%	0.13%	0.10%	0.0%	0.19%	0.09%	0.15%	0.0%	0.15%	0.19%	0.15%	0.20%	0.37%	0.31%	0.14%	0.50%	0.29%	0.22%	0.44%	0.19%	0.31%	0.5%	0.09%	0.0%	0.11%	0.09%	0.10%	0.0%	0.08%	0.78%	0.33%	0.06%	0.0%	0.14%	0.33%	0.36%	0.49%	0.13%	0.08%	0.17%	0.16%	0.07%	0.0%	0.52%	0.40%	0.31%	0.36%	0.15%	0.39%	0.07%	0.16%	0.30%	0.70%	0.35%	0.45%	0.31%	0.0%	0.39%	0.48%	0.30%	0.07%	0.66%	0.22%	0.37%	0.39%	0.40%	0.15%	0.16%	0.0%	0.26%	0.16%	0.40%	0.32%	0.45%	0.48%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	24773	152	306	257	314	107	155	147	204	248	160	247	230	310	180	181	157	168	131	283	373	215	259	340	301	434	256	316	193	144	270	329	223	291	341	342	359	368	358	352	208	314	352	305	308	136	227	268	222	227	200	201	195	225	244	262	271	287	373	357	1	289	273	291	309	324	225	243	300	258	204	248	281	246	241	209	208	260	280	240	232	191	251	184	180	219	232	232	220	211	215	181	337	162	198	274	6	137	265	171	289	211	62					
		22.08%	22.96%	29.59%	26.99%	31.68%	25.59%	17.45%	18.26%	24.93%	22.42%	22.50%	24.60%	26.22%	26.13%	24.39%	23.26%	17.70%	18.52%	27.69%	25.70%	26.85%	25.84%	24.16%	25.81%	25.72%	27.10%	28.95%	23.54%	23.68%	19.14%	27.08%	26.36%	21.19%	28.00%	27.12%	24.92%	27.01%	23.54%	26.99%	23.51%	19.67%	24.96%	24.91%	25.71%	22.54%	15.12%	25.16%	26.35%	23.02%	22.7%	19.45%	22.86%	22.05%	20.69%	24.47%	24.34%	22.26%	22.49%	24.68%	24.45%	12.5%	21.00%	22.94%	21.25%	22.00%	21.61%	19.19%	21.85%	24.31%	19.41%	17.37%	21.81%	22.69%	19.44%	17.78%	16.00%	16.36%	19.77%	22.69%	18.29%	18.05%	16.97%	18.85%	19.59%	18.76%	17.32%	18.60%	17.61%	17.44%	17.59%	15.87%	22.45%	26.61%	16.24%	15.70%	22.85%	28.57%	9.17%	22.00%	17.52%	23.70%	19.30%	15.08%					
																																																																																																													
41	Против всех	6506	27	62	56	57	23	72	55	42	66	35	44	46	53	33	31	63	54	22	54	79	47	56	48	59	70	40	78	23	52	48	0	69	55	54	61	48	93	71	80	80	66	71	56	78	74	38	52	48	58	64	59	41	58	47	63	65	91	89	73	0	68	68	76	69	92	82	76	69	103	64	81	91	104	103	94	82	83	53	100	66	84	87	72	72	91	101	99	72	77	107	36	52	73	75	69	2	143	53	68	61	79	12					
		5.79%	4.07%	5.99%	5.88%	5.75%	5.50%	8.10%	6.83%	5.13%	5.96%	4.92%	4.38%	5.24%	4.46%	4.47%	3.98%	7.10%	5.95%	4.65%	4.90%	5.68%	5.64%	5.22%	3.64%	5.04%	4.37%	4.52%	5.81%	2.82%	6.91%	4.81%	0.0%	6.55%	5.29%	4.29%	4.44%	3.61%	5.95%	5.35%	5.34%	7.56%	5.24%	5.02%	4.72%	5.71%	8.23%	4.21%	5.11%	4.97%	5.8%	6.22%	6.71%	4.63%	5.33%	4.71%	5.85%	5.34%	7.13%	5.89%	5.0%	0.0%	4.94%	5.71%	5.55%	4.91%	6.13%	6.99%	6.83%	5.59%	7.75%	5.45%	7.12%	7.35%	8.22%	7.60%	7.19%	6.45%	6.31%	4.29%	7.62%	5.13%	7.46%	6.53%	7.66%	7.50%	7.19%	8.09%	7.51%	5.70%	6.42%	7.90%	4.46%	4.10%	7.32%	5.94%	5.75%	9.52%	9.57%	4.40%	6.96%	5.00%	7.22%	2.91%					
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
																																																																																																													
