Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																		
Дата голосования: 18.09.2016																																																																																																																		
																																																																																																																		
Наименование Избирательной комиссии:    Балаковская																																																																																																																		
																																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																		
																																																																																																																		
		Сумма	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №1481									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	843	18	6	16	12	10	17	14	22	10	21	9	3	14	29	16	21	10	6	17	9	15	7	7	12	0	8	6	2	6	6	5	4	17	18	6	3	2	5	3	6	5	4	1	2	10	3	4	15	25	15	6	5	16	10	16	12	27	12	21	24	17	7	4	6	11	12	8	11	31	18	7	2	4	1	1	1	0	1	0	3	0	1	8	0	7	7	0	0	1	1	2	1	4	2	0	1	0	0	1	1	0	0	10									
		1.09%	2.02%	0.59%	3.49%	0.66%	1.36%	2.97%	1.67%	2.63%	1.51%	2.23%	1.01%	0.29%	1.56%	3.15%	2.45%	2.96%	0.57%	0.76%	1.95%	1.20%	1.59%	0.93%	0.53%	0.77%	0.00%	0.82%	0.39%	0.25%	0.72%	0.53%	0.58%	0.47%	1.72%	1.64%	1.18%	0.31%	0.40%	0.75%	0.30%	0.82%	0.80%	0.93%	0.05%	0.72%	1.02%	0.15%	0.95%	1.96%	1.74%	1.39%	0.60%	0.54%	1.89%	0.94%	1.54%	1.19%	2.77%	1.46%	1.80%	1.94%	2.20%	0.73%	0.55%	0.68%	1.18%	1.21%	1.13%	1.30%	1.98%	1.43%	0.81%	0.38%	1.08%	0.25%	0.41%	0.30%	0.00%	0.34%	0.00%	0.70%	0.00%	1.49%	1.99%	0.00%	1.55%	0.58%	0.00%	0.00%	0.63%	0.49%	0.49%	0.97%	0.68%	0.65%	0.00%	0.29%	0.00%	0.00%	1.35%	0.35%	0.00%	0.00%	1.99%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	10099	171	205	73	105	117	84	144	163	106	157	161	51	164	172	151	119	69	161	166	114	163	141	55	84	5	221	142	86	151	191	184	153	169	207	61	92	60	117	40	125	90	59	203	20	161	61	33	129	74	183	58	186	165	185	161	174	151	123	192	165	131	129	63	149	187	160	140	147	55	129	138	55	60	59	21	36	38	17	12	28	8	2	33	24	62	88	4	33	7	20	47	9	69	25	22	35	23	6	4	22	19	43	67									
		13.06%	19.24%	20.12%	15.94%	5.82%	15.92%	14.66%	17.14%	19.45%	15.99%	16.70%	18.01%	4.90%	18.28%	18.70%	23.16%	16.78%	3.93%	20.46%	19.08%	15.24%	17.30%	18.80%	4.19%	5.42%	1.61%	22.62%	9.16%	10.83%	18.11%	16.89%	21.27%	17.92%	17.09%	18.82%	11.98%	9.61%	11.95%	17.59%	4.01%	17.08%	14.42%	13.72%	9.97%	7.19%	16.43%	2.98%	7.88%	16.82%	5.14%	17.01%	5.80%	19.91%	19.53%	17.39%	15.50%	17.31%	15.47%	14.95%	16.49%	13.36%	16.95%	13.48%	8.74%	16.93%	20.00%	16.16%	19.77%	17.36%	3.52%	10.23%	15.92%	10.54%	16.17%	14.57%	8.61%	10.84%	7.38%	5.80%	8.05%	6.54%	8.89%	2.99%	8.21%	7.84%	13.72%	7.33%	1.95%	15.71%	4.38%	9.85%	11.60%	8.74%	11.79%	8.06%	7.53%	10.14%	9.43%	4.38%	5.41%	7.61%	14.84%	12.39%	13.32%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	209	2	4	4	4	10	1	3	2	4	5	3	0	1	8	1	1	1	2	2	7	1	3	3	0	0	2	2	3	1	3	3	1	1	3	1	2	2	2	0	3	0	3	2	0	2	0	1	3	2	2	3	5	3	4	6	4	1	6	2	2	2	0	4	5	5	2	2	2	3	7	3	2	1	1	2	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	4	1	1	0	1	1	2	1	0	0	0	0	1									
		0.27%	0.22%	0.39%	0.87%	0.22%	1.36%	0.17%	0.36%	0.24%	0.60%	0.53%	0.34%	0.00%	0.11%	0.87%	0.15%	0.14%	0.06%	0.25%	0.23%	0.94%	0.11%	0.40%	0.23%	0.00%	0.00%	0.20%	0.13%	0.38%	0.12%	0.27%	0.35%	0.12%	0.10%	0.27%	0.20%	0.21%	0.40%	0.30%	0.00%	0.41%	0.00%	0.70%	0.10%	0.00%	0.20%	0.00%	0.24%	0.39%	0.14%	0.19%	0.30%	0.54%	0.36%	0.38%	0.58%	0.40%	0.10%	0.73%	0.17%	0.16%	0.26%	0.00%	0.55%	0.57%	0.53%	0.20%	0.28%	0.24%	0.19%	0.56%	0.35%	0.38%	0.27%	0.25%	0.82%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.49%	0.99%	0.97%	0.17%	0.00%	0.34%	0.29%	0.82%	0.73%	0.00%	0.00%	0.00%	0.00%	0.20%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4373	57	79	34	39	52	32	83	59	55	80	81	13	68	58	52	78	33	58	73	74	86	71	33	31	1	61	68	32	46	89	65	60	89	115	26	35	29	62	18	63	51	38	44	10	75	20	14	41	21	114	50	90	66	102	95	92	71	64	88	120	54	62	23	62	76	74	46	66	58	74	57	2	9	17	17	12	7	1	3	12	1	1	7	3	10	10	4	1	0	6	9	5	5	6	1	4	6	2	2	9	2	4	39									
		5.65%	6.41%	7.75%	7.42%	2.16%	7.07%	5.58%	9.88%	7.04%	8.30%	8.51%	9.06%	1.25%	7.58%	6.30%	7.98%	11.00%	1.88%	7.37%	8.39%	9.89%	9.13%	9.47%	2.51%	2.00%	0.32%	6.24%	4.38%	4.03%	5.52%	7.87%	7.51%	7.03%	8.99%	10.45%	5.11%	3.66%	5.78%	9.32%	1.81%	8.61%	8.17%	8.84%	2.16%	3.60%	7.65%	0.98%	3.34%	5.35%	1.46%	10.59%	5.00%	9.64%	7.81%	9.59%	9.14%	9.15%	7.27%	7.78%	7.56%	9.72%	6.99%	6.48%	3.19%	7.05%	8.13%	7.47%	6.50%	7.79%	3.71%	5.87%	6.57%	0.38%	2.43%	4.20%	6.97%	3.61%	1.36%	0.34%	2.01%	2.80%	1.11%	1.49%	1.74%	0.98%	2.21%	0.83%	1.95%	0.48%	0.00%	2.96%	2.22%	4.85%	0.85%	1.94%	0.34%	1.16%	2.46%	1.46%	2.70%	3.11%	1.56%	1.15%	7.75%									
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
