Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Тарская																																																																																								
																																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																								
																																																																																								
		Сумма	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998					
		5.20%	5.51%	6.21%	6.19%	2.80%	7.79%	9.24%	3.69%	6.99%	7.63%	3.73%	6.02%	8.99%	12.81%	7.64%	5.18%	9.13%	7.32%	6.93%	5.59%	10.40%	5.31%	1.04%	1.49%	5.37%	1.53%	0.0%	1.02%	0.78%	1.03%	0.0%	0.0%	2.49%	2.41%	3.70%	2.75%	1.15%	1.33%	8.42%	4.30%	0.0%	4.23%	5.64%	0.27%	1.45%	4.49%	0.0%	3.25%	2.77%	3.20%	2.38%	6.97%	2.60%	6.47%	3.12%	3.67%	2.04%	3.08%	0.63%	4.73%	0.0%	0.96%	4.08%	6.27%	10.34%	5.05%	2.15%	1.36%	3.10%	4.54%	2.43%	0.0%	4.05%	1.01%	11.87%	2.91%	2.62%	3.22%	4.07%	1.23%	6.21%	10.90%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	88	0	0	0	0	2	2	0	3	2	3	2	1	1	2	0	1	1	5	2	2	1	1	2	1	0	0	0	0	0	0	0	1	0	1	2	1	0	1	0	0	5	3	2	0	1	1	1	0	1	0	0	0	1	0	1	2	1	3	2	0	0	0	0	0	2	3	0	0	0	1	0	2	3	1	0	7	2	1	1	1	0					
		0.37%	0.0%	0.0%	0.0%	0.0%	0.28%	0.31%	0.0%	0.55%	1.52%	2.80%	0.25%	0.20%	0.15%	0.22%	0.0%	0.17%	0.12%	0.80%	0.33%	0.38%	0.17%	0.26%	0.74%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	1.85%	0.36%	0.57%	0.0%	0.38%	0.0%	0.0%	0.78%	0.99%	0.54%	0.0%	1.12%	4.0%	0.20%	0.0%	0.35%	0.0%	0.0%	0.0%	0.71%	0.0%	0.26%	2.04%	0.61%	0.95%	1.18%	0.0%	0.0%	0.0%	0.0%	0.0%	1.12%	3.22%	0.0%	0.0%	0.0%	0.30%	0.0%	0.45%	3.03%	0.35%	0.0%	1.31%	0.53%	0.45%	1.23%	0.56%	0.0%					
35	"18. ""ЛДПР"""	3925	52	88	133	13	113	134	42	90	22	29	149	85	61	118	63	95	167	120	107	117	106	77	33	26	2	2	9	44	5	16	1	44	20	5	129	36	65	8	87	21	115	54	27	33	8	3	83	25	42	6	18	7	3	6	94	18	35	50	31	19	43	14	57	14	48	16	35	80	32	58	11	67	13	26	16	39	60	30	19	22	14					
		16.80%	19.11%	22.79%	19.16%	12.14%	16.30%	21.00%	11.08%	16.57%	16.79%	27.10%	19.10%	17.38%	9.53%	13.47%	18.15%	17.02%	20.04%	19.35%	18.13%	22.54%	18.18%	20.15%	12.35%	13.97%	3.07%	4.0%	9.18%	17.32%	5.15%	43.24%	5.55%	12.18%	16.12%	9.25%	23.71%	20.80%	28.88%	3.06%	17.82%	19.26%	18.02%	17.94%	7.31%	12.0%	8.98%	12.0%	16.90%	17.36%	14.94%	7.14%	13.95%	6.08%	2.15%	6.25%	24.67%	18.36%	21.60%	15.92%	18.34%	45.23%	13.82%	28.57%	22.35%	12.06%	26.96%	17.20%	47.94%	19.09%	20.77%	17.68%	12.22%	15.09%	13.13%	9.35%	15.53%	7.30%	16.12%	13.57%	23.45%	12.42%	25.45%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	406	6	9	14	2	16	15	5	9	6	2	13	12	12	12	7	14	18	5	11	11	11	16	0	4	0	2	1	1	2	0	0	5	1	2	5	0	2	4	5	8	7	3	3	5	2	0	9	0	2	5	1	0	1	6	5	0	2	10	2	0	2	0	1	0	8	7	1	9	3	4	2	4	0	5	1	13	4	7	1	3	0					
		1.73%	2.20%	2.33%	2.01%	1.86%	2.30%	2.35%	1.31%	1.65%	4.58%	1.86%	1.66%	2.45%	1.87%	1.36%	2.01%	2.50%	2.16%	0.80%	1.86%	2.11%	1.88%	4.18%	0.0%	2.15%	0.0%	4.0%	1.02%	0.39%	2.06%	0.0%	0.0%	1.38%	0.80%	3.70%	0.91%	0.0%	0.88%	1.53%	1.02%	7.33%	1.09%	0.99%	0.81%	1.81%	2.24%	0.0%	1.83%	0.0%	0.71%	5.95%	0.77%	0.0%	0.71%	6.25%	1.31%	0.0%	1.23%	3.18%	1.18%	0.0%	0.64%	0.0%	0.39%	0.0%	4.49%	7.52%	1.36%	2.14%	1.94%	1.21%	2.22%	0.90%	0.0%	1.79%	0.97%	2.43%	1.07%	3.16%	1.23%	1.69%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	8580	97	124	269	55	237	189	121	196	35	5	298	156	244	305	123	187	280	218	194	156	185	151	83	111	41	22	46	105	40	16	12	168	41	21	144	57	98	127	149	51	262	130	286	105	39	6	199	68	114	33	49	16	38	58	144	28	75	154	57	12	133	12	85	71	55	35	15	105	45	112	26	175	31	89	50	153	127	76	34	95	26					
		36.74%	35.66%	32.12%	38.76%	51.40%	34.19%	29.62%	31.92%	36.09%	26.71%	4.67%	38.20%	31.90%	38.12%	34.81%	35.44%	33.51%	33.61%	35.16%	32.88%	30.05%	31.73%	39.52%	31.08%	59.67%	63.07%	44.0%	46.93%	41.33%	41.23%	43.24%	66.66%	46.53%	33.06%	38.88%	26.47%	32.94%	43.55%	48.65%	30.53%	46.78%	41.06%	43.18%	77.50%	38.18%	43.82%	24.0%	40.52%	47.22%	40.56%	39.28%	37.98%	13.91%	27.33%	60.41%	37.79%	28.57%	46.29%	49.04%	33.72%	28.57%	42.76%	24.48%	33.33%	61.20%	30.89%	37.63%	20.54%	25.05%	29.22%	34.14%	28.88%	39.41%	31.31%	32.01%	48.54%	28.65%	34.13%	34.38%	41.97%	53.67%	47.27%					
38	"21. ""Российская Конституционно-демократическая партия"""	57	0	1	1	0	1	5	1	2	1	1	3	0	3	1	2	0	0	1	0	1	2	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	3	1	0	2	0	1	0	0	0	0	0	1	0	0	1	0	0	4	0	0	1	0	0	0	1	0	0	0	2	3	1	0	1	0	1	0	0	0					
		0.24%	0.0%	0.25%	0.14%	0.0%	0.14%	0.78%	0.26%	0.36%	0.76%	0.93%	0.38%	0.0%	0.46%	0.11%	0.57%	0.0%	0.0%	0.16%	0.0%	0.19%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.18%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.54%	1.09%	1.12%	0.0%	0.40%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.31%	0.0%	0.0%	1.28%	0.0%	0.0%	0.86%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.45%	3.03%	0.35%	0.0%	0.18%	0.0%	0.45%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	37	0	0	1	0	3	3	1	1	0	0	0	1	3	3	2	0	1	4	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0					
		0.15%	0.0%	0.0%	0.14%	0.0%	0.43%	0.47%	0.26%	0.18%	0.0%	0.0%	0.0%	0.20%	0.46%	0.34%	0.57%	0.0%	0.12%	0.64%	0.16%	0.38%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.57%	0.44%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.0%	0.30%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3497	52	70	124	12	131	83	86	81	15	8	97	69	112	153	52	85	129	91	88	70	85	62	50	7	5	8	4	34	14	1	4	61	12	4	122	20	26	48	120	13	73	35	8	54	11	11	73	23	27	11	12	56	27	9	24	14	18	27	6	10	15	0	18	5	13	5	7	113	28	71	32	56	11	40	1	152	32	37	8	13	3					
		14.97%	19.11%	18.13%	17.86%	11.21%	18.90%	13.00%	22.69%	14.91%	11.45%	7.47%	12.43%	14.11%	17.5%	17.46%	14.98%	15.23%	15.48%	14.67%	14.91%	13.48%	14.57%	16.23%	18.72%	3.76%	7.69%	16.0%	4.08%	13.38%	14.43%	2.70%	22.22%	16.89%	9.67%	7.40%	22.42%	11.56%	11.55%	18.39%	24.59%	11.92%	11.44%	11.62%	2.16%	19.63%	12.35%	44.0%	14.86%	15.97%	9.60%	13.09%	9.30%	48.69%	19.42%	9.37%	6.29%	14.28%	11.11%	8.59%	3.55%	23.80%	4.82%	0.0%	7.05%	4.31%	7.30%	5.37%	9.58%	26.96%	18.18%	21.64%	35.55%	12.61%	11.11%	14.38%	0.97%	28.46%	8.60%	16.74%	9.87%	7.34%	5.45%					
																																																																																								
41	Против всех	802	4	13	17	5	17	23	13	26	9	11	23	22	21	32	17	18	36	20	30	20	23	10	11	5	0	1	5	11	1	0	0	5	13	4	16	13	6	11	10	2	20	6	5	7	9	1	9	5	11	9	9	4	5	3	10	9	2	11	9	1	26	1	6	0	7	4	1	13	12	7	4	11	1	8	4	3	9	4	4	8	0					
		3.43%	1.47%	3.36%	2.44%	4.67%	2.45%	3.60%	3.43%	4.78%	6.87%	10.28%	2.94%	4.49%	3.28%	3.65%	4.89%	3.22%	4.32%	3.22%	5.08%	3.85%	3.94%	2.61%	4.11%	2.68%	0.0%	2.0%	5.10%	4.33%	1.03%	0.0%	0.0%	1.38%	10.48%	7.40%	2.94%	7.51%	2.66%	4.21%	2.04%	1.83%	3.13%	1.99%	1.35%	2.54%	10.11%	4.0%	1.83%	3.47%	3.91%	10.71%	6.97%	3.47%	3.59%	3.12%	2.62%	9.18%	1.23%	3.50%	5.32%	2.38%	8.36%	2.04%	2.35%	0.0%	3.93%	4.30%	1.36%	3.10%	7.79%	2.13%	4.44%	2.47%	1.01%	2.87%	3.88%	0.56%	2.41%	1.80%	4.93%	4.51%	0.0%					
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
