Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																										
Дата голосования: 02.12.2007																																																																																																																										
																																																																																																																										
Наименование Избирательной комиссии:    Выборгская																																																																																																																										
																																																																																																																										
Сводная таблица результатов выборов																																																																																																																										
																																																																																																																										
		Сумма	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358					
		0.76%	0.69%	0.46%	0.46%	0.86%	0.56%	0.68%	1.56%	0.16%	0.91%	1.87%	0.54%	1.05%	0.93%	0.57%	0.87%	0.78%	0.58%	0.77%	1.14%	0.44%	0.56%	0.75%	1.04%	0.30%	0.70%	0.78%	0.81%	0.30%	0.62%	0.79%	0.90%	1.10%	0.25%	0.82%	0.85%	0.94%	0.93%	0.73%	0.00%	0.50%	0.51%	0.67%	0.57%	1.17%	0.91%	0.36%	1.57%	0.73%	0.52%	0.67%	0.45%	0.52%	0.84%	0.00%	1.10%	0.40%	0.73%	0.44%	0.56%	0.37%	0.00%	0.39%	1.44%	1.03%	0.41%	0.35%	2.12%	0.46%	0.00%	0.00%	0.99%	1.04%	0.46%	1.09%	0.25%	1.25%	0.38%	0.94%	0.68%	0.54%	0.94%	0.77%	0.20%	0.95%	0.59%	0.67%	0.16%	0.48%	1.69%	0.00%	0.45%	0.67%	0.85%	0.30%	1.19%	1.44%	0.95%	0.89%	1.16%	1.44%	0.93%	0.67%	1.34%	1.18%	1.26%	0.89%	0.19%	1.06%	0.25%	1.12%	0.83%	1.07%	1.15%	0.88%	1.13%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	53076	372	690	291	399	543	281	400	361	871	577	501	500	493	1137	541	522	531	471	558	501	636	520	482	624	505	458	359	547	496	565	596	591	679	835	746	730	681	661	213	147	388	693	107	238	219	185	361	914	881	880	815	832	589	192	232	982	926	322	647	147	237	366	144	448	177	380	117	427	290	96	312	368	603	718	271	215	564	445	549	509	433	511	353	275	397	211	427	395	152	156	133	421	265	263	110	536	511	1320	441	393	393	307	395	443	510	493	334	319	542	560	584	168	154	454	320					
		61.71%	64.14%	63.48%	66.44%	68.44%	60.87%	64.01%	56.74%	57.03%	66.19%	53.87%	54.05%	58.55%	57.19%	71.51%	58.99%	58.32%	51.75%	51.93%	57.59%	55.67%	59.61%	56.03%	55.92%	62.15%	58.86%	59.17%	57.81%	55.25%	61.54%	55.56%	59.72%	54.27%	56.54%	56.92%	57.65%	57.08%	57.37%	60.20%	69.84%	72.77%	65.87%	66.70%	60.80%	69.59%	66.16%	67.27%	70.78%	66.42%	65.60%	65.48%	61.56%	61.63%	61.74%	68.82%	63.56%	65.29%	67.84%	70.46%	72.13%	54.65%	79.53%	71.76%	68.90%	57.88%	73.44%	66.32%	61.90%	65.49%	70.05%	73.28%	62.28%	54.52%	54.97%	56.14%	68.78%	67.19%	71.85%	59.73%	62.60%	55.45%	50.88%	56.40%	69.22%	65.48%	58.13%	70.33%	67.89%	63.61%	64.14%	75.36%	59.64%	70.40%	56.50%	79.46%	65.48%	64.19%	60.98%	73.13%	63.73%	70.56%	73.32%	68.83%	52.81%	52.06%	58.42%	62.56%	64.60%	67.58%	67.50%	56.97%	60.64%	59.79%	59.00%	66.57%	51.70%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1574	4	17	3	14	28	3	23	29	41	45	32	20	31	19	20	21	46	20	36	16	29	36	37	23	24	30	15	20	23	19	16	33	32	37	28	27	25	23	6	2	10	11	1	3	4	0	5	16	17	6	23	24	11	4	3	29	17	3	8	4	0	3	0	12	2	4	4	8	5	1	3	13	22	24	2	3	11	13	6	13	9	15	2	1	3	1	5	11	0	0	3	13	17	0	0	6	9	7	5	5	1	5	9	18	27	17	6	6	4	12	15	3	10	7	21					
		1.83%	0.69%	1.56%	0.68%	2.40%	3.14%	0.68%	3.26%	4.58%	3.12%	4.20%	3.45%	2.34%	3.60%	1.19%	2.18%	2.35%	4.48%	2.21%	3.72%	1.78%	2.72%	3.88%	4.29%	2.29%	2.80%	3.88%	2.42%	2.02%	2.85%	1.87%	1.60%	3.03%	2.66%	2.52%	2.16%	2.11%	2.11%	2.09%	1.97%	0.99%	1.70%	1.06%	0.57%	0.88%	1.21%	0.00%	0.98%	1.16%	1.27%	0.45%	1.74%	1.78%	1.15%	1.43%	0.82%	1.93%	1.25%	0.66%	0.89%	1.49%	0.00%	0.59%	0.00%	1.55%	0.83%	0.70%	2.12%	1.23%	1.21%	0.76%	0.60%	1.93%	2.01%	1.88%	0.51%	0.94%	1.40%	1.74%	0.68%	1.42%	1.06%	1.66%	0.39%	0.24%	0.44%	0.33%	0.79%	1.77%	0.00%	0.00%	1.35%	2.17%	3.62%	0.00%	0.00%	0.72%	1.07%	0.39%	0.72%	0.90%	0.19%	1.12%	1.20%	2.12%	3.09%	2.16%	1.16%	1.27%	0.50%	1.22%	1.56%	1.07%	3.83%	1.03%	3.39%					
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
																																																																																																																										
