Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																			
Дата голосования: 18.09.2016																																																																																																																			
																																																																																																																			
"Наименование Избирательной комиссии:    Казань, Советская"																																																																																																																			
																																																																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																			
																																																																																																																			
		Сумма	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452									
		0.26%	0.07%	0.18%	0.20%	0.11%	0.44%	0.13%	0.20%	0.00%	0.13%	0.00%	0.25%	0.11%	0.09%	0.15%	0.53%	0.46%	0.14%	0.97%	0.18%	0.12%	0.47%	0.00%	0.13%	0.52%	0.45%	0.36%	0.23%	0.56%	0.24%	0.08%	0.47%	0.44%	0.23%	0.27%	0.35%	0.15%	0.00%	0.23%	0.00%	0.31%	0.53%	0.23%	0.00%	0.45%	1.18%	1.24%	0.00%	0.68%	0.00%	0.37%	0.84%	0.27%	0.11%	0.21%	0.10%	0.00%	0.14%	0.08%	0.17%	0.33%	0.09%	0.45%	0.17%	0.24%	0.26%	0.19%	0.21%	0.00%	0.16%	0.08%	0.58%	0.07%	0.09%	0.21%	0.27%	0.15%	0.27%	0.67%	0.08%	0.66%	0.08%	0.08%	0.21%	0.00%	0.25%	0.08%	0.14%	1.11%	0.44%	0.22%	0.15%	0.66%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.34%	0.14%	0.00%	0.08%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1554	9	3	3	7	22	20	13	8	36	3	25	8	18	38	11	31	22	10	10	15	10	10	35	9	8	20	4	10	20	16	47	23	14	4	5	12	25	18	4	22	47	5	21	5	17	8	5	17	10	3	25	8	12	8	11	15	15	26	2	9	9	19	20	13	43	3	23	12	18	10	15	24	14	16	23	13	21	29	3	10	18	31	14	0	12	12	35	18	40	12	17	17	14	22	0	5	1	2	1	3	3	0	29	13									
		1.34%	0.66%	0.26%	0.30%	0.75%	1.92%	2.61%	1.33%	0.59%	2.37%	0.20%	2.05%	0.87%	1.57%	2.83%	0.83%	2.05%	1.52%	0.74%	1.81%	1.85%	2.36%	0.65%	2.32%	0.78%	0.60%	1.46%	0.31%	0.93%	1.61%	1.31%	3.70%	1.70%	1.07%	0.36%	0.44%	0.91%	2.41%	2.11%	1.28%	1.69%	3.12%	0.38%	1.60%	0.76%	1.43%	0.76%	0.46%	1.94%	0.92%	0.28%	2.10%	0.71%	1.31%	0.85%	1.08%	2.25%	1.05%	2.09%	0.17%	0.74%	0.78%	1.43%	1.67%	1.04%	3.69%	0.29%	2.40%	0.94%	1.45%	0.78%	1.09%	1.73%	1.26%	1.71%	2.08%	0.99%	1.87%	2.15%	0.24%	0.82%	1.44%	2.33%	0.97%	0.00%	1.01%	0.91%	2.52%	1.33%	2.94%	0.90%	1.26%	1.40%	0.90%	1.44%	0.00%	1.98%	0.80%	0.56%	1.64%	0.51%	0.42%	0.00%	2.27%	1.30%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7891	60	114	98	52	71	34	80	135	77	64	101	30	99	56	95	132	67	119	38	52	26	106	99	52	121	117	61	70	101	61	77	102	88	53	97	107	69	44	8	92	21	65	79	45	74	31	94	43	98	15	71	112	85	50	98	61	31	68	114	90	110	65	80	52	102	129	55	71	85	128	90	99	80	75	74	185	73	75	145	146	19	98	93	44	111	112	98	41	55	116	128	63	117	111	11	21	10	16	2	41	46	10	59	80									
		6.79%	4.37%	10.03%	9.75%	5.56%	6.19%	4.44%	8.20%	10.00%	5.07%	4.16%	8.29%	3.26%	8.66%	4.18%	7.18%	8.71%	4.64%	8.84%	6.87%	6.43%	6.13%	6.91%	6.55%	4.50%	9.04%	8.52%	4.76%	6.49%	8.15%	4.99%	6.06%	7.54%	6.75%	4.73%	8.59%	8.09%	6.66%	5.16%	2.56%	7.06%	1.40%	4.95%	6.02%	6.80%	6.23%	2.95%	8.70%	4.90%	9.03%	1.38%	5.98%	9.95%	9.28%	5.32%	9.58%	9.16%	2.17%	5.46%	9.81%	7.43%	9.47%	4.89%	6.69%	4.14%	8.76%	12.26%	5.75%	5.55%	6.84%	9.98%	6.54%	7.12%	7.21%	8.01%	6.70%	14.09%	6.49%	5.56%	11.51%	12.02%	1.52%	7.37%	6.48%	3.51%	9.31%	8.53%	7.05%	3.03%	4.04%	8.66%	9.48%	5.19%	7.53%	7.27%	5.76%	8.30%	8.00%	4.51%	3.28%	6.98%	6.49%	6.17%	4.62%	7.98%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	558	1	2	7	12	9	4	0	7	6	5	5	0	2	4	13	3	4	7	1	0	0	0	7	25	5	9	1	7	5	7	11	0	4	21	8	5	17	1	1	2	0	10	12	7	8	12	0	1	5	2	15	8	5	7	3	0	4	2	8	1	8	7	5	5	2	2	1	4	0	3	10	2	2	2	3	5	11	8	1	11	4	2	20	0	5	7	1	22	15	12	11	7	3	4	0	0	0	2	1	3	1	0	7	1									
		0.48%	0.07%	0.18%	0.70%	1.28%	0.78%	0.52%	0.00%	0.52%	0.40%	0.33%	0.41%	0.00%	0.17%	0.30%	0.98%	0.20%	0.28%	0.52%	0.18%	0.00%	0.00%	0.00%	0.46%	2.16%	0.37%	0.66%	0.08%	0.65%	0.40%	0.57%	0.87%	0.00%	0.31%	1.88%	0.71%	0.38%	1.64%	0.12%	0.32%	0.15%	0.00%	0.76%	0.91%	1.06%	0.67%	1.14%	0.00%	0.11%	0.46%	0.18%	1.26%	0.71%	0.55%	0.75%	0.29%	0.00%	0.28%	0.16%	0.69%	0.08%	0.69%	0.53%	0.42%	0.40%	0.17%	0.19%	0.10%	0.31%	0.00%	0.23%	0.73%	0.14%	0.18%	0.21%	0.27%	0.38%	0.98%	0.59%	0.08%	0.91%	0.32%	0.15%	1.39%	0.00%	0.42%	0.53%	0.07%	1.62%	1.10%	0.90%	0.81%	0.58%	0.19%	0.26%	0.00%	0.00%	0.00%	0.56%	1.64%	0.51%	0.14%	0.00%	0.55%	0.10%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6143	94	126	55	37	52	39	35	52	50	240	23	115	80	31	93	49	124	28	14	18	5	129	46	82	54	36	178	70	94	37	29	52	24	82	37	25	36	22	35	56	116	144	30	40	68	21	27	36	51	198	59	32	42	71	53	23	230	32	43	40	60	98	57	84	77	52	23	35	79	64	74	52	35	11	61	32	29	14	101	18	207	64	58	164	70	83	78	47	63	52	39	74	85	33	8	13	4	7	3	16	16	2	32	29									
		5.28%	6.85%	11.08%	5.47%	3.95%	4.53%	5.10%	3.59%	3.85%	3.29%	15.60%	1.89%	12.49%	6.99%	2.31%	7.02%	3.23%	8.58%	2.08%	2.53%	2.22%	1.18%	8.41%	3.04%	7.10%	4.03%	2.62%	13.90%	6.49%	7.59%	3.03%	2.28%	3.84%	1.84%	7.32%	3.28%	1.89%	3.47%	2.58%	11.18%	4.29%	7.71%	10.97%	2.29%	6.04%	5.73%	2.00%	2.50%	4.10%	4.70%	18.22%	4.97%	2.84%	4.59%	7.56%	5.18%	3.45%	16.08%	2.57%	3.70%	3.30%	5.17%	7.38%	4.77%	6.69%	6.61%	4.94%	2.40%	2.73%	6.36%	4.99%	5.38%	3.74%	3.15%	1.18%	5.53%	2.44%	2.58%	1.04%	8.02%	1.48%	16.51%	4.81%	4.04%	13.08%	5.87%	6.32%	5.61%	3.47%	4.63%	3.88%	2.89%	6.10%	5.47%	2.16%	4.19%	5.14%	3.20%	1.97%	4.92%	2.73%	2.26%	1.23%	2.51%	2.89%									
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
