Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																																								
Дата голосования: 18.09.2016																																																																																																																																																								
																																																																																																																																																								
Наименование Избирательной комиссии:    Энгельсская																																																																																																																																																								
																																																																																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																																								
																																																																																																																																																								
		Сумма	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №8209									
24	"6. Политическая партия ""Гражданская Платформа"""	216	0	0	0	2	0	0	1	2	0	0	0	1	1	2	9	5	10	27	1	0	0	0	0	3	3	2	1	1	0	1	0	1	0	0	2	3	1	4	9	4	20	2	2	1	1	2	3	3	1	1	1	0	1	0	1	7	2	3	0	0	5	0	1	0	2	0	1	8	0	1	0	2	0	0	0	0	4	7	0	6	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	3	1	0	0	0	0	0	1	1	0	0	2	2	0	4	0	2									
		0.13%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.10%	0.34%	0.00%	0.00%	0.00%	0.06%	0.06%	0.42%	0.55%	0.29%	0.68%	1.54%	0.08%	0.00%	0.00%	0.00%	0.00%	0.18%	0.14%	0.13%	0.11%	0.08%	0.00%	0.06%	0.00%	0.07%	0.00%	0.00%	0.11%	0.16%	0.06%	0.26%	0.46%	0.33%	1.24%	0.11%	0.08%	0.12%	0.06%	0.20%	0.31%	0.22%	0.07%	0.11%	0.08%	0.00%	0.07%	0.00%	0.05%	0.32%	0.11%	0.18%	0.00%	0.00%	0.55%	0.00%	0.16%	0.00%	0.15%	0.00%	0.16%	0.64%	0.00%	0.07%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.25%	0.40%	0.00%	0.40%	0.00%	0.00%	0.00%	0.16%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.19%	0.13%	0.16%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.86%	0.00%	0.00%	0.50%	0.40%	0.00%	0.71%	0.00%	0.10%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	10312	77	130	77	103	91	57	122	131	33	8	36	84	92	4	44	65	42	50	62	41	117	44	73	93	128	108	68	75	121	126	89	81	67	92	109	108	116	139	113	76	106	142	134	116	152	58	147	58	113	52	65	68	90	51	112	131	107	44	39	84	55	89	32	84	111	100	41	71	104	101	141	100	75	57	150	63	122	115	34	126	120	94	111	91	80	86	59	61	64	47	50	64	55	80	50	87	68	133	63	44	61	47	17	26	46	24	27	27	91	92	4	31	32	25	6	5	55	25	80	68	6	84	67	138	188	132	75	50	13	9	27	0	9	0	8	17	65	25	20	27	124									
		6.23%	6.26%	6.14%	6.23%	4.99%	5.49%	5.19%	12.72%	22.02%	5.48%	1.25%	5.19%	4.96%	5.44%	0.84%	2.67%	3.72%	2.85%	2.86%	5.19%	5.53%	5.67%	4.31%	4.81%	5.53%	5.94%	7.08%	7.42%	5.92%	5.91%	7.62%	5.94%	5.88%	5.57%	8.50%	6.23%	5.73%	7.54%	9.01%	5.78%	6.29%	6.56%	7.49%	5.32%	14.09%	9.51%	5.74%	15.23%	4.32%	7.78%	5.66%	5.24%	5.25%	6.00%	13.08%	5.26%	6.02%	5.95%	2.69%	4.91%	6.75%	6.02%	6.63%	5.07%	6.03%	8.12%	9.79%	6.71%	5.71%	6.78%	6.75%	7.87%	4.62%	5.66%	4.01%	6.56%	3.88%	7.63%	6.50%	6.17%	8.35%	8.92%	5.99%	9.82%	7.06%	9.41%	9.72%	6.50%	6.24%	5.40%	5.68%	6.10%	7.53%	5.74%	8.43%	5.68%	8.57%	6.79%	10.23%	4.41%	4.10%	5.50%	5.72%	4.23%	3.86%	4.20%	3.93%	3.25%	4.01%	6.59%	15.16%	0.31%	1.51%	6.36%	3.16%	4.92%	1.94%	7.44%	7.51%	4.00%	4.73%	4.51%	7.70%	6.51%	5.98%	10.33%	28.33%	14.48%	7.76%	6.53%	3.10%	7.50%	0.00%	7.76%	0.00%	3.77%	4.23%	13.05%	4.13%	3.54%	4.00%	6.12%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	771	9	0	6	6	3	2	0	8	2	0	1	4	10	0	2	14	13	18	5	4	8	0	8	4	13	9	6	10	16	12	2	12	15	7	10	31	16	24	8	6	11	26	16	17	21	10	28	4	3	3	0	5	1	3	4	12	9	14	4	7	3	7	1	10	7	5	1	6	6	6	9	11	0	3	2	0	13	4	2	12	3	1	1	2	2	7	3	2	7	6	1	2	4	3	3	8	4	10	0	12	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	3	9	20	0	0	2	2	4	2	0	0	0	0	1	0	0	0	0	5									
		0.47%	0.73%	0.00%	0.49%	0.29%	0.18%	0.18%	0.00%	1.34%	0.33%	0.00%	0.14%	0.24%	0.59%	0.00%	0.12%	0.80%	0.88%	1.03%	0.42%	0.54%	0.39%	0.00%	0.53%	0.24%	0.60%	0.59%	0.65%	0.79%	0.78%	0.73%	0.13%	0.87%	1.25%	0.65%	0.57%	1.65%	1.04%	1.56%	0.41%	0.50%	0.68%	1.37%	0.64%	2.07%	1.31%	0.99%	2.90%	0.30%	0.21%	0.33%	0.00%	0.39%	0.07%	0.77%	0.19%	0.55%	0.50%	0.85%	0.50%	0.56%	0.33%	0.52%	0.16%	0.72%	0.51%	0.49%	0.16%	0.48%	0.39%	0.40%	0.50%	0.51%	0.00%	0.21%	0.09%	0.00%	0.81%	0.23%	0.36%	0.80%	0.22%	0.06%	0.09%	0.16%	0.24%	0.79%	0.33%	0.20%	0.59%	0.72%	0.12%	0.24%	0.42%	0.32%	0.34%	0.79%	0.40%	0.77%	0.00%	1.12%	0.18%	0.00%	0.00%	0.30%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.35%	0.00%	0.00%	0.29%	0.39%	1.10%	0.00%	0.00%	0.31%	1.01%	1.38%	0.56%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.25%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	897	3	0	0	7	6	7	0	6	4	0	3	6	15	1	14	8	12	28	2	5	9	17	11	10	11	15	9	0	11	5	5	11	10	9	9	3	13	24	2	22	34	19	25	22	24	11	12	2	6	9	4	3	5	3	7	23	12	20	5	5	8	9	2	2	8	4	5	5	9	5	10	11	1	0	14	0	9	5	0	3	2	2	6	4	4	6	8	5	6	7	3	4	1	8	3	5	2	14	1	4	0	1	0	0	0	0	1	0	10	0	0	5	0	0	0	0	0	0	6	4	0	0	4	6	52	1	3	0	1	0	0	1	0	0	0	0	0	0	6	0	7									
		0.54%	0.24%	0.00%	0.00%	0.34%	0.36%	0.64%	0.00%	1.01%	0.66%	0.00%	0.43%	0.35%	0.89%	0.21%	0.85%	0.46%	0.81%	1.60%	0.17%	0.67%	0.44%	1.67%	0.73%	0.59%	0.51%	0.98%	0.98%	0.00%	0.54%	0.30%	0.33%	0.80%	0.83%	0.83%	0.51%	0.16%	0.84%	1.56%	0.10%	1.82%	2.11%	1.00%	0.99%	2.67%	1.50%	1.09%	1.24%	0.15%	0.41%	0.98%	0.32%	0.23%	0.33%	0.77%	0.33%	1.06%	0.67%	1.22%	0.63%	0.40%	0.88%	0.67%	0.32%	0.14%	0.59%	0.39%	0.82%	0.40%	0.59%	0.33%	0.56%	0.51%	0.08%	0.00%	0.61%	0.00%	0.56%	0.28%	0.00%	0.20%	0.15%	0.13%	0.53%	0.31%	0.47%	0.68%	0.88%	0.51%	0.51%	0.85%	0.37%	0.47%	0.10%	0.84%	0.34%	0.49%	0.20%	1.08%	0.07%	0.37%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.72%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.28%	0.00%	0.00%	0.39%	0.26%	2.86%	0.21%	0.58%	0.00%	0.50%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.06%	0.00%	0.35%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	151	1	0	0	1	3	4	0	0	0	0	0	0	1	0	13	3	9	11	0	0	0	0	2	1	2	0	0	1	3	0	0	0	1	0	2	6	1	1	2	4	14	0	0	2	0	9	0	2	1	0	2	1	0	0	2	2	0	0	5	0	1	1	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	2	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	7	1	0	2	1	0	0	0	0	1	0	0	0	1	1	0	0	1									
		0.09%	0.08%	0.00%	0.00%	0.05%	0.18%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.79%	0.17%	0.61%	0.63%	0.00%	0.00%	0.00%	0.00%	0.13%	0.06%	0.09%	0.00%	0.00%	0.08%	0.15%	0.00%	0.00%	0.00%	0.08%	0.00%	0.11%	0.32%	0.06%	0.06%	0.10%	0.33%	0.87%	0.00%	0.00%	0.24%	0.00%	0.89%	0.00%	0.15%	0.07%	0.00%	0.16%	0.08%	0.00%	0.00%	0.09%	0.09%	0.00%	0.00%	0.63%	0.00%	0.11%	0.07%	0.00%	0.07%	0.00%	0.00%	0.16%	0.00%	0.00%	0.13%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.23%	0.33%	0.00%	0.17%	0.00%	0.00%	0.00%	0.10%	0.11%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.30%	0.05%	0.00%	0.39%	0.16%	0.00%	0.00%	0.00%	0.00%	0.86%	0.00%	0.00%	0.00%	0.20%	0.17%	0.00%	0.00%	0.05%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1285	5	15	15	8	2	1	5	12	1	1	1	6	14	1	29	18	17	10	10	5	7	5	9	10	18	19	12	8	23	23	29	17	9	7	15	34	11	44	6	6	18	28	34	25	29	16	39	10	18	6	2	4	14	5	7	22	14	23	6	18	4	3	2	13	9	12	2	12	11	18	22	28	0	5	10	0	18	6	4	16	2	1	0	2	4	17	6	3	8	12	2	10	2	13	2	16	12	26	1	14	1	1	0	2	2	1	0	0	16	2	0	2	2	0	0	3	1	3	11	4	1	6	2	8	7	4	4	2	1	0	2	2	0	1	1	2	3	1	2	2	9									
		0.78%	0.41%	0.71%	1.21%	0.39%	0.12%	0.09%	0.52%	2.02%	0.17%	0.16%	0.14%	0.35%	0.83%	0.21%	1.76%	1.03%	1.15%	0.57%	0.84%	0.67%	0.34%	0.49%	0.59%	0.59%	0.84%	1.25%	1.31%	0.63%	1.12%	1.39%	1.93%	1.23%	0.75%	0.65%	0.86%	1.80%	0.71%	2.85%	0.31%	0.50%	1.11%	1.48%	1.35%	3.04%	1.81%	1.58%	4.04%	0.74%	1.24%	0.65%	0.16%	0.31%	0.93%	1.28%	0.33%	1.01%	0.78%	1.40%	0.76%	1.45%	0.44%	0.22%	0.32%	0.93%	0.66%	1.18%	0.33%	0.96%	0.72%	1.20%	1.23%	1.29%	0.00%	0.35%	0.44%	0.00%	1.13%	0.34%	0.73%	1.06%	0.15%	0.06%	0.00%	0.16%	0.47%	1.92%	0.66%	0.31%	0.68%	1.45%	0.24%	1.18%	0.21%	1.37%	0.23%	1.58%	1.20%	2.00%	0.07%	1.30%	0.09%	0.12%	0.00%	0.30%	0.18%	0.16%	0.00%	0.00%	1.16%	0.33%	0.00%	0.10%	0.40%	0.00%	0.00%	1.16%	0.14%	0.90%	0.55%	0.28%	0.75%	0.55%	0.19%	0.35%	0.38%	0.86%	0.77%	0.31%	0.50%	0.00%	0.56%	0.50%	0.00%	1.15%	0.47%	0.50%	0.60%	0.17%	0.35%	0.30%	0.44%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	16290	132	215	127	206	170	114	111	76	62	6	75	133	124	5	177	134	153	189	99	81	219	115	152	153	217	174	101	171	215	152	167	159	152	107	212	207	168	130	220	128	187	182	225	165	163	122	191	140	85	93	149	130	179	62	250	239	182	143	87	107	100	117	37	94	104	71	110	136	108	138	191	240	152	142	156	131	131	214	56	112	202	186	119	99	107	92	110	124	53	84	98	55	86	57	81	95	60	73	157	82	114	92	8	13	28	12	45	23	125	59	301	550	84	197	14	67	62	60	48	81	2	62	106	229	68	43	62	60	4	31	23	16	4	2	15	10	52	42	30	35	62									
		9.84%	10.72%	10.16%	10.28%	9.99%	10.25%	10.37%	11.57%	12.77%	10.30%	0.94%	10.81%	7.85%	7.33%	1.05%	10.73%	7.67%	10.37%	10.80%	8.28%	10.92%	10.62%	11.27%	10.02%	9.09%	10.07%	11.40%	11.01%	13.50%	10.51%	9.19%	11.14%	11.55%	12.65%	9.89%	12.11%	10.99%	10.92%	8.43%	11.25%	10.59%	11.58%	9.60%	8.94%	20.05%	10.19%	12.08%	19.79%	10.42%	5.85%	10.12%	12.01%	10.04%	11.94%	15.90%	11.73%	10.98%	10.12%	8.73%	10.96%	8.60%	10.94%	8.71%	5.86%	6.75%	7.61%	6.95%	18.00%	10.93%	7.04%	9.22%	10.66%	11.09%	11.46%	9.98%	6.82%	8.07%	8.19%	12.10%	10.16%	7.42%	15.02%	11.85%	10.53%	7.68%	12.59%	10.40%	12.11%	12.68%	4.47%	10.14%	11.95%	6.47%	8.98%	6.01%	9.20%	9.36%	5.99%	5.62%	10.99%	7.64%	10.28%	11.19%	1.99%	1.93%	2.55%	1.97%	5.41%	3.41%	9.06%	9.72%	23.05%	26.74%	16.70%	24.94%	11.48%	25.97%	8.39%	18.02%	2.40%	5.63%	1.50%	5.68%	10.30%	9.93%	3.74%	9.23%	11.97%	9.32%	2.01%	10.69%	6.39%	4.02%	3.45%	2.30%	7.08%	2.49%	10.44%	6.94%	5.31%	5.19%	3.06%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	412	3	18	0	0	9	8	1	1	9	0	1	5	0	0	14	7	16	8	0	0	11	0	5	4	2	0	2	11	1	5	3	2	3	1	5	1	2	8	25	5	19	3	1	2	8	11	2	1	2	0	0	0	5	1	5	5	1	1	9	4	5	3	2	1	2	1	3	3	0	5	3	0	2	0	2	0	4	9	0	2	1	1	1	1	1	4	9	5	1	1	3	0	1	1	7	1	0	1	0	0	2	0	0	0	0	1	1	1	0	1	12	0	0	0	1	0	3	0	6	1	0	0	3	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1									
		0.25%	0.24%	0.85%	0.00%	0.00%	0.54%	0.73%	0.10%	0.17%	1.50%	0.00%	0.14%	0.29%	0.00%	0.00%	0.85%	0.40%	1.08%	0.46%	0.00%	0.00%	0.53%	0.00%	0.33%	0.24%	0.09%	0.00%	0.22%	0.87%	0.05%	0.30%	0.20%	0.15%	0.25%	0.09%	0.29%	0.05%	0.13%	0.52%	1.28%	0.41%	1.18%	0.16%	0.04%	0.24%	0.50%	1.09%	0.21%	0.07%	0.14%	0.00%	0.00%	0.00%	0.33%	0.26%	0.23%	0.23%	0.06%	0.06%	1.13%	0.32%	0.55%	0.22%	0.32%	0.07%	0.15%	0.10%	0.49%	0.24%	0.00%	0.33%	0.17%	0.00%	0.15%	0.00%	0.09%	0.00%	0.25%	0.51%	0.00%	0.13%	0.07%	0.06%	0.09%	0.08%	0.12%	0.45%	0.99%	0.51%	0.08%	0.12%	0.37%	0.00%	0.10%	0.11%	0.80%	0.10%	0.00%	0.08%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.16%	0.12%	0.15%	0.00%	0.16%	0.92%	0.00%	0.00%	0.00%	0.82%	0.00%	0.41%	0.00%	0.30%	0.07%	0.00%	0.00%	0.29%	0.65%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.05%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6653	66	107	63	100	89	56	60	37	34	14	35	86	83	1	79	84	72	87	59	38	107	54	67	85	110	56	46	63	109	84	78	71	63	57	175	98	79	46	102	68	84	93	74	69	71	59	52	86	16	45	54	65	84	6	68	110	22	29	47	56	43	51	32	48	51	36	31	54	44	105	49	58	71	70	55	50	35	93	28	31	14	87	61	18	20	54	49	58	16	34	47	20	32	37	46	28	20	25	54	29	53	41	20	33	56	26	25	33	27	11	16	15	4	3	4	0	6	23	101	16	7	10	53	114	24	16	8	11	0	4	6	2	2	2	3	0	1	7	7	8	13									
		4.02%	5.36%	5.05%	5.10%	4.85%	5.37%	5.10%	6.26%	6.22%	5.65%	2.19%	5.04%	5.07%	4.91%	0.21%	4.79%	4.81%	4.88%	4.97%	4.94%	5.12%	5.19%	5.29%	4.42%	5.05%	5.11%	3.67%	5.02%	4.97%	5.33%	5.08%	5.20%	5.16%	5.24%	5.27%	10.00%	5.20%	5.13%	2.98%	5.21%	5.62%	5.20%	4.91%	2.94%	8.38%	4.44%	5.84%	5.39%	6.40%	1.10%	4.90%	4.35%	5.02%	5.60%	1.54%	3.19%	5.06%	1.22%	1.77%	5.92%	4.50%	4.70%	3.80%	5.07%	3.45%	3.73%	3.53%	5.07%	4.34%	2.87%	7.02%	2.74%	2.68%	5.35%	4.92%	2.40%	3.08%	2.19%	5.26%	5.08%	2.05%	1.04%	5.54%	5.40%	1.40%	2.35%	6.10%	5.40%	5.93%	1.35%	4.11%	5.73%	2.35%	3.34%	3.90%	5.23%	2.76%	1.99%	1.92%	3.78%	2.70%	4.78%	4.99%	4.98%	4.90%	5.11%	4.26%	3.00%	4.90%	1.96%	1.81%	1.23%	0.73%	0.80%	0.38%	3.28%	0.00%	0.81%	6.91%	5.05%	1.11%	5.26%	0.92%	5.15%	4.94%	1.32%	3.43%	1.54%	1.71%	0.00%	1.38%	1.67%	0.50%	1.72%	2.30%	1.42%	0.00%	0.20%	1.16%	1.24%	1.19%	0.64%									
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
																																																																																																																																																								
