Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																																								
Дата голосования: 02.12.2007																																																																																																																																								
																																																																																																																																								
"Наименование Избирательной комиссии:    Владивосток, Первомайская"																																																																																																																																								
																																																																																																																																								
Сводная таблица результатов выборов																																																																																																																																								
																																																																																																																																								
		Сумма	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1623	УИК №1624	УИК №1626	УИК №1627	УИК №1628	УИК №1631	УИК №1633	УИК №1636	УИК №1637	УИК №1638	УИК №1640	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1689	УИК №1690	УИК №1692	УИК №1694	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716					
		14.29%	16.02%	12.16%	16.52%	11.01%	16.28%	14.02%	13.48%	17.19%	16.78%	13.33%	17.55%	14.26%	13.73%	16.33%	16.03%	15.93%	12.12%	11.32%	14.69%	15.06%	13.40%	15.28%	16.88%	15.41%	17.35%	14.99%	15.13%	14.81%	13.54%	14.65%	17.05%	11.11%	13.03%	14.08%	14.62%	15.30%	15.50%	15.95%	16.27%	15.18%	16.28%	13.06%	17.25%	16.23%	17.28%	11.57%	12.47%	14.71%	10.57%	2.78%	0.00%	19.57%	28.57%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%	6.90%	0.00%	10.71%	7.69%	16.67%	5.88%	0.00%	6.45%	25.00%	6.06%	1.18%	0.00%	10.34%	11.11%	6.67%	0.00%	13.45%	0.00%	0.00%	0.00%	1.02%	0.36%	1.28%	4.76%	8.70%	0.00%	0.00%	10.00%	0.00%	9.09%	2.25%	0.00%	4.55%	65.52%	11.11%	20.34%	0.00%	14.81%	41.67%	12.90%	18.75%	2.82%	3.57%	3.85%	0.00%	0.00%	0.00%	0.00%	4.76%	4.76%	7.50%	5.13%	1.19%	3.33%	26.92%	25.00%	28.13%	24.24%	1.16%	4.35%	3.19%	3.33%	10.00%	14.08%	8.33%	47.37%	24.00%	30.77%	22.22%	18.18%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	7448	201	156	182	170	161	231	237	213	211	213	149	167	177	113	119	181	213	36	168	154	189	155	209	165	79	126	126	111	179	196	87	163	163	151	80	78	182	127	165	143	157	110	71	89	114	112	161	141	68	2	0	4	3	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	2	0	4	1	1	3	1	0	0	2	0	0	1	1	0	0	2	4	0	2	2	1	0	4	0	0	1	0	0	0	0	1	0	0	2	0	3	4	0	7	0	0	1	0	6	11	3	1	2	3	1	3					
		12.70%	17.40%	18.42%	16.52%	17.17%	18.85%	21.31%	18.57%	15.58%	16.63%	18.44%	12.10%	13.16%	13.81%	11.25%	14.67%	14.49%	16.88%	13.58%	14.35%	13.25%	14.72%	12.15%	14.70%	9.67%	9.59%	14.88%	12.88%	11.91%	12.82%	14.73%	9.10%	15.09%	14.65%	12.08%	5.71%	10.29%	13.43%	10.50%	13.16%	10.80%	12.98%	10.72%	7.75%	7.49%	11.39%	11.89%	14.44%	13.21%	10.73%	2.78%	0.00%	8.70%	8.57%	4.17%	2.17%	0.00%	2.17%	0.00%	3.85%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.03%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	1.75%	0.00%	7.14%	0.00%	1.37%	0.36%	1.28%	3.57%	4.35%	0.00%	0.00%	10.00%	0.00%	0.00%	1.12%	4.55%	0.00%	0.00%	11.11%	6.78%	0.00%	7.41%	8.33%	3.23%	0.00%	1.13%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	4.76%	0.00%	0.00%	2.38%	0.00%	11.54%	12.50%	0.00%	21.21%	0.00%	0.00%	1.06%	0.00%	8.57%	15.49%	12.50%	5.26%	8.00%	11.54%	3.70%	13.64%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1677	34	18	17	24	18	30	41	37	47	30	27	38	40	20	21	43	44	7	47	46	57	46	50	46	33	27	29	50	46	40	27	52	35	37	27	29	35	23	26	52	38	26	16	23	16	30	29	34	12	3	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	1	9	0	3	1	0	0	1	0	2	0	0	0	0	1	3	0	0	2	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	1	0	1	0	3	1	0	1					
		2.86%	2.94%	2.13%	1.54%	2.42%	2.11%	2.77%	3.21%	2.71%	3.70%	2.60%	2.19%	2.99%	3.12%	1.99%	2.59%	3.44%	3.49%	2.64%	4.01%	3.96%	4.44%	3.61%	3.52%	2.69%	4.00%	3.19%	2.97%	5.36%	3.30%	3.01%	2.82%	4.81%	3.14%	2.96%	1.93%	3.83%	2.58%	1.90%	2.07%	3.93%	3.14%	2.53%	1.75%	1.93%	1.60%	3.18%	2.60%	3.19%	1.89%	4.17%	0.00%	0.00%	8.57%	0.00%	0.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.51%	0.00%	10.71%	0.00%	0.34%	3.20%	0.00%	3.57%	4.35%	0.00%	0.00%	5.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	5.56%	5.08%	0.00%	0.00%	8.33%	9.68%	6.25%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.13%	3.13%	6.06%	1.16%	0.00%	0.00%	0.00%	1.43%	0.00%	4.17%	0.00%	12.00%	3.85%	0.00%	4.55%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	28873	489	404	507	424	367	445	553	616	526	469	547	565	566	522	329	558	539	80	523	541	528	554	640	968	416	389	450	410	627	599	499	454	507	637	790	367	685	634	604	624	545	544	477	687	452	442	509	482	404	65	28	27	14	23	44	47	45	39	23	25	26	23	24	15	15	17	28	21	27	82	30	21	12	27	29	111	22	17	66	278	262	74	72	17	21	21	15	21	11	85	21	21	6	5	35	25	19	3	18	8	335	27	24	17	82	20	21	20	19	30	36	79	85	9	15	15	14	82	88	89	84	45	50	15	8	10	6	10	13					
		49.25%	42.34%	47.70%	46.01%	42.83%	42.97%	41.05%	43.34%	45.06%	41.45%	40.61%	44.44%	44.52%	44.15%	51.99%	40.57%	44.68%	42.71%	30.19%	44.66%	46.56%	41.12%	43.42%	45.01%	56.71%	50.49%	45.93%	46.01%	43.99%	44.91%	45.00%	52.20%	42.04%	45.55%	50.96%	56.35%	48.42%	50.55%	52.40%	48.17%	47.13%	45.04%	53.02%	52.07%	57.78%	45.15%	46.92%	45.65%	45.17%	63.72%	90.28%	100.00%	58.70%	40.00%	95.83%	95.65%	90.38%	97.83%	100.00%	88.46%	86.21%	96.30%	82.14%	92.31%	83.33%	88.24%	100.00%	90.32%	58.33%	81.82%	96.47%	100.00%	72.41%	66.67%	90.00%	96.67%	64.91%	100.00%	60.71%	100.00%	94.88%	93.24%	94.87%	85.71%	73.91%	100.00%	100.00%	75.00%	100.00%	50.00%	95.51%	95.45%	95.45%	20.69%	27.78%	59.32%	96.15%	70.37%	12.50%	58.06%	50.00%	94.37%	96.43%	92.31%	94.44%	100.00%	100.00%	100.00%	95.24%	90.48%	75.00%	92.31%	94.05%	94.44%	34.62%	46.88%	46.88%	42.42%	95.35%	95.65%	94.68%	93.33%	64.29%	70.42%	62.50%	42.11%	40.00%	23.08%	37.04%	59.09%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1574	34	14	35	57	18	28	41	26	30	36	38	54	39	15	18	34	41	0	30	34	57	44	50	31	21	21	34	32	49	57	31	44	36	39	21	27	20	24	32	39	25	20	16	18	30	33	35	29	10	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	1	2	0	0	0	0	0	1	0	0	0	1	1	1	0					
		2.68%	2.94%	1.65%	3.18%	5.76%	2.11%	2.58%	3.21%	1.90%	2.36%	3.12%	3.09%	4.26%	3.04%	1.49%	2.22%	2.72%	3.25%	0.00%	2.56%	2.93%	4.44%	3.45%	3.52%	1.82%	2.55%	2.48%	3.48%	3.43%	3.51%	4.28%	3.24%	4.07%	3.23%	3.12%	1.50%	3.56%	1.48%	1.98%	2.55%	2.95%	2.07%	1.95%	1.75%	1.51%	2.99%	3.50%	3.14%	2.72%	1.58%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.45%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	3.23%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.45%	0.00%	1.69%	0.00%	0.00%	0.00%	3.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.50%	0.00%	0.00%	1.11%	3.85%	3.13%	6.25%	0.00%	0.00%	0.00%	0.00%	0.00%	1.43%	0.00%	0.00%	0.00%	4.00%	3.85%	3.70%	0.00%					
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
