Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Орехово-Зуевская городская																																																																																		
																																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																		
																																																																																		
		Сумма	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	Участок  №5031	УИК  5032	УИК  5033	УИК  5034	УИК  5035	УИК  5036	УИК  5037	УИК  5079	УИК  5080	УИК  5129	УИК  5130	УИК  5131	Участок  №5158	УИК  5159	Участок  №5160	УИК  5161	УИК  5340					
		0.17%	0.43%	0.10%	0.38%	0.0%	0.0%	0.11%	0.18%	0.46%	0.28%	0.0%	0.12%	0.66%	0.17%	0.0%	0.22%	0.0%	0.0%	0.20%	0.0%	0.14%	0.13%	0.43%	0.53%	0.0%	0.19%	0.45%	0.15%	0.23%	0.0%	0.08%	0.09%	0.26%	0.0%	0.0%	0.22%	0.23%	0.16%	0.0%	0.30%	0.43%	0.24%	0.0%	0.18%	0.21%	0.19%	0.22%	0.25%	0.0%	0.51%	0.10%	0.85%	0.63%	0.0%	0.0%	0.0%	0.15%	0.15%	0.39%	0.16%	0.0%	0.05%	0.22%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%					
35	"18. ""ЛДПР"""	5697	107	81	118	43	92	93	54	61	76	107	102	86	113	79	91	43	61	99	96	67	71	105	129	63	125	101	68	104	164	125	110	106	6	118	112	103	63	78	69	99	83	98	105	136	109	79	121	141	81	127	25	39	79	25	110	125	60	58	73	33	132	38	54	36	87	1	5	3	0	2	51	65	39	30	0					
		10.16%	11.64%	8.47%	11.45%	9.86%	10.33%	10.64%	9.80%	7.10%	10.91%	10.85%	12.76%	11.36%	9.87%	8.88%	10.23%	7.01%	9.06%	10.18%	7.68%	9.59%	9.64%	11.48%	9.91%	12.16%	12.32%	11.52%	10.27%	12.12%	13.76%	10.89%	10.38%	13.92%	1.73%	9.81%	12.54%	12.33%	10.11%	9.10%	10.51%	10.65%	10.07%	9.78%	9.76%	14.52%	10.51%	9.05%	10.08%	11.77%	8.35%	13.34%	10.68%	12.34%	10.69%	10.0%	11.30%	9.92%	9.03%	11.35%	12.06%	9.48%	7.63%	8.40%	13.60%	10.0%	11.56%	1.69%	7.46%	7.69%	0.0%	10.52%	3.38%	11.92%	7.51%	6.97%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	921	23	15	21	5	22	11	7	21	7	15	11	11	28	14	20	7	10	17	37	11	23	18	23	13	20	14	11	18	14	8	14	14	6	11	12	12	17	13	10	13	23	13	22	17	23	22	14	13	15	17	4	4	11	2	6	17	13	9	9	7	21	6	8	7	5	0	2	0	0	0	15	1	6	5	0					
		1.64%	2.50%	1.56%	2.03%	1.14%	2.47%	1.25%	1.27%	2.44%	1.00%	1.52%	1.37%	1.45%	2.44%	1.57%	2.24%	1.14%	1.48%	1.74%	2.96%	1.57%	3.12%	1.96%	1.76%	2.50%	1.97%	1.59%	1.66%	2.09%	1.17%	0.69%	1.32%	1.83%	1.73%	0.91%	1.34%	1.43%	2.72%	1.51%	1.52%	1.39%	2.79%	1.29%	2.04%	1.81%	2.21%	2.52%	1.16%	1.08%	1.54%	1.78%	1.70%	1.26%	1.48%	0.8%	0.61%	1.35%	1.95%	1.76%	1.48%	2.01%	1.21%	1.32%	2.01%	1.94%	0.66%	0.0%	2.98%	0.0%	0.0%	0.0%	0.99%	0.18%	1.15%	1.16%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	19348	283	372	312	140	313	279	199	285	223	320	282	272	442	312	298	160	255	330	498	245	257	325	454	200	322	298	231	289	395	395	375	226	148	392	313	300	180	278	261	346	304	415	373	327	327	333	443	407	402	304	76	92	289	98	346	446	244	139	264	159	561	153	109	113	442	27	27	16	20	4	348	182	135	137	32					
		34.52%	30.79%	38.91%	30.29%	32.11%	35.16%	31.92%	36.11%	33.21%	32.04%	32.45%	35.29%	35.93%	38.63%	35.09%	33.52%	26.10%	37.89%	33.95%	39.87%	35.10%	34.91%	35.55%	34.89%	38.61%	31.75%	34.01%	34.89%	33.68%	33.16%	34.43%	35.41%	29.69%	42.77%	32.61%	35.05%	35.92%	28.89%	32.43%	39.78%	37.24%	36.89%	41.41%	34.69%	34.93%	31.53%	38.18%	36.91%	34.00%	41.48%	31.93%	32.47%	29.11%	39.10%	39.2%	35.56%	35.42%	36.74%	27.20%	43.63%	45.68%	32.42%	33.84%	27.45%	31.38%	58.77%	45.76%	40.29%	41.02%	76.92%	21.05%	23.12%	33.39%	26.01%	31.86%	51.61%					
38	"21. ""Российская Конституционно-демократическая партия"""	71	2	1	0	0	0	0	1	1	1	2	0	2	2	0	0	1	0	0	1	0	3	5	1	1	2	5	0	1	1	0	1	6	0	0	1	0	0	1	2	2	3	0	0	0	1	1	1	2	1	2	0	0	0	1	0	1	3	2	2	1	2	0	0	0	3	0	0	0	0	0	1	0	1	0	0					
		0.12%	0.21%	0.10%	0.0%	0.0%	0.0%	0.0%	0.18%	0.11%	0.14%	0.20%	0.0%	0.26%	0.17%	0.0%	0.0%	0.16%	0.0%	0.0%	0.08%	0.0%	0.40%	0.54%	0.07%	0.19%	0.19%	0.57%	0.0%	0.11%	0.08%	0.0%	0.09%	0.78%	0.0%	0.0%	0.11%	0.0%	0.0%	0.11%	0.30%	0.21%	0.36%	0.0%	0.0%	0.0%	0.09%	0.11%	0.08%	0.16%	0.10%	0.21%	0.0%	0.0%	0.0%	0.4%	0.0%	0.07%	0.45%	0.39%	0.33%	0.28%	0.11%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.19%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	176	4	5	2	0	1	1	4	0	3	3	2	3	1	2	2	1	4	5	4	1	2	5	3	1	1	0	2	2	3	3	5	2	0	3	8	3	1	2	2	5	2	5	5	3	6	0	4	3	2	0	1	0	3	0	2	8	2	1	4	0	7	1	0	3	3	0	0	0	0	0	4	1	7	0	1					
		0.31%	0.43%	0.52%	0.19%	0.0%	0.11%	0.11%	0.72%	0.0%	0.43%	0.30%	0.25%	0.39%	0.08%	0.22%	0.22%	0.16%	0.59%	0.51%	0.32%	0.14%	0.27%	0.54%	0.23%	0.19%	0.09%	0.0%	0.30%	0.23%	0.25%	0.26%	0.47%	0.26%	0.0%	0.24%	0.89%	0.35%	0.16%	0.23%	0.30%	0.53%	0.24%	0.49%	0.46%	0.32%	0.57%	0.0%	0.33%	0.25%	0.20%	0.0%	0.42%	0.0%	0.40%	0.0%	0.20%	0.63%	0.30%	0.19%	0.66%	0.0%	0.40%	0.22%	0.0%	0.83%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.18%	1.34%	0.0%	1.61%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	6325	112	88	130	60	147	120	47	107	81	125	80	81	97	106	87	68	95	118	122	89	83	95	107	50	96	109	77	92	125	117	105	75	30	117	90	79	66	140	75	123	76	106	113	75	95	73	142	131	86	74	18	27	88	36	93	149	62	64	45	49	142	59	51	48	35	4	2	1	0	1	395	55	137	65	3					
		11.28%	12.18%	9.20%	12.62%	13.76%	16.51%	13.72%	8.52%	12.47%	11.63%	12.67%	10.01%	10.70%	8.47%	11.92%	9.78%	11.09%	14.11%	12.13%	9.76%	12.75%	11.27%	10.39%	8.22%	9.65%	9.46%	12.44%	11.63%	10.72%	10.49%	10.20%	9.91%	9.85%	8.67%	9.73%	10.07%	9.46%	10.59%	16.33%	11.43%	13.24%	9.22%	10.57%	10.51%	8.01%	9.16%	8.37%	11.83%	10.94%	8.87%	7.77%	7.69%	8.54%	11.90%	14.4%	9.55%	11.83%	9.33%	12.52%	7.43%	14.08%	8.20%	13.05%	12.84%	13.33%	4.65%	6.77%	2.98%	2.56%	0.0%	5.26%	26.24%	10.09%	26.39%	15.11%	4.83%					
																																																																																		
41	Против всех	2596	44	64	65	22	51	31	29	40	25	60	35	40	53	40	74	35	36	56	47	31	27	44	57	31	50	51	31	51	70	73	40	44	1	51	51	41	48	47	25	31	39	39	25	44	49	41	58	57	46	59	13	18	41	9	50	54	36	32	11	5	37	11	4	1	87	7	6	1	0	2	22	17	10	6	8					
		4.63%	4.78%	6.69%	6.31%	5.04%	5.73%	3.54%	5.26%	4.66%	3.59%	6.08%	4.38%	5.28%	4.63%	4.49%	8.32%	5.70%	5.34%	5.76%	3.76%	4.44%	3.66%	4.81%	4.38%	5.98%	4.93%	5.82%	4.68%	5.94%	5.87%	6.36%	3.77%	5.78%	0.28%	4.24%	5.71%	4.91%	7.70%	5.48%	3.81%	3.33%	4.73%	3.89%	2.32%	4.70%	4.72%	4.70%	4.83%	4.76%	4.74%	6.19%	5.55%	5.69%	5.54%	3.6%	5.13%	4.28%	5.42%	6.26%	1.81%	1.43%	2.13%	2.43%	1.00%	0.27%	11.56%	11.86%	8.95%	2.56%	0.0%	10.52%	1.46%	3.11%	1.92%	1.39%	12.90%					
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
